Speaker,Dialogue
shooting draft, 1955
marty," That's right, Missus Fusari. It was a very nice affair."
marty," No, that's my other brother, Freddie. My other brother Freddie, he's been married four years already. He lives down on Webb Avenue. The one who got married Sunday, that was my little brother, Nickie."
marty,"No, that's my sister Margaret's husband, Frank. My sister Margaret, she's married to the insurance salesman, and my sister Rose, she married a contractor. They moved to Detroit last year. And my other sister Frances, she got married about two and a half years ago in Saint John's Church on Kingsbridge Avenue. Oh, that was a big affair. Well, let's see now, that'll be about a dollar- seventy-nine. How's that with you?"
woman's voice," Hey, Marty, I'm inna hurry."
marty,"You're next right now, Missus Canduso."
marty," Missus Fusari, Missus Canduso over there, she's inna big hurry, and..."
marty,"That's swell, Missus Fusari."
marty,"Yeah, it was a very nice affair."
marty, What happened?
young man,The Yanks took two.
marty,Any homers?
marty, Angie come in yet?
ralph,So these two girls come over to the bar...
marty,"Hey, Ang'..."
ralph,...and they sit down right next to me...
marty,"You want a beer, Ang'?"
ralph,"I look over at this one nexta me, not bad, about thirty-five -- Hiya, Marty..."
marty,"Hiya, Ralph..."
ralph,...I been talking about two nurses Leo and me picked up in a bar on Seventy-First Street.
marty," Hey, Lou, gimme two bottles-a beer..."
ralph,"So, Marty, lemme tell you about these nurses, Marty..."
marty," Waddaya read there, Joe?"
ralph,Turns out these two girls are nurses in some hospital on a Hundred and Fourth Street...
joe,They shouldn't sell magazines like this on a public newsstand...
marty,That's the truth.
joe, Can you imagine the effect this has on adolescents?
ralph,"So, Marty, let me tell you about these nurses..."
marty, What nurses?
ralph,The nurses Leo and me picked up last night. We got a date with them tonight.
marty," You still owe me ten bucks from last week, if that's what you're working up to."
joe,"Now that's something, eh?"
ralph,I used to go out with a girl like that...
the kid,You should live so long.
angie, So waddaya feel like doing tonight?
marty,"I don't know, Ang'. Wadda you feel like doing?"
angie,"Well, we oughta do something. It's Saturday night. I don't wanna go bowling like last Saturday. How about calling up that big girl we picked up inna movies about a month ago in the RKO Chester?"
marty, Which one was that?
angie,That big girl that was sitting in front of us with the skinny friend.
marty,"Oh, yeah."
angie,We took them home alla way out in Brooklyn. Her name was Mary Feeney. What do you say? You think I oughta give her a ring? I'll take the skinny one.
marty,"She probably got a date by now, Angie."
angie,"Well, let's call her up. What can we lose?"
marty,"I didn't like her, Angie. I don't feel like calling her up."
angie,"Well, what do you feel like doing tonight?"
marty,I don't know. What do you feel like doing?
