Speaker,Dialogue
olaf,"Leif, let's do the deed before another night falls. The crew's near mutiny."
leif ericson,Know this! The first man to turn will taste my steel in his guts.
olaf,But we've surely gone far enough.
ericson,That accursed box must be thrown off the edge of the world. We will go until we can go no more...
lookout,...Land ho.
leif, By Odin's beard...
ericson,"Be quick, Witch. Let the deed be done."
witch,"Oh Loki, ancient one. Thy mischief dwell now in waters, base and bland. And in waves and sand thy magic forever sleep..."
olaf,"Captain, you've discovered a new world. It is your right to name it."
ericson,Leave that to the Italians. We're never coming back here. Never. This land is now cursed.
charlie,"Look at those clouds rollin' in, man. Freaky weather."
stanley,"Hey Charlie, can you go over these stats? We're supposed to have a complete report before lunch."
charlie,"Woah. Sorry Stanley, I just had my weave tightened and my head is killing me. Be a pal and take those over to Hinkleman, will ya?"
maggie,Hi guys. Did you have any luck with those concert tickets Stanley?
stanley,"I sure did. Friday night, just like you wanted."
maggie,"Oh, Stanley, that's wonderful."
stanley,What time should I pick you up?
maggie,"Gee, I don't know. My best girlfriend just got into town and I know she'd love to go. Can we get an extra ticket for her?"
stanley,"Well... uh, actually it's sold out. I was kinda lucky to get these."
maggie,She's only going to be in town a couple of days and I just can't let her sit at home all alone. Are you sure there isn't something we can do?
stanley,You know what? Here. You two go.
maggie,"Oh Stanley, I couldn't do that."
stanley,"No really. Go ahead. It's okay. I hate concerts anyway. All that, you know... music floating around."
maggie,That is so sweet. Sheila's just going to love this.
stanley,So maybe you and I can get together over the weekend?
maggie,"I'm not sure what's going on, but just give me a call. You know I like to be spontaneous."
stanley,"Oh, sure. Me too."
maggie,"Stanley Ipkiss, you are the nicest guy."
charlie,That's it.
stanley,What?
charlie,"The kiss of death. As soon as they use the ""N"" word it's all over."
stanley,So maybe I am a nice guy. So what?
charlie,You are a rug. I am talking astro-turf here. You're letting these women sharpen their cleats on you.
stanley,"Hey, I'm a gentleman. If they can't appreciate that, it's their problem."
charlie,"You spend too much time being ""nice"" to a girl, you'll wind up sittin' around listening to her complain about the son of a bitch she really loves."
stanley,"Charlie, you are a very sick puppy."
charlie,"Wake up, Stanley! These are the nineties. We're dealing with an entire generation of dysfunctional love junkies. You can't romance 'em. You gotta confuse 'em. It's the only thing that gets their attention.  Let me demonstrate. You see that girl over there?"
lisa," Oh, hi..."
charlie,Charlie.
lisa,That's right. Sorry.
