Speaker,Dialogue
doctor,"What are you going to do when you get out of here? You're going to have to wear a belt for six months, maybe a year..."
freddie,What kind of belt?
doctor,A surgical belt. You won't be able to do very heavy lifting.
freddie,.I try to stay away from that.
doctor,But you spend time outdoors.
doctor,What do you do?
doctor,You didn't have very much on you when you were admitted. Where were you going?
freddie,"I was on my way to Placerville. To the Fair. Had a job waiting for me, with a friend of mine. He doesn't know where I am."
doctor,"How old are you, Freddie?"
doctor,Why don't you turn honest? You seem like an intelligent fellow. 'Quick on your feet - you like to drink?
freddie,It's a weakness. But I like it.
doctor,I know what the other is too.
freddie,How can you tell that? I'm clean.
doctor,The tattoo's.
freddie,Is that a weakness...
doctor,No one ever made money chasing girls.
freddie,You're wrong. This tatoo's my Auntie.
doctor,Who's that?
freddie,"My Auntie Bertha,  But that doesn't mean I don't have a weakness..."
doctor,College?
freddie,"I tried that, it didn't work."
doctor,Why'd you leave?
freddie,"Sometimes my hypo's get the best of me, I really feel like walking into the street and hitting people's hats off."
doctor,That's how you end up like this. With a burst appendix.
freddie,That's when I know it's time to get to the sea.. what kind of belt?
doctor,A medical belt. Similar for lifting. You're going to need some money. What do you plan to do?
freddie,I'm going to pay back the hospital. And you.
doctor,You don't owe me anything. I'm on surgical duty. But you're expected to pay the hospital for medicines. And your belt.
freddie,Alright. I intend to do that. You saying you have a job for me? What? As an orderly?
doctor,"You couldn't be an orderly, it's too much lifting -- and a lot of things you'd have to learn. But maybe you could run an elevator, something of that sort."
freddie,"I want to get out of here, but I also like it here. You think I was gonna die?"
doctor,"I know you were, Freddie."
freddie,I don't know. I'm not saying you didn't save me... . but...I can't seem to die.
doctor,Too lucky?
freddie,Something like that.
doctor,Were you in the service?
freddie,"Yes, sir."
doctor,Navy?
doctor,"Your luck was up this time, Freddie. You should have seen the pus in your belly. Something to think about. It's not too late to stop being a weisnheimer, no matter what you think. you're still a young man."
freddie,You come any closer and I'll slice your
figure,"I'm not after your dough, I just want to talk with you -"
freddie,"You can talk standing in front of the restaurant, around the corner -- At that moment, TWO OTHER MEN come out of the shadows and"
donna,Hand made. Imported. Chinchilla. Only
freddie,You have a break coming?
donna,Yes.
freddie,When?
donna,15 minutes.
freddie,I saw you.
donna,I saw you first.
freddie,What's your name?
donna,Donna. What's yours?
freddie,Freddie.
donna,That's a nice name.
freddie,This is homemade..
donna,Is it gonna kill me?
freddie,Yes. She sips it. Makes a face. Horrible.
donna,Uugugh.
freddie,Taste good?
donna,Yeah. They kiss each other.
freddie,Maybe we think the same things at the same time.
donna,Oh my good-ness. I think we do. Want to see my boobs?
freddie,"Yes. She pulls her top down, the coat drapped around her-reveals her breasts -"
donna,Are they nice?
freddie,Yes.
donna,Hand made. Chinchilla. Imported. That's enough. She pulls her top back up.
freddie,Wanna go out tonight?
donna,Of course. Gllllagh. What's in this? I think I'm cross eyed for good.
freddie,I don't have any cigarettes...
donna,What do you make this liquor with?
freddie,"There's secrets in liquor, this is just booze."
day,"Maybe a few months later, FREDDIE looks worse for wear. He's been hired to work at a BEET DISTILLATE as a BENCH CHEMIST. The FOREMAN walks him though the process; it's clear that there is enough chemicals and beets here to make some good booze... MEXICAN and FILIPINO workers HARVEST THE BEETS, load them to wagons - unload/wash - end up with FREDDIE: He works the bench, making his HOME MADE VODKA. This stuff is quite toxic and very strong. He places it in small, side  CONTAINER'S --  CUT TO:"
freddie,.somebody shut him up..
bartender,You feel alright?
freddie,"Yeah, fine."
another server,"Why don't you go lay down, I'll take over... Freddie walks off. FREDDIE doesn't seem DRUNK he SEEMS DRUGGED. He walks down the hall - AND IN AN INSTANT FALLS FLAT ON HIS FACE. DEAD WEIGHT. He's dragged off."
norman conrad,How are you doing?
freddie,Alright. What is this?
norman conrad,How'd you get on this shit?
freddie,I walked.
norman conrad,Why?
freddie,I was just looking f'work... I'm working here.
freddie,I need to sit down. Freddie is already sitting in a chair they have him in.
norman conrad,You've been sedated.
freddie,I'm sleepy.
norman conrad,I know you are. But you need to wake up now. Be sharp and wake up... can you do that for me? I want you to ask some questions about why you're here.. .how you came to be on this ship...
freddie,.I just need the work. Wasinmy drink?
norman conrad,"You shouldn't be here, this is a private trip."
freddie,".I'm a good worker..Iknowthese ships... BEAT. Freddie just looks at him, then MASTER SPEAKS:"
freddie,I am.
master,You've had your appendix removed.
master,"Why didn't you just ask if you could join this ship? We're always looking for new members, we'd have been happy to have you, no need for skulking or sneaking."
master,You need work? We'd love to have you work. You can work for us and our company. . .we have a wonderful company...
freddie,Yeah? Whatdo you do your company?
master,"This is the company where past, present and future come together."
master,Tell me why you're on my ship.
freddie,I just want to go to sea. I am looking for a berth--
master,What's wrong with where you were?
freddie,I'm a seamen.
master,What wrong with the world from where you were?
freddie,"I like being at sea.  PAUSE. FREDDIE closes his eyes, sleepy a minute.., then:"
master,"You're a Russian spy. Did you hear me? Wake up, Freddie."
freddie,What do you want? .what's your name?
master,We've told you. You're a russian spy. What are you escaping.
freddie,Nothing.
master,You did something.
freddie,"I'm here to work, I know ships..."
master,You don't know?
freddie,No. I don't know-what?
master,You're a little drunk and sleepy.
freddie,More than a little watchu put in my drink.
master,More than a little. You work for Dick Quinn.
freddie,Dick.
freddie,Don't know him. / no
master,You work for the AMA. CIA.
freddie,. you got alotta questions..
master,You work for Bill Christos and his friends at the APA.
freddie,I don't know you...
master,And you picked this ship at random?
freddie,"Yes, sir."
master,How long have you been sleeping?
freddie,I just woke up.
master,What's your name?
freddie,My name is Freddie Sutton. 40114-78
master,You were in the Navy?
freddie,Yes.
master,Did you ever kill anyone?
freddie,Hah.
master,Who did you kill?
freddie,"I fired and fixed torpedo room, USS Barton. Yes, I killed people. I'll Kill you."
master,You feel agressive?
freddie,Wakemeup.
master,Where are you from?
freddie,You know where - dn'ask me what you know... wakemeup wakemeup wakemeup come on wakemeup.
master,"You're from Princeton, New Jersey your identification says but that's quite a long way away from San Francisco. What are you doing?"
freddie,-- I toldju I'm just trying to get to sea.
master,Why did you pick this ship?
freddie,It was leaving...
master,Did you come here to find out information?
freddie,It was leaving...
master,Did you come here to find out information?
freddie,"No, sir."
master,Who sent you here?
freddie,You make me feel like I'm in hell. lemme wake up or lemme sleep.
master,"Well you shouldnt drink so much liquor, it's bad for the system. You're hurting yourself. PAUSE. Freddie is slipping out of it."
freddie,Sure.
master,We can give you the guidance you need in your life.
freddie,Thanks.
master,We can give you the guidance you need in your life.
freddie,Thanks.
master,Why you don't you just get some more rest?
freddie,LONG PAUSE. Freddie's eyes close ane he passes out again.
master,This boy is just a simple stow-away. All things he says he is.
mary sue,"I believe... Master fiddles around with his things, belongings, wallet, out on a table. He looks at the FLASK. Smells it. Pours the contents into a glass; looks at the liquid."
master,Delicious... delicious
norman conrad,There should be nothing above suspicion.
master,Ok?
freddie,Alright.
master,You can't be...
freddie,Is this your ship?
master,"I'm it's Commander, yes."
freddie,Where's it going?
master,New York City thru the canal. You're seamen?
freddie,Yes.
master,You're looking for work?
freddie,.what did I say last night...?
master,You said you were an able bodied seamen and you were looking for work?
freddie,You have any?
master,Perhaps.
freddie,What was in my drink?
master,You were sedated with chloral hydrate and bubble gum kisses. Ha ha ha. I'm sure if your check your butt-hole you'll find it's all in working order  Isn't that what all men are worried about in they surrender themselves.
freddie,I didn't surrender myself.
master,You were acting very aggressive because you drank too much alcohol.
freddie,I don't think I was.
master,Yes I think you were. And I don't like strange boys jumping on my ship.
freddie,So what are you gonna do?
master,Why don't you just ask for work? Work can't be hard to find.
freddie,Depends on when you're ready to go...do you have a job for me.
master,You can't work in your condition.
freddie,What condition is that?
master,You're aberrated.
freddie,What's that mean?
master,A wandering from the path The problems you have in your life  I resolve that they can be fixed.
freddie,"I've got no trouble. You got a job for me to do, I can do it."
master,"Maybe I do, but not the kind you think."
freddie,Do you own this ship?
master,A charter though the Explorer's Club.
freddie,.What do you do?
master,"I am many things. I am writer, a doctor, a nuclear physicist, a theoretical philosopher. Above all, I am a man, A hopelessly inquisitive Man, just like you."
freddie,Where's your money come from?
master,Many years of successful writing and publishing has made me self sufficient. Reader's in all languages have enjoyed my work - but now I'm retired to study the mid and the spirit...my life's true work.
master,These studies have made me a target and I am hunted for what I know. Which is why... it is so un-wise to go lurking and jumping on strange ships.. .how do we know what your motives are?
freddie,".well: I apologize if I got a little out of hand last night - I'm just... looking for work and your ship looked good, so...it's a nice looking ship."
master,"Don't apologize. You're a scoundrel. How I miss the days of working a four mastered schooner with nothing but salt horse, dried peas and a couple quarts of water.. .the present-day maritimer's seem so much more fragile, don't you think? You - you're and adventurer."
master,"An able bodied seamen, a maker of wine, and a dashing mischievousness is what I knew would come to me in this-lifetime. .would you study with me? Submit yourself?"
freddie,I don't understand what you're talking about.
master,"I am always looking for mature men of unusual ability who are willing to stretch the boundaries of what they know. To increase knowing-ness and communication amongst man. I need day-ta. And with your help, I can gather it..."
master,"You already understand, you just need to remember. And only say yes. Say, 'yes.'"
freddie,I'm not saying yes to anything I don't
master,What's-about-this?'
freddie,What about it?
master,"As a Scientist and a Conniseur I have no idea the contents of this remarkable potion, what's in it."
freddie,Secrets.
master,Can you make more?
master,I'll grant you a full reprive from your naughtiness as a stow-away if you make us some more. I must admit I sampled some and ended up drinking it all.
freddie,It's just booze.
master,Horrible Hooch?
freddie,"Horrible Hooch. BEAT. They both smile, laugh a little. MASTER gets up and comes over him..."
master,"Would you scrub yourself up and make yourself clean? My daughter is getting married. Come and join us and leave your worries for a while, they'll still be there when you get back..he he he. You are invited."
master,I think we have known each other before you and I -
freddie,Oh yeah?
master,"It will come out over time, but yes. We are re-united... do you reember me?"
freddie,.I don't know...
master,That's alright. Don't strain yourself. You will. There will be much time to discuss this on the journey to our destination. As we travel down Time- Holes...you won't be afraid will you?
freddie,.what destination?
master,Have you ever had harm cme to you?
freddie,Sure.
master,What if we could return to a period of your life where there was harm and do away with it? .would You like that?
freddie,Ok.
master,"That's where we go. They come across ALL THE PEOPLE ON BOARD. THEY WALK INTO THE GROUP. Everyone is getting ready for a WEDDING. . .they greet MASTER and FREDDIE. He walks into it and is welcome'd... MASTER finds his daughter, ELIZABETH, who is to be married and her husband-to-be CLARK  He introduces them to Freddie -"
master,".as long as you hold these bodies, in this life: you may kiss the bride. THEY KISS. APPLAUSE, CHEERS. CU. FREDDIE. He listens and watches."
master,"Now, now, now, how 'bout this: Here it comes - swooping down on me: A LARGE"
val,"Freddie, I'm Val, the son."
freddie,Hello.
val,Are you having a good time?
freddie,Yes.
val,What are you goign to be working on?
freddie,I don't really know.
val,Have you done any time-hole work?
freddie,I don't think so. VAL is distracted by a WELL WISHER who comes over. FREDDIE looks around at everyone. All the faces having a good time and celebrating... He catches the eye of a YOUNG WOMAN. . .then sees her
bartender,"Alright, old man?"
freddie,Yeah.
bartender,No hard feelings?
freddie,No.
bartender,Welcome aboard. Clif Amsbury. He serves him a drink.
master,When can we have some of your potion?
freddie,Whenever you'd like. I'll get making it -
master,When I'd like it - I will give you a signal. I will scratch my ear and rub my nose. What will you need?
freddie,"I'll take care of it. MASTER makes his way down the table trying to say goodbye to everyone, he finally tears away from the party by"
master,"Enough! Enough! I must get back to work! Keep going! Dont stop all night long! He leaves. FREDDIE just looks around, caught up in it all."
mary sue,"He's been writing all night ...I think you've inspired something in hi,. When we're at home, on land, there's too much, pulling him in each direction."
freddie,Who's attacking him?
