Speaker,Dialogue
screen,Call trans opt:  received. 2-19-96  13:24:18  REC:Log>
screen,Trace program:  running.
trinity,Soon.
screen,Trace complete.  Call origin: #312-555-0690
big cop,Police!  Freeze!
big cop,Get your hands behind your head!
big cop,Hands behind your head!  Now!  Do it!
agent smith,Lieutenant?
lieutenant,Oh shit.
lieutenant,I'm just doing my job.  You gimme that Juris-my dick-tion and you can cran it up your ass.
agent smith,The orders were for your protection.
lieutenant,I think we can handle one little girl.
lieutenant,I sent two units.  They're bringing her down now.
agent smith,"No, Lieutenant, your men are dead."
trinity,Shit.
trinity,Morpheus!  The link was traced!  I don't know how.
trinity,Are there any agents?
trinity,Goddamnit!
trinity,All right --
cop,Motherfucker -- that's impossible!
trinity,"Get up, Trinity.  You're fine. Get up -- just get up!"
agent smith,Did you get anything from the room?
agent jones,Their next target.  The name is Neo.
agent smith,We'll need a search running.
agent jones,It's already begun.
screen,"JACKON:  I heard Morpheus has been on this board. SUPERASTIC:  Morpheus doesn't even exist and the Matrix is nothing but an advertising gimmick 4 a new game. TIMAXE:  All I want to know is Trinity really a girl? LODIII:  87% of all women on line are really men. QUARK:  The Matrix is a euphemism for the government. SUPERASTIC:  No, The Matrix is the system controlling our lives. TIMAXE:  You mean MTV. SUPERASTIC:  I mean Sega. FOS4:  ALL HAIL SEGA!!!"
neo,Fuckin' idiots don't know shit.
screen,"Do you want to know what the Matrix is, Neo?"
screen,SUPERASTIC:  Who said that? JACKON:  Who's Neo? GIBSON:  This is a private board.
neo,What the hell...
screen,TIMAXE:  Someone is hacking the hackers! FOS4:  It's Morpheus!!!!! JACKON:  Identify yourself.
neo,"What do you want, Anthony?"
anthony,"I need your help, man.  Desperate. They got me, man.  The shackles of fascism."
neo,You got the money this time?
dujour,"You can really get that thing off, right now?"
anthony,"I told you, honey, he may look like just another geek but this here is all we got left standing between Big Brother and the New World Order."
anthony,Look at 'em.  Automatons.  Don't think about what they're- doing or why.  Computer tells 'em what to do and they do it.
anthony,"Thanks, neighbor."
dujour,Why don't you come to the party with us?
neo,I don't know.  I have to work tomorrow.
dujour,Come on.  It'll be fun.
neo,"Yeah, yeah.  Sure, I'll go."
trinity,"Hello, Neo."
neo,How did you know that --
trinity,I know a lot about you.  I've been wanting to meet you for some time.
neo,Who are you?
trinity,My name is Trinity.
neo,Trinity?  The Trinity?  The Trinity that cracked the I.R.S. Kansas City D-Base?
trinity,That was a long time ago.
neo,Gee-zus.
trinity,What?
neo,I just thought... you were a guy.
trinity,Most guys do.
neo,Do you want to go sorewhere and talk?
trinity,No.  It's safe here and I don't have much time.
neo,"That was you on the board tonight. That was your note, wasn't it?"
trinity,I had to gamble that you would see and they wouldn't.
neo,Who wouldn't?
trinity,"I can't explain everything to you. I'm sure that it's all going to seem very strange, but I brought you here to warn you, Neo.  You are in a lot of danger."
neo,What?  Why?
trinity,"They're watching you.  Something happened and they found out about you.  Normally, if our target is exposed we let it go.  But this time, we can't do that."
neo,I don't understand --
trinity,You came here because you wanted to know the answer to a hacker's question.
neo,The Matrix.  What is the Matrix?
trinity,"Twelve years ago I met a man, a great man, who said that no one could be told the answer to that question.  That they had to see it, to believe it."
trinity,"He told me that no one should look for the answer unless they have to because once you see it, everything changes.  Your life and the world you live in will never be the same.  It's as if you wake up one morning and the sky is falling."
trinity,"The truth is out there, Neo.  It's looking for you and it will find you, if you want it to."
trinity,"That's all I can tell you right now.  Good-bye, Neo.  And good luck."
neo,Wait.  Who was it?  Who was the man?
trinity,You know who.
neo,Shitshitshit.
rhineheart,"You have a problem, Mr. Anderson. You think that you're special. You believe that somehow the rules do not apply to you."
rhineheart,"Obviously, you are mistaken."
rhineheart,"This company is one of the top software companies in the world because every single employee understands that they are a part of a whole.  Thus, if an employee has a problem, the company has a problem."
rhineheart,"The time has come to make a choice, Mr. Anderson.  Either you choose to be at your desk on time from this day forth, or you choose to find yourself another job.  Do I make myself clear?"
neo,"Yes, Mr. Rhineheart.  Perfectly clear."
tall employee,What did he say?
neo,"If I was late again, I'm going to be fired."
tall employee,"Well, it was nice working with you."
neo,Yeah.  That's me.
fedex,Have a nice day.
neo,Hello?
neo,... no.
neo,Who's coming for me?
neo,Right now?
neo,Holy fuckin' shit!
neo,What the fuck do they want with me?!
neo,How?!
neo,But what if...?
neo,How do you know all this?
neo,No! It's too far away.
neo,"No way, no way, this is crazy."
neo,This is insane!  Why is this happening to me?  What did I do? I'm nobody.  I didn't do anything. Fuck! Fuck!  Fuck!
neo,I'm going to die.
neo,This is insane.  I can't do this! Forget it!
neo,I didn't do anything!
trinity,Shit.
agent smith,"As you can see, we've had our eye on you for some time now, Mr. Anderson."
agent smith,"It seems that you have been living two lives.  In one life, you are Thomas A. Anderson, program writer for a respectable software company.  You have a social security number, you pay your taxes and you help your land lady carry out her garbage."
agent smith,"The other life is lived in computers where you go by the hacker alias Neo, and are guilty of virtually every computer crime we have a law for, including the unauthorized use of the D.M.V. system for the removal of automobile boots."
agent smith,"One of these,lives has a future. One of them does not."
agent smith,"I'm going to be as forthcoming as I can be, Mr. Anderson.  You are here because we need your help."
agent smith,We know that you have been contacted by a certain individual. A man who calls himself Morpheus. Whatever you think you know about this man is irrelevant to the fact that he is wanted for acts of terrorism in more countries than any other man in the world.  He is considered by many authorities to be the most dangerous man alive.
