Speaker,Dialogue
8/24/2007, OVER BLACK:
max's voice,"C I don't believe in heaven, but I have this idea about it. Something I heard in a song."
max's voice,Heaven is a place where nothing ever happens.
max's voice,"There's an army of bodies under this river. Criminals, people who ran out of time, out of friends."
max's voice,"The next time they drag this river, they'll find me on the bottom with the rest of them. And there won't be anybody left to say I was different."
max's voice,"I could feel the dead down there, just below my feet. Reaching up to welcome me as one of their own."
max's voice,It was an easy mistake to make.
max,You didn't lose it. You pawned it up on 128th a few hours ago.
max, Ask Doug. He was there with you.
doug,You've been following us all night?
max,No.  I'm only following you.
pawnshop,"You a cop, or something?"
max,Not tonight.
pawnshop,Too bad.  Go get my watch.
doug," Watch over me, watch over me..."
max,"Open your eyes, now."
max,Have you ever seen her before?
max,You got busted robbing a house in New Jersey with William Preston three--
doug,Bill's dead.
max,That's why I'm talking to you.  Did he ever say anything about this woman? Did you ever hear anyone--
doug,Bill died because their wings couldn't lift him up.
max,"No, he got shot robbing a liquor store. What are you talking about?"
doug," Their wings are golden, the feathers only look black..."
detective,I didn't think anybody was here.
detective,And if they can?
detective,"I don't understand, then how--"
detective,The grand jury couldn't find--
detective,"We should get a beer after work, or something..."
max,Yeah.   Maybe so.
detective,So what did he do?
max,William Preston was a dead end.
trevor,"You can't come here, I said. I'm done helping you. I've already...  ...paid my debt to society, you know? I've cooperated enough."
max,We need to talk.   Won't take long.
trevor,I thought you found Bill's partner.
max,"I did, but Doug only wanted to talk about pigeons, or something. I need a new name, someone robbing houses to feed a habit around that same time. T REVOR Three years is a lifetime for guys like that. One way or the other, they're probably all gone now.  Either way, I'm not the one to ask anymore. I cater to a better class, now."
max,I can see that.
trevor,This is a party. These are my friends. You remember friends?
ax,"I need another name, or I start frisking your friends."
trevor,"don't have one to give you, Max. Look, you've gone through all your living leads, now you're running out of dead ones...  I don't think this guy's out there."
trevor,"ry sleeping at night every now and then, you'd see that for yourself."
trevor,"I'd invite you in, but..."
max,hanks.
natasha,ow it's your turn to say something...
max,That's interesting.
natasha,Thank you. It's...  Shit.
max,Why don't you let go--
mona, Mind your business.
natasha,My sister.  Sort of a bitch.
trevor,You have to go. Now.
max, Fine. I just want to ask her something first...
max,Were you in there?
atasha," Take me somewhere, I'll tell you."
natasha,You just move in?
ax,"hree years ago. So we're somewhere, now: who was that guy--"
max,Who?
natasha,The girl from the boring story you want tell me. The one that ends with you living here. Very sad.
natasha,tell you what...  Call me by her name.
max, What?
natasha,"That way you can make love to her again, just like she never left you.  Oh, Max, I miss you..."
ax,You should go.
natasha,Excuse me?
max, There's nothing you can tell me.
max,Yeah.
natasha," Owen, pick up if you're awake..."
natasha,"ot yet!   Please, just let me..."
alex,"You're not serious, are you?"
max,What's this?
alex,I need you to look at something.
max,What happened to them?
alex,Her.     Just one.
alex,"omebody found her leg near the sidewalk, called it in a few hours later. We found the other one in the dumpster over there."
lex, What do we know?
max,Why are you showing me this?
alex,"We found it here, by her heart."
alex,"As far as we know, the victim--"
max, Natasha.
max, They couldn't lift him up...
alex,What did you just say?
alex,"We need to talk, Max. Tonight.  Here's my address..."
max,"For God's sake, I know where you--"
alex," No, I moved out."
max,Alex?   Are you in here?
max,Alex!
bb,"our contact information was... pretty out of date, you know, but one of the dispatchers remembered me and your dad riding together back in the day."
max,Alex.
