Speaker,Dialogue
uberman,You look so peaceful from up here.
einstein,"I hate the outfits. I mean, I get it: we're all supposed to be ""masterminds"" - very clever.  I just feel stupid. I mean, what the hell did Einstein really do anyway?"
plato,Theory of relativity.
einstein,"Well, you'd think he'd invent a wool sweater that didn't itch so much."
master mind,"The real Einstein once said, ""God does not play dice with the world."" He was right, because the world is MY dice. Is that understood?"
einstein," Yes, sir."
master mind,"Alright, then - clean slate. Do we have the girl?"
da vinci,"Yes, sir. She fell into our trap just like you knew she would."
master mind,"Reporters are a curious lot, and easily manipulated."
master mind,"Alright, let's not keep the lady waiting."
roxanne,You didn't need to turn around like that. I can recognize the stench of failure.
master mind,"I trust you gentlemen know the very sassy Roxanne Ritchi, highly regarded investigative journalist who some say has a more than friendly relationship with our super powered foe Uberman. And Miss Ritchi, I trust you've already met my new crew: The Mad Geniuses!"
roxanne,"Looks like a real group of winners. At the risk of sounding cliche', you'll never get away with this."
master mind,"In a way, I already have."
roxanne,"We go through this every time. You kidnap me to get to Uberman, he immediately finds your hideout, escapes whatever lame trap you've come up with, and takes you and your cronies to jail. I propose we just save everybody some heartache this time by YOU letting me go, and ME forgetting this whole thing ever happened?"
master mind,What about my revenge?
roxanne,We can say it was wasting everyone's time.
master mind,You have a wicked tongue. I hope you rid yourself of that when you're my queen.
roxanne,I'm sorry. What makes you think I would want to be your queen?
master mind,"Power corrupts absolutely, Miss Ritchi. And when I have ultimate power over this city, I have absolutely every intention of corrupting you with it."
plato,Sir!
master mind, What is it!?
uberman, Master Mind!
uberman,"What's the matter, miss your old jail cell?"
uberman,You can't possibly believe this will work.
plato,"We're now at minimum safe distance, master."
master mind,"Excellent. Stop here, I like this view."
plato,Twenty seconds until impact.
master mind,Any last words?
plato,Ten seconds to impact.
master mind, What's going on?
uberman, Hold...on...a second.
plato,Seven...
uberman,SON OF A BITCH!!
da vinci,What did he just say?
plato,Six......Five...
master mind,What kind of trick is this?
uberman,"Like you don't know. These bars are made of copper, aren't they?"
plato,Four...
master mind,"Yeah, so?"
uberman,"You figured out my weakness, damn you. I CAN'T BEND COPPER!"
plato,Three...
