Speaker,Dialogue
leonard,Looks like somebody's home.
teddy,That thing's been here for years.
leonard,I think you're wrong. These tracks aren't    * more than a few days old.
teddy,"Find anything? Didn't think so, let's go, yeah?"
leonard,"YOU PAY FOR WHAT YOU DID! YOU BEG FORGIVENESS, THEN YOU PAY!"
teddy,"You don't have a clue, you freak."
leonard,Beg my forgiveness! Beg my wife's forgiveness before I blow your brains out!
teddy,"Leonard, you don't have a clue what's going on. You don't even know my name."
leonard, Teddy!
teddy,"You read it off your fucking photo. You don't know me, you don't even know who you are."
leonard,"I'm Leonard Shelby, I'm from San Francisco and I'm -"
teddy," That's who you were, you don't know who you are."
leonard,Shut your mouth!
teddy,Lemme take you down in the basement and show you what you've become.
burt,That guy's here already.
teddy,Lenny!
leonard,It's Leonard... like I told you before.
teddy,Did you? I musta forgot. I'm Teddy.                *
leonard, I guess I've told you about my condition.
teddy,Only every time I see ya!
leonard,My car.
teddy,This is your car.
leonard, You're in a playful mood.
teddy,Just trying to have a little fun.
teddy,"Roll your window up, will ya?"
leonard,It's broken.
teddy,I can get that fixed for you.
leonard,I got a lead on a place.
teddy, What the hell you want to go there for?
leonard,You know it?
teddy,"Yeah, it's just this fucked-up building.            * Why are we going there?"
leonard, I don't remember.
leonard,Looks like somebody's home.
burt,Hiya.
burt,"What can I do for you, Leonard?"
leonard,I'm sorry... um... ?
burt,Burt.
leonard,"Burt, I'm not sure, but I may have asked you to hold my calls -  MEMENTO Blue Revisions - 8/27/99"
burt,You don't know?
leonard,I think I may have. I'm not good on the phone.
burt, You said you like to look people in the eye when you talk to them. Don't you remember?
leonard,That's the thing. I have this condition.
burt,Condition?
leonard,I have no memory.
burt,Amnesia?
leonard,"No. It's different. I have no short-term memory. I know who I am and all about myself, but since my injury I can't make any new memories. Everything fades. If we talk for too long, I'll forget how we started. I don't know if we've ever met before, and the next time I see you I won't remember this conversation. So if I seem strange or rude, that's probably..."
burt," I don't mean to mess with you. It's just so weird. You don't remember me at all, and we talked a bunch of times."
leonard,My wife.
burt, What's it like?
leonard,Like waking. Like you always just woke up.                             *
burt,That must suck. All... backwards.                 *
leonard, How long have I been here?
burt,Couple days.
leonard,So you're holding my calls?
burt,As requested.
leonard,"Okay, but this guy's an exception."
burt,"Your friend, right?"
leonard,What makes you think he's my friend?
burt,"Seen you together, that's all."
leonard,"He's not my friend, Burt. But if he calls, or if he turns up here, then you give me a call in my room, okay?"
burt,"Sure. But nobody else, right?"
leonard,Just this guy.
burt,Not if you remember to pay your bill.
waiter,Sir? You left these at your table.
leonard,Thanks. Lincoln Street?
waiter,"You wanna go east on sixth.  Just keep straight, all the way out of town, then take a right."
teddy,Yup?
leonard,Mr Gammell?
teddy,"Lenny, is that you?"
leonard,John Gammell?
teddy,"Lenny, it's Teddy. Look, stay there, okay? I'm gonna be right over."
leonard,I'll be waiting.                               *
leonard,Who is this?                              *
leonard,Natalie.
natalie,You don't remember me.
leonard," Sorry, I should have explained. You see, I have this condition -"
natalie,"You did explain, Lenny."
leonard,Please call me Leonard. My wife called me Lenny.
natalie,You told me.
leonard,Then I probably told you how much I hated it. Could you take off your sunglasses?            * It's just hard for me -                         *
natalie,Yeah.
leonard,So you have information for me?
natalie,Is that what your little note says?
leonard,Yes.
natalie,"Must be tough living life according to a few scraps of paper. Mix up your laundry list and your grocery list, you'll be eating your underwear."
leonard,It is tough. Almost impossible. I'm sorry I can't remember you. It's not personal.
natalie,I'm sorry.
leonard,You know him?
natalie,No. But the photo on his license looked familiar. I think he's been in the bar before
leonard,Have I told you what this man did?                *
natalie,Yes.
leonard,Then you shouldn't have to ask.
natalie,"But even if you get your revenge, you won't remember it. You won't even know it's happened."
leonard,"                               * The world doesn't disappear when you               * close your eyes, does it? My actions               * still have meaning, even if I can't                * remember them. My wife deserves                   * vengeance, and it doesn't make any                * difference whether I know about it.                *"
natalie,Tell me about her again.
leonard,Why?
natalie,Because you like to remember her. I want to see you enjoy yourself.
leonard,She was beautiful. Perfect to me -                *
natalie,"Don't just recite the words. Close your eyes, remember her."
natalie,"I wrote an address in there, too. Might be useful. It's this abandoned place outside of town. I guy I know used to use it for his bigger deals."
leonard,Deals?
natalie,It's isolated.
leonard,Sounds perfect? What do I owe you?
natalie,I wasn't helping you for money.
leonard,Sorry.
natalie,"It's not your fault. See, you have this condition..."
leonard,"The Discount Inn, yeah.                         *"
natalie,They treating you alright?
leonard, Don't remember.
natalie,You know what we have in common?
leonard,I met Sammy through work.  Insurance. I was an investigator. I'd              * investigate claims to see which ones               * were phony.                               *
leonard,"I'm sorry, I think I'm checked in here, But I've misplaced my key."
burt," Hi, Leonard."
leonard,I don't see my key.
burt,Shit. Wrong room.
leonard,What?
burt,This isn't your room. You're in 304. I Fucked up.
leonard,This isn't my room?
burt,"No, let's go."
leonard,Then why is this my handwriting?
burt,This was your room. You're up in 304 now.
leonard,When was I in here?
burt,Last week. Then I rented you another one On top of this.
leonard,Why?
burt,"Business is slow. I told my boss about You, about your condition. He told me to Try and rent you another room."
leonard,Why didn't you clean it out?                     *
burt, You're still paying for it. It's still Your room.
leonard,So how many rooms am I checked into in this dump?
burt,Just two. So far.                              *
leonard,"Well, at least you're being honest about cheating me."
burt,"Yeah, well you're not gonna remember, anyway."
leonard,"You don't have to be that honest, Burt."
burt,Leonard.
leonard,I'm gonna write that down.
leonard,"I'd just become an investigator when I came across Sammy. Mr Samuel R. Jankis - strangest case ever. Guy's 58, semi- retired accountant. He and his wife had been in this car accident... nothing too serious, but he's acting funny - he can't get a handle on what's going on."
leonard,"His wife has to do everything. Sammy can only do simple stuff. He couldn't pick up any new skills at all, and that's how I got him."
teddy,Lenny! I thought you'd gone for good. What brings you back?
leonard,Unfinished business. What made you think I wasn't coming back?
teddy,You said you were leaving town.
leonard,Things change.
teddy,So I see. It's good to see you. My name's Teddy.
leonard,Guess I've told you about my condition.
teddy," Only every time I see ya! Come on, I'll buy you lunch."
teddy,Not hungry?
leonard," It's my condition. I never know if I've already eaten, so I always just eat small amounts."
teddy,You don't have to remember to be hungry.
leonard,"It's weird, but if you don't eat for a while then your body stops being hungry. You get sort of shaky but you don't realize you haven't eaten. Have I told you about Sammy Jankis?"
teddy,"Yeah, yeah. I heard enough about him. Tell me about John G. You still think he's here, right?"
leonard,Who?
teddy,"The guy you're looking for, Johnny G. That's why you haven't left. Am I right?"
leonard,Why?
teddy,"Well, the other day you made it sound like you thought somebody might be trying to set you up. Get you to kill the wrong guy."
leonard,"Yeah, well I go on facts, not recommendations, okay?"
teddy,"Lenny, you can't trust a man's life to your little notes and pictures."
leonard,Why?
teddy,Because you're relying on them alone. You Don't remember what you've discovered or how. Your notes might be unreliable.
leonard,Memory's unreliable.
teddy,You really want to find this guy?
leonard,He took away the woman I love and he took away my memory. He destroyed everything; my life and my ability to live.
teddy,You're living.
leonard,Just for revenge. That's what keeps me going. It's all I have.
teddy,We'll find him. Where are you staying?
leonard,Discount Inn. Don't know what room; haven't got my key.
teddy,Probably left it in your room.
leonard,"I'm sorry, I think I'm checked in here, but I've misplaced my key."
burt," Hi, Leonard."
leonard,"So Sammy can't learn any new skills. But I find something in my research: Conditioning. Sammy should still be able to learn through repetition. It's how you learn stuff like riding a bike, things you don't think about, you just get better through practice. Call it muscle memory, whatever, but it's a completely different part of the brain from the short-term memory. So I have the doctors test Sammy's response to conditioning..."
doctor,Just pick up any three objects.
sammy, That's a test? Where were you guys when I did my CPA?
doctor,"It's a test, Sammy."
leonard,"They kept repeating the test, always with the same objects electrified. The point was to see if he could learn to avoid the electrified objects. Not by memory, but by instinct."
leonard,Sorry. It's only me.
natalie,Sleep okay?
leonard,Yeah. You?
natalie,I gotta be someplace.
leonard,Useful. You never write a phone number on your hand?
natalie,If it's registered in this state it'll             * just take seconds to pull up his license and registration. I'll call when I've spoken to him.
natalie, I'm helping you because you helped me.
leonard, I'm sorry.
natalie," Lenny, before you go, can I have my shirt back please?"
teddy,Lenny! I thought you'd gone for good. What brings you back?
leonard,"They kept testing Sammy for months, always with the same objects carrying the electrical charge..."
sammy,Ah! What the fuck?!
doctor,"It's a test, Sammy."
sammy,Ah! What the fuck?!
doctor,"It's a test, Sammy."
sammy,Yeah? Test this you fucking quack.
leonard,It was enough to suggest his condition was psychological not physical. 
leonard,"Natalie, right?"
natalie,Guess I don't have to worry about him anymore.
leonard, Who is he? What have you got me into?
natalie,Come inside.
natalie,"Calm down. You're not into anything. It was my problem, you offered no help. It's got nothing to do with your investigation."
leonard,That's the problem! How can I find John G. when I don't know what's going on?! How did you get me into this?!
natalie,"Leonard, you offered to help when you saw what this guy did to me."
leonard,How do I know he did that to you?
natalie,I came to you straight after he did it. I showed you what he'd done and asked for your help.
leonard,So I just take your word?
natalie,Yes.
leonard, Something feels wrong. I think someone's fucking with me. Trying to get me to kill the wrong guy.
natalie,Did you?
leonard,What?
natalie,Kill him.
leonard,Course not.
natalie,"This has nothing to do with you. You helped me out, and I'm grateful."
leonard,You have to burn them.
natalie,"You decided to help me. Trust yourself. Trust your own judgment. You can question everything, you can never know anything for sure."
leonard,There are things you know for sure.
natalie,Such as?
leonard,I know the feel of the world.  and I know her.
natalie,Your wife?
leonard,"She's gone and the present is trivia, which I can scribble down as notes."
natalie,"Relax a little, okay? Take off your jacket."
leonard,It's not easy to be calm when -
natalie,Just relax.
leonard,I'm sorry.
natalie,His name was Jimmy.
leonard,What happened?
natalie,He went to meet somebody and didn't come back.
leonard,Who did he go to meet?
natalie,A guy called Teddy.
leonard,What do the police think?
natalie,They don't look too hard for guys like Jimmy.
leonard,Kill him.
natalie,Maybe I can help you find him. I know a            * lot of people.
leonard,"I don't even know how long she's been              * gone. It's like I've woken up in bed and she's not here because she's gone to the bathroom or something. But somehow I just           * know that she'll never come back to bed.            * I lie here, not knowing how long I've been alone. If I could just reach out and           * touch her side of the bed I could know             * that it was cold, but I can't. I have no            * idea when she left.                            *"
leonard,Sammy's wife was crippled by the cost of supporting him and fighting the company's decision - but it wasn't the money that got to her.
