Speaker,Dialogue
first draft,9/22/04 WGAw
nicholas," Burnett, what's crackin'?"
crockett,Nothing.
tubbs,Maxin' and relaxin'.
nicholas, Sure.  Change your mind; get inclined?  Let me know...
crockett,What's our deal?
tubbs,Backup in case the Russians get physical.
crockett,How lucky's Miss Universe gotta be?
tubbs,Skin has to touch skin.  That's the requirement for the warrant.  Then he makes a credible excuse and he stops....  Her crew blackmailed and asset- stripped the last mark down to his social security...
gina,"This I gotta see...  ...the ""make up an excuse and stop"" part."
crockett,Have faith.
gina,I have faith.  In horoscopes and fortune cookies...
tubbs,So?
gina,Switek pulling this off...?  That's not faith; that's delusional...
tubbs,"Damn, girl..."
tubbs,This is exciting...
rick,That's 'cause nothing is happening.
crockett,No shit...?
frank," Yeah.  This is their surveillance...how they video their marks?  See, we jacked their fiber optics, like we piggybacked their signal.  Get it?"
tubbs,Cooool...
ugo,Runnin' the Biscayne 200?
tubbs,If a coupla new exhaust manifolds show up...
crockett,Gin and Tonic.  Plymouth or Boodles.
bartender, Lemon or lime?
crockett,"Lemon doesn't go in Gin and Tonics, darlin'.  Where ya' from?"
bartender, Gottingen.  That's in Sweden.
crockett,You in Miami workin' on your complexion...?
bartender, No.  I was in Namibia...
crockett,Doing...?
bartender,With the United Nations High Commission on Refugees.  Famine relief.
crockett,Really?  I did refugee relocation in Somalia.  But they transferred me out after I was wounded...
gina,"Only African he ever ""relocated"" was a $2,000-an-hour Nigerian model for Gucci, and he got wounded when she took an NBA draft choice to the Super Bowl instead of him..."
tubbs,He did volunteer one time...
trudy, Why am I here...?
tubbs, ...to backup Switek.  But only if it gets lethal.
trudy,That's impossible.
tubbs,Why?
trudy,Because you cannot kill him.
tubbs,And there's Dmitri...
crockett,The honey trap.  And there's the honey.
tubbs,"Hello, Miss Ukraine..."
trudy, Eleven to seven he blows it.
crockett, Twenty on my man...
trudy,"You're giving away your money, fool..."
tubbs, You bet your partner?
zito,Sure.  Switek versus primal impulse from the amygdala.  Higher thinking versus the lizard brain.  Tectonic plates of libido confront the cognitive.
gina,"Oh, bullshit.  She cops his joint. He pushes the button."
trudy,What's so fucking difficult?
crockett,Yeah...?
crockett,Yeah.
crockett,On the phone.
crockett,Who is this?
intercut,WITH:
stevens, It's fucked up.  I'm sorry...
crockett, What are you talking about?  Where are you...?
stevens,They had me from the gate.
crockett,I don't understand...
stevens,"I gave up nothing on you guys. Don't worry.  I kept you and Rico out of it.  Only the Feds.  They're on their own...it's all their deal, anyway, so fuck 'em."
stevens,"After I check on Francine and the boys, then I'm gone.  Sonny, tell Rico I'm so sorry.  I wanted you to know..."
crockett,Where are you?
crockett,Alonzo...!
tubbs,What is it?
crockett,Alonzo...
tubbs,Stevens?
crockett, Something's wrong.
tubbs, I'll try Francine...
crockett," This is Detective Crockett.  Miami- Dade P.D.  Patch me through to your Special Agent in Charge, James Fujima?  It's an emergency..."
fbi agent,He'll be in on Monday...
crockett,"I said, ""emergency.""  If he's not reachable, who's running the weekend?  The ASAC?"
fbi agent,We don't give that out...
crockett,Listen carefully.
tubbs, C'mon...
tubbs, I don't know...we haven't worked with him for six months...
crockett, Hello?
crockett,Detective Crockett.
crockett,"A C.I. we cut loose to your Joint Interagency Task Force.  Name of Alonzo Stevens.  Now, he's YOUR informant.  Stevens, called us.  I haven't spoken to him for six months. I do not know what case you have him on.  I do not know what he is talking about.  But whatever he is doing for you, it sounds like it is going bad.  Right now..."
fujima,How do I discuss operations over an open line?
crockett,"How do I know?  But we know this guy.  I think you know this guy.  Normally, he is cool.  Tonight he is distraught. That is atypical.  That engenders foreboding.  Do you understand the meaning of the word ""foreboding""? As in badness is happening to your deal right fucking now?"
fujima,"Guy's involved in a ""meet""..."
crockett,"""Buy and walk""?  ""Buy and bust""? ""Reverse undercover""?  What?"
fujima,"Meet and greet.  ""I flash you some of mine, you flash me some of yours?"""
crockett,And the deal goes down at another place at another time.
fujima,That's right.
crockett,...so there's no industrial- strength HRT weapons team out there tonight?
fujima,Correct.  Flash samples.  Flash cash.
tubbs," Haitian, Dominican, Russian, Israeli?"
fujima,White supremacist types.
crockett,"OMGs, Mongols, Nazi Low-Riders, prison gangs?"
fujima,"NLR, we think.  I wanna know..."
tubbs," Oh, good..."
fujima,"...what else, what else did he indicate to you?  I need to know everything he said."
crockett,"He is saying they had him from the gate.  He is saying to my partner and I and to his family ""goodbye."" What does that tell you?"
switek," Sonny, we got him..."
aryan brother,"Sure, man."
russian,"Never seen money before?  This is called ""money."""
aryan brother,"Hey, Ivan!  I forgot to ask you something, my brother..."
tubbs, What the hell did you do?
stevens,"The Feeb gig was I front a coupla undercover, Russian-speakers to them.  One's ATF.  And broker the deal.  Set up the meet with the NLR types..."
crockett,How'd they get onto you?
stevens,"How do I know?  But it was from the get-go.  Knew the FBI had run me into them.  Sonny, I gotta go...!"
trudy," Hello, Sonny...?"
stevens," I gotta, I gotta go...!"
tubbs,Alonzo...
stevens,What...?
tubbs," Alonzo, you don't need to go home."
stevens,"They said they wouldn't hurt them, wouldn't hurt them if..."
tubbs,They lied.
crockett,They been known to do that...
tubbs,Yeah.
tubbs,Quarter mile away.  We see the lights...
tubbs, We know these people...!
castillo,Grieve elsewhere.
fujima,We're not certain...
castillo,You said Nazi Low-riders...?
fujima,We're not certain!
tubbs,"C'mon, man!"
fujima,We think NLR.  We don't know! Alonzo only fronted as a broker for our guys to make the meet.  He wasn't deep into the crew.
crockett,White gangs...?  It doesn't track.
tubbs,White gangs is tweakers and a crystal meth lab in a trailer park. Bounce around the old lady Saturday night and get your recidivist ass busted back...
fujima,"Not anymore.  This is a distribution network out of South Florida, moving poly-drug loads, crystal meth through coke, to Nashville, Atlanta, Memphis, Cleveland.  And computer fraud, identity theft. It's like that."
castillo, Tell them what you want.
fujima,"They knew about Alonzo, before he made a move on them.  They had our operation.  They've cut into us."
crockett,How?
fujima,We don't know.
tubbs,Break your encryption?  Hack your e- mail?  Employee databases? Somebody on the inside?
fujima,"We don't know.  And that's the point.  Maybe there's a mole. Whatever, it's a disaster.  And it's a Joint Interagency Task Force.  I have DEA, ATF, U.S. Customs components in on it.  So the penetration could be from any one agency.  What we do know is I have to suspend operations right now from undercover work through interdictions 'cause I have to assume our Operational Security is blown."
tubbs,"As in, your ass is dead in the water."
fujima,"But Miami PD wasn't part of the J.I.T.  And from what Alonzo said, he didn't give you up."
crockett,So what do you want?
fujima,To recruit you.
castillo,"...I didn't want you around the crime scene because it's crawling with federal law enforcement.  We don't know who's straight up, who's not..."
crockett,Recruit us to do what?
fujima,"Get into business with this crew, identify them.  Illuminate their network.  If you're lucky, discover their source, how they penetrated us.  We'll indict and take it from there..."
crockett,How do we do that?  Make a buy?  That went well...
tubbs,Reverse undercover?  WE supply to them?
fujima,"They got a steady stream of supply. So, no..."
crockett,From whom...?
fujima,A Colombian producer.  Named Archangel de Jesus Montoya-Londono.
crockett,Never heard of him.
fujima,"From the North Valle area.  New. Low-level, we think."
tubbs,Aryan brothers are not going to change-up suppliers.  So...
crockett,Transpo?  How they bringing the loads in...?
fujima,"They're not.  They collect in Miami.  Montoya, the producer, handles deliveries.  That's his end, and he varies the routes.  We got some FLIR off an AWAC of a coupla go-fast boats, on one run, that's all."
tubbs,"Track with me, here...  What does that say to you?"
crockett," It says, ""Fuck off and die.""  It says, ""We get down for recreation..."""
tubbs, So?
crockett,We could try to run loads into these guys.  Run a few loads for Montoya into South Florida.  Into this group.
fujima,You need to consider a few issues.
castillo, And you will share with them all your intel on Montoya...
fujima,Sure.
castillo,I mean full disclosure.
fujima,"Of course.  From my side, I don't WANT to know anything about what you're doing or how you do it...  So let me know if we're on..."
castillo," About the Stevens family, I'm sorry.  I know you were close to them."
tubbs,I was the kids' godfather.
castillo, And...?
tubbs,"""And"" what?"
castillo,"I got to know.  There is never any room for ""personal""..."
crockett, Everybody gets it.
castillo,Good.
tubbs,"And the answer is ""yes.""  You bet it was personal."
castillo,Okay.  What'd you spot...?
crockett,Three wakes off the back of those boats.  Who runs three Sterling engines off a deep-V hull?
tubbs,Sal Maguda.
castillo,He any good?
tubbs,"Oh, yeah..."
castillo,So what's gonna persuade Montoya to change off Sal Maguda running his deliveries...?
bastide,"Odile, she say they're pregnant..."
tubbs,Yeah?  Okay.  Only Jean-Louis and I do the talking...
tubbs,Comme on dit... 
bad guy,You crazy?  Que fais-tu?
tubbs,"Que faisons-nous?  De qu'a-t-il l'air, fou!  Nous voulons tous votre drugs. "
crockett," Yeah, later."
tubbs," Hey, Nicholas, my ace.  Wha's up?"
tubbs," We got idle all of an instant.  You got something from somewhere that's got to go someplace, somewhen, which is not too distantly in the future...?"
nicholas,It is fortuitous that you called...
crockett,We're from Nicholas to meet Jos...
jos yero, Jos...
crockett,"Sonny Burnett...this is my partner, Rico."
jos yero,Sit.
crockett, Dos caf.
tubbs,"So lay it out, my brother..."
jos yero,Nicholas said you okay.  That's nice.  But how I know if you any good?
crockett,What...?
jos yero,"Who you run loads for?  Cause other than Nicholas, you knows you?"
crockett, My mommy and daddy know me.
tubbs,And we didn't come down here to audition.  Business auditions for us...  ...and know who we are and know they want their load run by us before Nicholas calls.
crockett,That way we do not waste AvGas or our motherfucking time.
tubbs,You wearing a wire?
crockett,Or DEA?  The Feeb?
tubbs,"People gonna walk into this place and say, ""Ola, hijo!  That some crazy wallpaper.  Whew...it wild! Is that a Jackson Pollack?"""
crockett,"""No, viejo.  That was Jos Yero, splattered all over his motherfucking wall."""
tubbs,"So we can close each other's eyes right now.  Real easy.  Real fast.  But, then, nobody makes any money..."
jos yero, Equipment?
tubbs,"Slow and low, Adam A-500s...  ...carbon composite, stealthy, 1400 nautical-mile range, thousand ki payload...all the way to Caravels and 727's from a source country to a transshipment point.  Small freighters.  We've done containers..."
crockett,And specialize in very fast go-fast boats for coastal runs.
tubbs,What kind of weight?
jos yero,We don't talk weight.  We talk logistics.
crockett," The people on shore who handle a load we run are our people, not your people.  No tweakers, dopers, first- timers we don't know.  They didn't do time with us, they ain't doing crime with us."
jos yero,You afraid of violence?
jos yero,"Nothing.  'Cause how you do delivery on the beach, I don't like.  Maybe this does not work."
crockett,Then it don't work.
tubbs,What happened to the last transporter you had?
jos yero,What do you care?
tubbs, Do we need this...?
crockett," Red light, green light, Jos?"
jos yero, Other people will negotiate the money and go or not go.  Not me...
tubbs,Then what were we talking to you for?
jos yero,I had to lay eyes on you.
crockett,And...?
jos yero, But him?  I don't like... how he looks...
tubbs,What do I care what you think about how he looks?  You wanna fuck my partner or do business?
jos yero,"Wait by the phone.  You get a call.  Or maybe you don't.  Until then, piss off back to where you come from..."
tubbs,...Sonny can wait.
tubbs,Anything?
crockett,Nothing.
gina," ""Hi, Gina.  Hi, Sonny."""
crockett,"Hi, Gina.  This is from Frick and Frack. Trudy?"
tubbs, What do we got?
crockett,Satellite.  New encryption. Supposedly sharper than the G...  How good's our background?
gina,"You're so not the PD, if you got busted on a DUI, you're in serious trouble...you're bad men back to grammar school.  Marine Corps.  Statesville. Pelican Bay, where you guys hooked up.  Now you're too smart and too fast to get jacked again..."
crockett,How will it stand up?
gina,"If they ran the rental car or lease on this place...even if it's EPIC database in El Paso...they'd have to work through the layers of bullshit three weeks deep.  Then they'd find your deeper, hidden criminal selves..."
gina, What am I supposed to do after I get my nails and hair done...?
tubbs,Reality TV and stay by the phone. That's what all wives-in-crime do...
gina,Be...careful...  You hear me?
tubbs,Where we meeting 'em...?
crockett,Port-Au-Prince.
crockett,What do we got?
tubbs,Five minutes...
dissolve,TO:
dissolve,TO:
tubbs,They watching us watching them watching us waiting for them?  Or what?
crockett,Who knows...
tubbs,That's it.
crockett,"Really?  So, what is this, a party?"
tubbs,We'll have room service wipe up the furniture...and bring drinks.
crockett,Glad we came.  This place is a lot of fun if you're Doctors Without Borders.  So...?
isabella,I run down the numbers.  Nothing is very negotiable.  Small loads?  We pay three thousand a ki. We pay your fuel costs up front plus ten percent.  The next ten percent on U.S. landfall.
tubbs,Define small.
isabella,"Two, three thousand a ki. Two thousand ki's, your end is $6,000,000.  That's the deal."
crockett,I thought we had to meet the Man.
isabella,You do.
crockett,When?
isabella,Right now.
montoya,Please take that seat on the side...
tubbs,Thank you.
montoya," If you are arrested, there will be lawyers made available to you in the United States.  You will use them.  Anything you need, you will be provided by me.  It cost you nothing.  You will contact and work through Jos Yero on logistics and communications.  To do with money, you will work through my wife, Isabella..."
tubbs, ...who did we just meet?
tubbs,You okay?
gina,Yeah.
tubbs,You sure?
gina,Yes.  What's up?
tubbs,Nothing.  Calling to say hi... What's up with you?
gina,Bored.
tubbs,Okay...see you soon.
gina,...and thanks for the flowers.
tubbs,What flowers?
gina,"The bouquet, here.  Five-hundred dollars worth of roses...yellow."
tubbs,There a note?
gina,You mean with the flowers...?
tubbs,What's it say?
gina,"""Salutations from the south..."""
tubbs,We're on our way...
gina, Okay.
tubbs,Good idea.  We'll grab a bite.
gina,"...the lease, the phones, the cars...layers of false ident. Would take the FBI weeks.  How long did it take them?  Three hours? Four?  This means, ""We can reach out and touch somebody.""  Like Bad Teleflora."
tubbs," ...even if they could run the identities you built to EPIC, all they'll find is more cover... Trust what you built.  It's quality, girl.  We're cool..."
gina," I am careful.  I am cool.  I got Trudy, backup, whatever.  You worry about you.  Because you are the ones who are in denied territory, not me.  If your focus is on me, you'll miss something coming at you.  That's how people slip up. Get hurt.  And I'd die if anything happened.  You worry about you. You and Sonny...are in the dangerous place.  I'm fine..."
crockett,We set.
tubbs,To the limit.
crockett,"You worried about the tree line, US Customs AWACS, or something else on your mind?"
tubbs,Like...?
crockett,Gina in the Miami pad.  You gonna give me phony denials?
tubbs,No.  You gonna give me phony reassurances?
crockett,No.
tubbs,Good.  So let's go...
zito,"Negative, Opa-Locka."
radar officer,Let me see...
crockett,Neptune gonna show?
crockett, Usually his thing is street dealers.  Torture their families until they cough up the stash. This...?
tubbs,Heads up...
crockett,Here's another incognito genius...
trudy,"April Fool, motherfucker."
tubbs," Et vous, mo-fo!"
crockett,"""Extras"" tried to relieve us of your weight...  And by the by, you know of a player in Overtown who goes by the name of ""Things Aquatic""?"
jos yero,I do.  We don't do business with him...
crockett,"He tried to...""do business""...with you.  Around ten.  His place.  Be there."
jos yero,I'll be there.
crockett,Look familiar?
tubbs,This the load you lost a while back?
jos yero,It is.  He try to take tonight's load?
crockett,Yeah.
jos yero,And what do I do with him?
tubbs," Whatever you want.  Like we said, we're not into violence."
jos yero, I walk into Neptune's house...very nice.  But I also see you... and our drugs that got ripped from Maguda.
tubbs,You don't like us finding your load?  We can go and lose it all over again...
crockett,How 'bout this?  How'd Neptune know where to hit us?  Huh?  Whose Op sec's got a leak?  Yours?
jos yero,What'd Neptune tell you?
crockett,"He didn't.  Interrogation's not in our skill set.  So c'mon, what suspicions have you master-minded off these associations?"
jos yero, Here's what this is...ask how much they want to turn back to us our load...
isabella,We want it back.
crockett,Okay.
isabella,What's the recovery?  How much are you looking for?
tubbs, How much we looking for?
crockett,Nothing.
isabella,"What's ""nothing""?"
crockett,"Nothing.  As in ""free, gratis."""
tubbs,And as an investment in the future...
isabella," ""Future"" of...?"
crockett,A fine...business...relationship...
tubbs,"It's yours cause what's yours, is yours.  And what's ours is ours...  ...like the second ten-percent, which is now due, Yero, my ace."
isabella, Give them the shipment on the seventeenth...
tubbs,Conveyance?
isabella,Maritime.  Jose will fill you in.
tubbs, Lay it out...
