Speaker,Dialogue
midnight express, Screenplay by Oliver Stone  Based on The Autobiography by Billy Hayes with William Hoffer
revised draft,"June, 1977"
loudspeaker voice,"Pan American Flight 1 to Frankfurt, London, and New York has arrived and will be ready for boarding at Gate 7 in 20 minutes."
billy,I think I've been poisoned.
susan,"And you ate two baclavas, right? I not to touch them, mine was awful."
billy," Look, I think I'm going to have to go to the john again.  You go on through, I'll catch up."
guard,Passport!
guard,Bag!
guard,Nebu?
billy, It's a frisbee.
guard,Nebu?
billy,"A Frisbee.  You throw, catch it.  Game!"
guard,Ah! 
guard,Take off the glasses.
first guard,Aaaah!
susan,Are you all right?
billy,Yeah... Yeah.
susan, D'you see this?  Janis Joplin died yesterday.
susan, Never Was anybody like Janis.
billy, Never was anybody like you...
susan, You can't take anything seriously.
billy, You're right.
officer,"Attention please, Ladies and Gentlemen. For your own safety we're conducting a security check before you board your airplane, Kindly file out the back. Women and children in one line. Men in another."
various passengers,"What's he saying?  I don't know... Marian.  Hey Marian, what the hell..."
police officer,Idem.
susan,"Jesus, they do everything ass backwards in Turkey."
passengers,"They're checking for hijackers. Any Palestinians aboard? Hey Harry, get rid of your grenades..."
billy,My passport!
susan,No!
billy, Susan - forget it. Go get us a seat on the plane. Now.
susan, What is it? . . . Billy?
billy," For Christ's sake, just GET on the plane, okay!"
second,Nebu? Did you search him?
first officer, No!
second officer, Bomb!  He's got a bomb!
american passenger,Bomb!  Bomb!
first officer, It's hashish. just a smuggler.
susan,...Billy...?
first officer,Vi... Vilyum... Vilyum...
first officer,Hi-yes... 
first officer,'Merican?
billy, New York.
billy,New York... New York...
first officer,Ahhhh...Nev Yok! 
second officer,Name?
billy,William Hayes.
second officer,Vil... Vilyum...?
billy,Hayes...
cameraman,No.. He's smiling. Make him look miserable.
first officer, Gel?  Gel??
third officer," You idiot, you fool. You told me the American was searched... and he's pulling hashish out of his boots!  You're all dogshit!"
second officer," You worthless piece of garbage, where did you learn to search a prisoner?  He's been in our custody for an hour, etc."
first officer, Who searched him?  Who?
billy, That's it! That's all I have!
tex, I think these gentlemen have finished for the time being if you'd like to put your clothes on.
detective," Are you afraid, Vilyum?"
billy,"No, I'm not afraid."
detective,"Good. There's nothing to be afraid of. If you co-operate with us, you will be on the plane for New York tomorrow... yes?"
billy, Yes...?
detective,"Good. Now, where did you get the hashish?"
billy,A cabdriver. He picked me up in the Pudding Shoppe in the bazaar.
detective,Would you recognize him again?
billy,Yes.  I think so.
detective,Good.  Would you go back to the Pudding Shoppe now and point him out to my men if you see him?
tex, You decided to fly at a bad time Billy Palestinian Guerrillas all over the place blowing up planes and all.
billy, Stupid.
tex,Four planes in four days...but I guess you kids don't read the newspapers...and what with our people kicking up a shit storm 'bout the flow of heroin from Turkey you got...
billy,But didn't have heroin.
turk, Well I'm not up on all that. A drug's a drug seems to me Billy and...
billy," But it was my first time. I'm not really a smuggler, was just two kilos."
tex,"Well, you see Billy, it don't really matter right now if it's 2 kilos or 200 kilos. The Turks love to catch any foreigner smuggling - it shows the world they're fighting the drug trade."
billy,But just...
tex,Just what?
billy,"I just needed some extra money.  I was broke, the guy offered me the hash and..."
billy,...are you with the Consulate?
tex, Something like that. Cigarette?
tex,How much you pay this joker... this cab driver?
billy,Two hundred dollars. It was my last two hundred.
tex,How much did you figure to make?
billy,"Three, four thousand...I don't know.  The guy offered me the hash--  ...it just seemed like easy money."
tex,Beats working.
billy,"I was just going to sell it to friends.  I'm not a pusher, honest."
tex,Got a family back there?
billy," Yeah. Parents, brother, sister. Babylon, Long Island."
tex,What's your father do?
billy,He sells insurance for Metropolitan Life.
tex, Be tough on 'em.
tex,Girlfriend?
billy,...She was on the plane.
billy,She didn't know anything about...I wouldn't have wanted her to.
tex,Lucky girl.
billy,"Jeez, she used to say I was the lucky one."
tex,"Let's hope so, Billy.  Let's sure hope so."
tex,"You seem like a nice enough kid to me Billy, but try it and I'll blow your fucking brains out."
billy voice,Dear Mom and Dad. This is the hardest letter I've ever had to write. know the confusion and the pain it will cause you.  And the disappointment...
billy voice," I really thought knew what I was doing with my life. I'd hoped somehow to get out of this quickly so that you'd never know about it. But that just isn't possible now. I don't know what's going to happen. But what can I say to you?  Will 'I'm sorry' make a difference? Will it ease the pain, the shame you must be feeling?  Forgive me...Please..."
billy,Cold. Very cold. Can I get blanket? Blanket? 
ziat, Mo sell...Too late.  Tomorrow...
ziat, Brack!...Brack!
ziat,"You, goddamn you, give me sheet. Give me!"
hamidou, Name?
guard, Vilyum Hi-yes
hamidou, Vilyum Hi-yes...
hamidou,Vilyum Hi-yes
billy,It was cold. Cold! I get blanket. Blanket! Cold!
hamidou, No do. No do.
voice," Hey man, he's gotta walk, or his feet gonna swell up worse."
bell,"Smoke this rocket, it'll cool the pain."
bell,"You gotta walk around some man, or your feet gonna swell up something bad..."
erich,Okay?
erich,How's it feel?
billy, About as good as it looks.
bell,Getchmis olsun
billy,Getchmis...?
bell,"Olsun - ""May it pass quickly."" I'm Bell, Jimmy Bell. This is Erich something Swedish."
erich, Just Erich.
billy,I'm Billy Hayes... At least I used to be.
billy,Looks like a cheap hotel.
bell,"Yeah... Only the room service is lousy.  Come on, let me show you the tennis courts."
erich, Feeling all right?
billy, I feel stoned.
bell, 'Figgers.
billy, ...He had a bald skull and...
bell,Hamidou.  Chief of the Guards. Don't fuck with him. He almost killed an Italian dude couple months ago.  Bad news. He try anything with you?
billy,No... I don't remember.
bell,"With these fucking Turks, soon as the light goes out... I keep one hand on their feet and their feet better not grow.  You'll meet Max. He got raped something bad down in"
billy,The kids? Why are they...
bell," Little fuckers are thieves, rapists, pickpockets, murderers, you name it - they do it. Don't trust any of 'em..."
bell," He was an informer on the outside but he tried to screw the cops out of 60 kilos of opium. Watch him, he's a fox."
billy,Yeah.
bell," History, man, history. How much?"
billy,Two kilos.
bell,Where?
billy,The airport. Trying to get on the plane for the States.
bell, Could be ten or fifteen.  Maybe even twenty.
billy, Twenty months?
bell,"Twenty fucking YEARS, man - YEARS! I figger ten at the least."
billy, Years?
bell,"Yeah, what do you think this is, the good USA? This is Turkey, man...  It's a fucking accident here if you're innocent. And anyway... ...ain't nobody who's innocent."
erich," Don't pay too much attention, anything is possible in Turkey. You might get bail."
erich,"...If you make bail, you're free. You can get a fake passport or sneak across the border to Greece. The Greeks hate the Turks so much they never send you back. The Turks know it. They just keep the bail. money."
bell,"Sure, keep dreaming and see where that gets you... like Max, up in the head, you know...  And that... is history."
erich,The law is sometimes wrong.
bell," The Law is never wrong, asshole. The Law is!"
erich,New people sometimes get on his nerves.
billy, What did he do?
eric,He was caught steeling from a Mosque.  That's heavy here.  He got 30 years.
billy,Thirty years?
erich,Jimmy has more balls than brains. He didn't tell his parents he was in jail for a year and a half.  He says he got himself in and now he's going to get himself out.
billy,And you?
