Speaker,Dialogue
guard,"What's this, then?"
captain's voice,"- folks, we're a little over two and a half hours from touchdown in Atlanta, but if you look out your windows on either side of the aircraft, we'll soon be crossing the southern section of the Rocky Mountains, a range which includes more than 50 peaks rising above 14,000 feet. The chain's loftiest point, Mount Elbert, at 14, 433 feet should be coming into view as we pass over central Colorado shortly.."
ethan,"You keep staring at that watch as if your life depended on it, Doctor.."
ethan,They're ready and waiting.  You'll soon be with old friends.
ethan,Sorry it couldn't be under happier circumstances.
ethan,He was quite a man.  Did he know before the end you two had succeeded?
ethan,..not in time to save him.
ethan,You carry them together?  Safely?
captain's voice,You Captain again.  We've experienced a slight but abrupt drop in cabin pressure..
captain," Pan, pan, pan, Denver Center.  This is Trans Pac Flight two-two-zero-seven, 747 heavy.  We are not reading you.  We're unable to maintain cabin pressurization. We have initiated a descent to one six thousand."
nekhorvich,"..it seems we have a problem, Dmitri."
ethan, You keep calling me Dmitri.  You really shouldn't.
nekhorvich,You're not Dmitri?
ethan,- no.
ambrose,"- pull the NO2 tank and dump it, it's potential evidence.."
stamp," All done, chief.."
ambrose, - don't go too far ahead of me now -
stamp,Not possible..
wallis,"Checkpoint Charlie plus 30, altitude minus two-zero-thousand.  Airspeed one-seven- niner knots.."
ambrose,It's that time.  Go.
voice,"Terrain, terrain.  Pull up, pull up."
ethan,Whoaa..
ethan,You're welcome.
electronic voice,Identity confirmed.
swanbeck,"Good morning, Mr. Hunt."
swanbeck's voice,"Your mission, should you choose to accept it, requires you to recover a stolen item, designated Chimera.  Essential to the mission is the recruitment of a civilian -- a Miss Nyah Nordoff-Hall.  She is a highly capable professional thief currently active in Spain."
ethan,If I let you know where I'm going -
ethan,Do you know me?
nyah,No.  Should I?
ethan,No.  You just looked as if you did.
nyah,No.  Just as if I'd like to.
ethan,Oh.  Well.  I think that can be arranged.
nyah,Not tonight.  Bad timing.  Sorry -
ethan,There's not enough time in the world for any of it to be bad.
nyah,"Look, it's either you or the rent and I don't mind telling you it's not an easy choice."
ethan,What if I pay the rent?
nyah,Uh-huh.
ethan,Uh-huh?
nyah,Go find the wealthy lady you came with and next time we meet - I'll pay your rent.  Now bugger off.
nyah, Mmmm.
ethan,"Decisions, decisions."
nyah,What are you doing here?
ethan,Think you're the only one who can pick a lock?
nyah, I see.  You're not just another pretty face..
ethan,I take it you prefer tenors.
nyah,Would you mind if I'm on top?
ethan,"Oh, either way works for me."
ethan's voice,You're never gonna find it there.
nyah, Damn it!  Find what?
ethan,His ex-wife's Bulgari necklace that goes up for auction Tuesday.
nyah,- right..where is it?
ethan,Far right.
nyah,Where's the bloody -
ethan, - torque wrench.
nyah,- this is very disconerting..
ethan,"Hey, you put me here.  I just do what I'm told."
nyah,- right..
ethan, I wouldn't do that.
nyah,Do what?
ethan,That.
ethan,"Well, Senor de l'Arena the goods news is that the heat sensors were activated.   But Miss Nordoff-Hall, my associate -"
ethan,"- did feel that she had rather too long to work on the safe before they triggered the alarm, isn't that right Miss Hall?"
nyah,Oh yes.  Absolutely.  Much too long I should yes.
ethan,"Under the circumstances I think we would recommend re-setting the senors to respond to a lighter load.  How do you feel about forty kilos, Miss Hall?"
nyah,Indeed.
ethan,"Well, Senor de l'Arena, there's no reason to disrupt your party any longer.  we have some further concerns about the disposition of your security guards, which you'll receive in our written report by fax in the morning, hard copy to follow.  Shall we?"
nyah,The necklace?
nyah,"I'm missing something here, aside from a 500,000 pound necklace.  Even after I botched the job, I could've walked out of there with the bloody thing."
ethan,At least you walked.
nyah,"If you weren't going to let me get away with it, why did you let me go thru with it?"
ethan,Wanted to see how good you were. I'm hoping we might work together.
nyah,"May I say something, no offence?  You look like a gigolo, you sound like a thief, you act like a cop - what the bloody hell do you have in mind?"
ethan,Working under adverse conditions.  Highly adverse conditions.
nyah,"Sounds smashing.  I'm in.  Muchacho, mi carro, por favor!  Now be serious.  You couldn't possibly want me off tonight's performance.."
ethan,You didn't do that badly.
nyah, You're apologizing for me?  Quite the gentleman..
ethan, Not really.  I triggered the alarm..
ethan,"Hey, the Bulgari job last week was flawless.  And I've always been partial to pale yellows."
nyah," I don't do laundry, or put up with cheeky bastards who set me up on their territory so they can poach on mine."
nyah, Hola..
ethan,Hi.  Would you mind slowing down?
nyah,Where did you get this number?  I don't even have it!
ethan' voice,Would you like it?
ethan,"Pull over and listen to me, will you? Just listen.."
nyah,Listen to what?
ethan,I need your help and I thin you can use mine.
nyah,Your help?  What are you talking about?
ethan,"Scotland Yard, Interpol, every Dutch authority.  I can make them go away."
nyah,Oh bloody hell.  You're a spy.
ethan, I deserved that.
ethan," Slow down, slow down."
