Speaker,Dialogue
mute witness, 
andy,Cut. Brilliant.
andy,"Okay, I think we have a little communication gap here. Natasha translates in Russian what Andy just said."
andy,When I said more...
andy,...I didn't mean trash the fucking set.
andy,This is not Chekhov. You're not the star. You're just another victim.
andy,I want to see the pain.
andy,I want to see the blood spurting.
the actor,Oh !
karen,You make the blood flow by squeezing the bag with your elbow. Okay ?
the actor,Sure.
karen,"We're gonna be here till Christmas, right ?  Natasha !"
natasha,Yes.
karen,Tell him you make the blood flow by squeezing the bag with your elbow.
karen,Okay.
karen,Mmmm... She heard you. You all keep forgetting she can hear you perfectly well.
andy,"Okay, from the top."
the voice,Stop. Stop. Stop!
andy,What's the holdup ? The angry bearded man speaks angrily in Russian.
andy,What is he saying ?
andy,"Okay, well, let's just do the close-up of the corpse now, and that'll wrap it for today."
andy,"All right. Okay. So, what I want to do is zoom in, do a slow zoom into the puddle of blood... On another part of the set, behind the dining room, Billy kneels down in front of a big ancient-looking wooden trunk."
natasha,Billy.
natasha,Madame Olga wants some sugar in her blood again. Billy laughs.
karen,"So, he's kind of cute."
karen,"Three months in Moscow, cold winter nights..."
karen,Just a thought.
karen,"Billy, that's what Mom would say."
natasha,He says use more white like a real dead body.
andy,What... what is going on now ?
alex,"Andy. Sorry, it's six o'clock."
andy,"One shot, one more shot !"
alex,We have no time.
andy,One shot ! I can't believe this.
karen,She needs to go get Strohbecker's face.
karen,We'll wait for you here.
andy,"Karen, she's got her own car."
karen,Okay. Okay. Don't forget tonight.
andy,"Yeah, yeah, yeah! Fiesta ! I'm making my famous chili con Clarke. Near Andy's car, Alex, the assistant producer we just saw on the set, is opening the door of his car."
andy,Alex !... what do you say ? You coming ?
alex,Sorry. I have tickets for the Bolshoi Ballet tonight.
andy,"Well, try and stay awake."
andy,Yeah !
andy,Damn !
andy,"Honey ! Honey, can you get that ?"
andy,Honey !
andy,Hello ?... Hello ?
andy,Hello ?
karen,It could've been Billy.
andy,I'm still thinking about dinner.
karen,She's not there either. Shit.
karen,Okay. Ohh !
karen,"Hello, Billy !"
karen,Thank God. She's there. Are you all right ?
andy,Ask her about the mask.
karen,You want to tap something through ? CINEMA STUDIO - BILLY'S WORKSHOP - INTERIOR NIGHT
karen,Wait. Wait. Wait.
andy,"Oh, man !"
andy,"Oh, man !"
karen,...L ?
andy,"Man ! Oh, man !"
karen,"Was it L ? The second letter, was it L ? Karen shushes Andy with her hand."
andy,Shit !
karen,A-L-L ?
karen,O...kay !
karen,Okay. So are you coming over now ?
karen,"Well, don't worry. Just get over here."
andy,You hungry ?
karen,Bye.
lyosha,Hey !
lyosha,Hello ?
lyosha,Is anyone there ?
lyosha,I can explain.
arkadi,Lyosha ! Lyosha is coming to meet Arkadi. They speak in Russian.
lyosha,Arkadi !
lyosha,Arkadi !
arkadi,Billy !
arkadi,Wait. I explain.
arkadi,"Lyosha ! In the electricians' control cabin, hearing his name, Lyosha looks outside the cabin."
lyosha,"Come here, quickly !"
karen,"Oh, my God, Billy."
lyosha,Quickly !
karen,What did happen ?
lyosha,I don't know.
lyosha,She slipped and fall bad. Poor Billy.
karen,"Andy, she's at the back !"
lyosha,"Get the doctor, quickly."
karen,You go. I'll stay here with her.
karen,Let go of her.
lyosha,"No, I must hold her. She must not move."
lyosha,Go !
karen,"Yeah, okay."
karen,"Billy !... Billy, you mustn't move... You may become paralyzed. It's dangerous... Don't worry. I'll be right back... I promise."
karen,Andy !
andy,What's going on ?
karen,"Andy, go with the janitor..."
karen,Do it now !
andy,Ambulance !
andy,Come on !
karen,"It's all right, sweetie."
karen,I'm here now and an ambulance is on its way.
karen,Police ?
karen,Murder ?
karen,Andy ! Andy ! CINEMA STUDIO - FILM SET - INTERIOR NIGHT
lyosha,Excuse me. It's true. We just fake murder. If we really want to murder...
lyosha,"We're not stupid, really. The janitor is trying to follow the conversation. We hear a policeman talking in Russian."
arkadi,"No, no. Sorry."
