Speaker,Dialogue
captain,"A variation on our squid ink risotto.  Trace of Moselle, to sweeten the stock."
captain,"Don't kill us on this one, it's a long shot."
julianne,"I'm writing it up as inventive and confident.  Which it is.  Off the record, I'll need an extra boat of the ink.  Or a salt shaker."
captain,I'll toss a coin.
digger,"Is it ever embarrassing, having your bum kissed in public?"
julianne,"If your ass isn't chapped, you are not a good-writer of note."
julianne,"Is it sad to be an editor, and bask only in reflected insincerity?"
digger,"I've adjusted, and thanks for asking."
julianne,"See the pull of a book like Twenty Chefs, is not who I put in.  It's who I leave out."
digger,Which is everyone you couldn't get in.
julianne,Plus some guys whose food I don't like.
digger,This fellow from Newsday ever call?
julianne,"I'll buzz my machine.  Inventive and confident, yeh?"
digger,Needs salt.
julianne,"Is Newsday a real interview, or just some cute guy you're setting me up w..."
digger,"... I don't send you men, anymore. You don't know what to do with them."
julianne,Sometimes I do.  Like for two months.
digger,... weeks.
digger,Who called? The man of the moment?
julianne,"No, no, the opposite.  That's my best friend, Michael O'Neal. He sounds desperate to talk."
digger,The wandering sportswriter.
digger,I didn't know you two had a past.
digger,The look in your eye.
julianne,"Sophomore year at Yale we had this one hot month.  And, you know me, I got restless..."
julianne,"So I get up the nerve to break his heart.  I tell him there's this dreamy exchange student from Pakistan who wants to, you know..."
julianne,"And he gets this... look.  He says, ""I knew I couldn't hold your interest"", which, of course, makes me feel like the shallow bitch I've always been..."
julianne,"Then he says, ""But what makes me want to cry.  Is I'm losing the best friend I ever had."""
julianne,"And when he said it, I knew. I felt the same."
julianne,So I cried.  For maybe the third time in my life.  And I kissed him.  And we've been best friends ever since.
julianne,"Nine years, we've seen each other through everything.  Losing jobs, losing parents, losing lovers... travelled all over, we've had the best times.  The best times of my life, maybe.  Just drinking and talking.  Even over a phone."
digger,Kindred spirits.
julianne,"No, he's nothing like me.  He's like you.  Only straight."
julianne,"He's the salt of the earth.  Kind and loyal and generous.  The one constant thing in my life, is he'll always be there."
digger,He's still in love with you.
julianne,Maybe.  But it never gets in the way.
digger,"Well, he has a true friend in you."
digger,"Whenever George tells someone how steadfast I am, he always makes me sound boring."
julianne,Solid and genuine is not boring. Michael can be completely insane...
julianne,"There was this one night in Tucson, like six years ago... we got amazingly drunk, I mean, Keith Richards time..."
julianne,"God, I haven't thought of this in so long..."
julianne,I can even believe we did this...
julianne,Could you give us a minute?
julianne,"You won't miss much, I promise there was no sex."
digger,I've lost interest.
julianne,"He takes a razor from his dinky little dopp kit, cuts his fingertip, takes my hand, does the same to me..."
digger,Blood oath.
julianne,"He says, ""Swear.  When we're both 28, if we've never been married... we marry each other!"""
julianne,"See, he figured that would be a sign from God, or someone of comparable authority, that we'd misunderstood our destinies."
julianne,We never talked about it again.  I don't know what made me think of...
digger,You'll be 28 in three weeks. How old is he?
julianne,You think...
digger,Desperate.  To talk.
julianne,"He's not proposing marriage, there's no way I'm buying one word of th..."
digger,Then why are you compulsively eating? If you're not hysterical?
julianne,He can't do that to me!
digger,We're about to find out.
julianne,When I turn him down...
julianne,We'll never be the same.
digger,I have a suggestion...
julianne,I'll have to kill myself before I call him.
julianne,"This is awkward timing, Michael, I just joined this convent, and they never give your deposit ba..."
julianne,"Michael, I'm married."
julianne,... and I have two weeks to live.
julianne,"Michael, I'm trying to be gay, don't confuse me."
julianne,"I was calling Michael O'Neal, but seeing it's so late, I could just leave a mes..."
julianne,"Yeh, well my old machine kept eating messages.  I tried constructively ignoring it in hopes of improvement, but finally..."
julianne,"I was thinking about you, and I remembered this unbelievably insane night we spent together in Tucson, like a thousand years ago?"
julianne,"I mean, there's no way you could possibly remember the..."
julianne,"Well, that's great.  You haven't really had anybody since Dingbat Jennylee..."
julianne,"Well, somet..."
julianne,"Well, sure."
julianne,You've met her parents.
julianne,"Michael, it's Wednesday night, you can't possibly be getting married on Su..."
julianne," ... Thomas, yeh."
julianne,"Well, maybe we should talk ab..."
julianne,W...
julianne,"OR, IN THE ALTERNATIVE, WHY AREN'T YOU INTERRUPTING IT TO ANSWER THE PHONE??"
julianne,"YOU, YOU, YOU! IT'S ALL ABOUT YOU, ISN'T IT??"
digger,You can't get lung cancer and die in four days.  Go to Plan B.
julianne,You have no appropriate sense of emergency.  My best friend is ruining his life.
digger,"No, he's ruining yours."
julianne,"Same difference.  If you love someone, it's your duty to save them from themselves."
digger,You have a real philosophy of life.
julianne,"It's called the Law of Love, asshole."
julianne,"I'm a busy girl.  I've got four days to break up a wedding, and steal the bride's fella."
julianne,He's adored me for nine goddamn years.
digger,I can see why.
julianne,"She knows him maybe five seconds, plus she has billions of dollars, plus she's perfect, so don't go feeling sorry for Miss Pre-Teen Illinois!"
julianne,"And don't go feeling sorry for me, you don't know me that well. We're only friends."
julianne,"I'm making a big mistake, huh?"
julianne,"I'm gonna bring him back, man. Against all odds, y'know.  Cos if I don't..."
julianne,... I gotta live with it forever.
julianne,And at my wedding.  I'll be the only bride with her own best man.
kimmy,This just makes everything so perfect.
kimmy,"All I've heard, from the day I met Michael, is Julianne this, and Julianne that..."
julianne,"Well, we're..."
kimmy,I think the best part of marrying this guy is finding you.
kimmy,I've never had a sister.
kimmy,"My heart's in my throat, here. Right off, I have to ask this monstrous favor..."
julianne,You need a few dollars.
kimmy,Dry.  Just like he said.
julianne,Excuse me?
kimmy,I can be quick.  I can even be funny.
kimmy,But I can't be dry.
julianne,Can you watch the road?
kimmy,See.  Dry.  It's in the delivery.
kimmy,This is a very presumptuous and burdensome fav...
julianne,... you want a menage on your wedding night.
kimmy,My classmate Angelique shattered her pelvis line dancing in Abeline on Spring Break.
kimmy,Be my maid of honor.
kimmy,You can't believe what it'd cost to bring in a temp.
julianne,Uh.  How about promoting a bridesmaid?  Someone you know for at least forty-five minutes.
kimmy,"The bridesmaids are my only two female relatives under forty. Identical twin debutantes from Nashville, who are basically vengeful sluts.  With amazing bodies!"
julianne,Which was the disqualifying factor?
kimmy,The twin part.  I like to remain impartial in my contempt.
kimmy,This means I have four days to make you my new best friend...
kimmy,"And since I already know everything about you.  Including intimate facts I'm mortified to have heard, but too envious to forget.  It's time for you to learn about me..."
kimmy,Force yourself.  To get personal.
kimmy,If you'd rather the lilac...
julianne,I thought bridesmaids had to wear the same dress.
kimmy,Not you.  You won't be comfortable unless you're distinctive.
julianne,What else did he tell you...
kimmy,"... you hate weddings, you never go."
kimmy,"You're not up for anything conventional, or popularly assumed to be female priorities. Including marriage.  Or romance. Or even..."
julianne,That's why Michael and I were the wrong fit.  Right from the start.
kimmy,"He said that, too."
kimmy,"Well, I thought I was like you. And proud to be.  Until I met rumpled, smelly old Michael..."
kimmy,And then I found I was just a sentimental schmuck.  Like all those flighty nitwits I'd always pitied.
kimmy,"Funny world, huh?"
julianne,I need a smoke.
kimmy,It's mostly the seam.  Let's get this to Carlos.
julianne,Don't you have to be somewh...
kimmy,... just my bridal shower.  And Michael has to meet our dads and the groomsmen at Comiskey for a one-thirty game.
kimmy,Other than that...
julianne,"Come in, and shut the..."
julianne,... door.
julianne,"Michael, I'm in my underwear!"
michael,We've seen each other a lot more naked than this.
michael,"I mean, we were skinny-dipping in Greece, just as pals, less than two years ago."
julianne,Things are different now.
julianne,What's the sec...
michael,Mirrors.
julianne,"... luckiest guy in the Northern Fucking Hemisphere, is all I'm s..."
kimmy,What? Because I'm a little understand...
julianne,... most sentimental schmucks I pity want a honeymoon after their wedding.  Just to top it off.
kimmy,I can't expect the NBA to hold up the playoffs...
kimmy,"I'm excited Sports Illustrated gave him this kind of shot, he's only there a ye..."
julianne,So your honeymoon is exactly where?
kimmy,"It depends.  If San Antonio sweeps Sacramento, we could start there. Or Phoenix.  Or depending on Indiana- Clevel..."
julianne,"... garden sports, all.  Little swing of maybe fifty degrees Fahrenheit, represents a packing challenge, but there's fine food and cocktails at a choice of Embassy Suit..."
kimmy,"It's his career, I'm supportive. Look, I've been everywhere, I've seen the world, I've laid on a beach. I want to be with the man I love. That's what makes it a honeymoon."
julianne,I'm just saying he's lucky.
julianne,Takes one woman in a billion to put up with his array of shit. The guy is a one-man festival of idiosync...
julianne,Well.  You've been introduced to the symphonic range of...
kimmy,"... his snoring, yeah.  He says it's worse than ever.  That snaffle one...?"
kimmy,Well now it has this sorta phlegm rattle behind it...
kimmy,Guess what? Earplugs work.
julianne,How about...
