Speaker,Dialogue
final script,"November 11, 2009"
guido,"You kill your film several times, mostly by talking about it. A film is a dream. You kill it writing it down, you kill it with a camera; the film might come to life for a moment or two when your actors breathe life back into it - but then it dies again, buried in film cans. Mysteriously, sometimes, in the editing room, a miracle happens when you place one image next to another so that when, finally, an audience sits in the dark, if you're lucky -- very lucky - and sometimes I've been lucky - the dream flickers back to life again. That's why I'm secretive."
guido,"Finally, a serious question."
studio superintendent,"Good luck, Maestro."
dante, Guido! You're here.
guido,"Buongiorno, Dante."
dante,I've been looking for you all over the place. The set's coming along. How are you?
guido,"Bene, grazie, bene."
dante,"Bene. My God, you look terrible, better go to makeup, forget you've got a press conference?"
fausto, He has no tie.
dante,"Yes, makeup and wardrobe."
fausto," Signor Contini, I'm Fausto.     Good morning, Signor Contini. p. 4"
dante," Don't speak to him, I speak to him."
fausto,"Okay, I have some questions for Signor Contini."
guido,We all have questions for Signor Contini.
fausto,"Yes, but please, please, I think it's customary for there to be an approved script and budget before filming commences..."
guido,Is he going to follow us?
fausto,"It's not my intention to be difficult. Maestro, I am a huge admirer of Maestro Contini's movies, your early films are...everybody loves them and... I consider it a great honour for me to be here now... none the less, I need a script and a budget."
pierpaolo,Where do you want your messages?
guido,On my desk.
pierpaolo,There's no room on your desk.
guido,Under my desk. In the trash. Non lo so.
pierpaolo, Some of these are urgent!
guido, Get me a cigarette.
jaconelli, We will never be ready to shoot in ten days.
guido,Jaconelli -
fausto, Not ready?!
guido, p. 6
dante,"He's not exactly from the bank, Guido."
benito,"Dottore, Dottore. You have actors waiting for you in your office. Auditions all morning. You should see what I've found. I found two sisters. Look, they're right..."
dante,Not now. He's got the Press Conference.
guido,I need a cigarette.
dante,"He needs a shirt and tie, Lilli."
guido,I need a coffee and a cigarette.
lilli," Answer a question, I'll give you a coffee. Answer another question, I'll give you a cigarette. And so on."
guido,Actually and an aspirin.
dante, We're running late...
lilli," Calm down. Directing a movie is a very overrated job, we all know it. You just have to say yes or no. What else do you do? Nothing. Maestro - Should this be Red? Yes. Green? No. More extras? Yes. More lipstick? No. Yes, no, yes, no, yes, no - that's directing."
guido,"That's right: that's directing. And it doesn't seem to make a blind bit of difference, finally, what the answer is..."
lilli,"So please, Guido, yes or no, do you want any costumes in this film?"
guido,Yes. p. 8
lilli,You see - simple!  Might I know what period the movie's in?
guido,"Yes, yes.  Soon."
lilli,You know I don't allow producers in here.
dante,Alright. Two minutes Guido.
lilli,He's gone. Have you written a word of the script?
guido,No.
lilli,Are you in a panic?
guido,Yes.
lilli,Is Luisa going with you to the Press Conference?
guido,No. Nobody. Dante.    And his spy.
lilli,You need to shave.    You look terrible. p. 9
guido, Why is there no fire escape in here? What if somebody needed to escape? I can't face these reporters. I have nothing to say.
lilli,"You'll be fine. You're a world class liar, darling, go out there and lie for Italy, lie for Italia."
guido,"What the hell's wrong with me? I can't sleep. I can't think. I can't write. I can't breathe. My heart is racing. Am I dying, Mamma? I owe you flowers, I know. I'll come to the cemetery at the weekend. You should have let me bury you in Roma, Mamma, I could visit you every week. Don't look at me like that."
mamma," Oh, Guido, Guido."
mamma,"This is your Rome, Guido. The world sees Rome the way you invented it. Your films did that."
guido, I miss you.
mamma,"I miss you, too."
radio reporter,And we're just waiting for the arrival of Contini...any moment now - Could this film put the Maestro back on top?
dante,"Silenzio, per favore...Thank you, thank you..."
radio reporter,"Dante, Guido Contini's long time producer, is about to speak..."
dante,"I want to say a few words from my heart. I am humbled and thrilled to be able to announce that I am producing Guido Contini's next film, Italia, which will star once again Contini's longtime inspiration, the international film star, Claudia Jenssen..."
guido,"Thanks for coming, everybody."
dinardo,Maestro Contini. Maestro Contini.
guido,Yes.
dinardo,"Grazie. Maestro Contini, your new film is called Italia... big title."
guido,"Actually, it's my shortest title yet."
dinardo,But hardly a modest one.
guido,"Films are not modest. They cost too much, they take too long, and they involve too many people. So they should have grand titles."
dinardo,And might you tell the press what the film is about?
guido,Why? I still don't know what my last film was about.
leopardi, That was the problem. Nobody else did.
