Speaker,Dialogue
final script, November 2006
reader note," One thing that will be obvious to viewers, but not to readers, is that the nine principal parts in this film are played by only three actors:  1) Gary, Gavin, Gabriel  2) Sarah, Susan, Sierra  3) Margaret, Melissa, Mary  It'll make more sense in context. Promise."
gary,Hey!   Do you sell crack?
gary,Is this crack?
gary,"Yes, hello. I'm having a medical situation. Yes. Okay. I don't have a belly button.  I do not have a belly button where I should, on my belly. And I'm concerned, because I don't know if that's..."
margaret,La la la la la. Like you've never done worse.
gary,Gary.
margaret,I know.  We need to go out the back.
gary,Are there reporters out front?
margaret,"A few. Not Hugh Grant level. More like Robert Downey, Jr. when he broke into that family's house and slept in the kid's bed like Goldilocks. ""This bed is just right."" I handled episodes two through four for Robert. This sort of thing is my specialty."
gary,What is?
margaret,Famous fuck-ups. Don't worry. Mama's gonna take good care of you.
parole officer,Answer it.
gary,Hello?     Yes. Yes.
parole officer,Use your normal voice.
gary, Nine dogs ran through the field. The koala sits in the tree.
margaret,"It's computer voice recognition. The system can call you any time day or night. If you don't answer within five rings, the police come and haul your ass off."
gary,What if I'm not here?
margaret,"That's why it's called house arrest. You stay inside your house.  He can take direction, I promise."
margaret,"Okay, just so it's said, this house is flammable."
gary,I didn't mean to burn down my house.
margaret,"Yeah, I didn't mean to eat my way into a ten-year shame spiral, but I did, and it's healthier to acknowledge it.  This flammable house belongs to one of Lola's other fabulous clients, who is currently shooting a pilot in Toronto."
gary,Actor?
margaret,"Writer. So for the next six weeks, su casa es su casa. I say, feel free to wear his clothes. He'll probably get a sick thrill of out it. The gays."
gary,He has dogs?
margaret,"They're away at summer camp.    Now, try the bed."
gary,It's fine.
margaret,Comfortable?
gary,Sure.
margaret,"Look, Gary, I know this has been crazy and stressful. I want you to feel safe. And comfortable."
gary,I do.
margaret,"I'm a fan of yours, you know.   Your number-one fan."
margaret,"I'll be coming by twice a day to check up on you. I'm the only person who should be coming by. No buddies, no pals, no heroin dealers..."
gary,I don't do heroin.
margaret,"Yeah, crack is classy. And I'm not buying you porn. There's spray-per- view on cable."
gary,"Good. I really wasn't concerned about my career, my family or my future. I just wanted to jack off."
margaret,Let me see your phone.
gary,C'mon!   All my numbers are in that.
margaret,Dial ten digits at random. Whoever answers will be better than the people on this phone.
gary,I guess.
gary,Is somebody there?   Hello?
margaret,"Poltergeist, and no. Maybe they were rats. L.A. is teaming with rats. They live in the palm trees."
gary,Sure.   Maybe.
margaret,Okay. You know I'm a licensed psychotherapist.
gary,Really?
margaret,"No. I'm a publicist. My job is what other people think of you, not what you think of yourself. So pull your shit together. I am thisclose to getting Christine Walsh to do your piece in Parade."
gary,Parade?   I fucking hate Parade.
margaret,"Everyone hates Parade. But the people who watch ""Crime Lab,"" they love their Marilyn Vos Savant. Give them a woman of indeterminate age who solves riddles and they are in hee-haw heaven."
gary,Okay.
margaret,One heartfelt act of contrition and maybe the showrunner won't kill off your character between seasons.
gary,I'm not crazy.
margaret,Exactly.    Exactly.
woman's voice,Sorry!   Really sorry.
sarah,"I'm working on my putting, if you can believe it."
gary,Not really.
sarah,"Okay. Maybe I was just looking for a way to meet my infamous neighbor. You see, I'm under house arrest, too."
gary,What did you do?
sarah,I had sex with my husband.
gary,That's awful.
sarah,"Nine months later, I had Jaden. That's her over there."
gary,She's cute.
sarah,She's sleeping for another...  ...seventeen minutes. She keeps to a schedule.
gary,She sounds really boring.
sarah, She is.
gary,You're rich. Shouldn't you have a nanny from Ecuador?
sarah,I'm Canadian.
gary, Ohhh...
sarah,"I can't work in the U.S. Plus, I want to maintain this air of moral superiority by doing everything myself."
gary,Very Canadian.
sarah,Thanks.
gary,I'm pretty sure I'll be here.
sarah,It's a date.
gary,Is it?
sarah,"Oh.   I'm Sarah, by the way."
gary,Gary.
sarah,Yeah.    I know.
sarah,The best of all possible worlds.
gary, Okay.
sarah, Are you actually reading it?
gary,I thought I was.
sarah,Sorry I bailed. Jaden had a fever.
gary,Ah!   How boring of her.
sarah,Housewarming gift.
gary,Demon liquor.
sarah,"The best part is, I can drink it. I pumped before I came."
gary,So did I.
gary,"... so it's kind of hard to prove that I only meant to burn my ex- girlfriend's stuff, and not the entire house."
sarah,Yeah.   Fire's tricky that way.
gary,How about you? Any history of arson?
sarah,Strangely enough...
gary,I knew it!     I could see that little spark.
sarah,It wasn't arson.    Probably.
gary,Oh shit.
sarah,"I'll never forget the look on my father's face as he gathered me up in his arms and raced through the burning building, out onto the pavement."
sarah,"Then I fell in love with the most wonderful boy in the world. We would take long walks by the river or just sit for hours gazing into each other's eyes. We were so very much in love. Then one day he went away and I thought I'd die. But I didn't. And when I didn't, I said to myself, ""Is that all there is to love?"""
sarah,"Is that all there is? Is that all there is? If that's all there is my friends, then let's keep..."
sarah,"I know what you're thinking. If that's the way she feels about it why doesn't she just end it all? I'm in no hurry for that final disappointment. I know just as well as I'm standing here talking to you, when that final moment comes and I'm breathing my last breath, I'll be saying to myself..."
sarah's voice,"Is that all there is, is that all there is? If that's all there is my friends, then let's keep dancing. Let's break out the booze and have a ball, If that's all there..."
sarah,I need to...
gary,Just...
sarah,My shoes.     Are here.     Okay.
gary,Don't worry about it.         Just...
sarah,I'm going.     Bye.
gary,Goodnight.
voice,The cat says meow! The pig says oink!
gary,Hello.
gary,Jesus!   You scared the shit out of...
noelle, You're hurt. GARY I don't speak that.   Sorry.   I don't...
noelle," Mom is at the car. Where you left her. Again, Gary has no idea what she's saying."
margaret,"Think of it like an electronic leash. Basically, if you ever go more than 100 feet from the base station..."
gary,...the cops come and throw my ass in jail.
margaret,No. I kick your ass. Then the cops come and throw your ass in jail.
gary,Do I still have to answer the phone?
margaret,"No, I'll be doing that from now on. I'm moving into the guest room."
gary,I don't need a babysitter.
margaret,"Despite all evidence to the contrary. Don't worry, I'm a cool roomie. Who do you think taught Affleck how to gamble?"
gary,"So the guy was like, ""Do you know fencing?"" And I say, of course. That's what it says on my headshot."
margaret,Lies!
gary,"Always.   So he says, ""Foil or epi?"""
margaret,Epe.
gary,"I say, I'm about equal in both."
margaret,Which is true.
gary,"So he tosses me this fucking Conan sword and goes after me. I'm just swinging, trying to stay alive. But I end up cutting his ear."
margaret,You cut his ear off?
gary,Just a little. But I got the job.
margaret,Wait. You were in Pirates of the Caribbean?
gary,"Yes. No. Not the movie, the ride. I was like, ""Gar! Keep both hands inside the boat!"""
margaret,"Goodnight, fuckface."
gary,"Goodnight, you filthy whore."
margaret,It's incredible.
gary,"I know. Whenever I see them, and I always feel like, damn..."
margaret,...I was born at the wrong time.
gary,Exactly.
sarah,Where's the warden?
gary,Groceries.
sarah,Quite the little missus.
gary,How's Jaden?
sarah,Boring. We haven't had nearly the grand old time you two have been having.
gary,You've been watching.
sarah,Well. I don't want to meddle in your affairs.
gary,My affairs?
sarah,Everyone needs affection.    I get it.
gary,I don't.    Are you seriously jealous?
sarah,The opposite. I just want to protect her.
gary,From what?
sarah,From you. Look at you. You date models. Actresses. Tennis players.
gary,Yeah.
sarah,"On a scale of one to ten, you belong with the Nines. We both know you won't settle for less."
margaret,"What are ""the Nines?"""
gary,What?
margaret,"""Look for the Nines."""
gary,It's not mine.
margaret,It's your handwriting.
gary,I didn't write it.
margaret,Okay.
gary, What?
margaret,Nothing.
gary,"Seriously, what?"
margaret,Nothing. I thought you were...forget it. Done.    Sorry.
margaret,Yhello? Hi. What?!  I have to take this.
margaret,I know who you are.
sarah,Really.
margaret,I know what you are. And if you come near him again...
sarah,You'll what?
margaret,Margaret.
sarah,"I like that. ""Margaret.""   Classic."
margaret,Why can't you just leave him alone?
sarah,"Alone? He's an actor. If nobody's watching him, he doesn't really exist. "
33.,"SARAH  He's going to figure it out eventually. And when he does, who do you think he's gonna blame?"
margaret,"Goodnight, ratface."
gary,Goodnight.
sarah,Hey neighbor.
gary,Hi.
sarah,Sorry for the psychotic episode. I'll blame it on hormones.
gary,Okay.
sarah,Are you alright? You look a little Beautiful Mind-ish.
gary,How many times should the number nine come up? Probablistically?
sarah,Probablistically?
gary, You know what I mean.
sarah,One time out of ten.
gary,How about every time?
sarah,Some of these are prices. There's going to be a lot of nines when...
gary,There is something wrong with the world.
sarah,You have an eyelash on your... here...
margaret,Everything okay?
gary,Peachy.
margaret,Peachy's good. I like peaches.
gary,Sure.
sarah,You have to trust me.
margaret,You okay?
gary,No.
margaret,Oh.
gary,Tell me about the Nines.
margaret,The Nines?
gary,The Nines.
margaret,Sort of hard to start there...
gary,"Try. And don't tell me I'm imagining it. They're showing up everywhere, and I want to know why."
margaret,Best guess? They're your subconscious trying to remind you who you are.
gary,I'm a Nine?
margaret,Yes. It doesn't make a lot of sense of out context.  Coffee?
gary,Why don't you drink coffee?   You're always drinking tea.
margaret,Happy?
gary,Talking.
margaret,On the phone. Usually.
gary,I never met you before I came here.
margaret,"You, Gary, never met me. But you're not always...  I can understand why you're a little confused."
gary,No.   I'm a lot confused.
margaret,Theories?
gary,This is all a dream.
margaret,No.
gary,I'm in a coma.
margaret, No.
gary,"Then I'm dead. This is Hell, or Purgatorium or something."
margaret,"Okay, a purgatorium is where Romans vomited. But no. This is as real as anything can be."
gary, What does that mean?
