Speaker,Dialogue
hollywood,Fuck!   Fucking-shit-fuck-fucking- fuck!
hollywood,"Watch it, old man!"
tattoo artist,The needle is doing what the needle does.
hollywood,What's that supposed to mean?
tattoo master,"The irezumi does not hide the skin, the tattoo reveals the nature of the man and illuminates the four noble professions in the Book of Five Rings: the Warrior, the Artist, the Merchant, and the farmer. If there is a conflict between the needle and the skin, between the mark and the man, then perhaps the path you have chosen is not the path for which you are suited."
hollywood,"What did you just say, old man?"
tattoo master,No disrespect.
hollywood,You're lucky. I can't kill you 'til you finish this thing. Gimme that mirror! How's it looking?
yakuza one,"Hey, boss. This just came for you."
hollywood,What is it?
yakuza one,A letter.
hollywood,"So open it, dumb ass."
yakuza one,Looks like sand.
tattoo master,No...
hollywood,You know what this is?
tattoo master,"Years ago, I watched a man open an envelope like that one."
hollywood,What came out of the shadows?
tattoo master,I cannot say the word.
hollywood,What word?
tattoo artist,"That night, one of their blades struck here. I should have died, but for an accident of birth. My heart is here, on the other side."
hollywood,What the fuck is that?
yakuza one,"Looks like a Ninja, boss."
hollywood,A ninja? Are you kidding me? That's the word you're afraid to say? Ninja?
tattoo artist,"But you are real, aren't you?"
checker,That's a lot of noodles.  Are you a student? Tourist?   Here on business?
raizo,I don't think so. Sorry.
checker,"So if you're not a student, and you're not a tourist, and you're not here to work... what are you doing?"
raizo,Waiting.
checker,For what?
raizo,For the wheel to turn.
ozunu,"...you must never, ever forget who you are, how you came to be. You are Ozunu. You are a part of me as I am a part of you."
raizo,Is everything all right?
landlady,"Yes, fine, it's all fixed. You keep it very dark and spare in there."
raizo,"Ms. Ali, my privacy is very important to me. If you enter my apartment again without my permission, I will leave your building."
landlady,I just --
raizo,Good day.
ozunu,"On the street. Abandoned by your parents. Without a home. Without people to care for you. You should have done as most children do, and gone quietly from this world, to the next.  But, instead you fought. As you did here today. You fought. And you won."
mika,"Some people see money as the root of all evil, but to me it looks like a fingerprint. Whether we're talking about 19th century Korea, or 21st century Iraq, the game is the same. If you want to understand why certain things are happening, you have to understand the flow of money."
maslow,"You're excited, Mika. You know I get nervous when you're excited."
mika,You remember the Eulmi incident?                    *
maslow,"Korean queen, late eighteen-                         * hundred's. According to you, she was off'd by one of these ninja clans."
mika,Ozunu. I think. I've been going through some of the original transcripts of the trial of Kunitomo Shigeaki. The prosecutor questioned him about a payment of 100 pounds of gold. Shigeaki answered that he didn't know what the prosecutor was talking about. The question was never brought up again. But what pinged for me was the amount- the exact same amount rumored to be paid to the Hattori Clan for the assassination of Lord Sanda.
maslow,"So you start to wonder, in this ever changing world, if the cost of a man's life has remained constant."
mika,Exactly. I figure these clans are like a thousand years old. They probably don't change a lot.
maslow,Highly circumstantial.                               *
mika,I thought you might say that so I checked how often this particular bank transferred that market equivalent to a hundred pounds of gold in the last three years.
maslow,Let me guess.
mika,Not once.
maslow,Okay you got me. This is                                * interesting.                                            *
mika,"The clans are real, Ryan. They                          * steal children and turn them into                       * assassins. They've been doing it                        * for years and nobody's doing a                          * damn thing to stop them.                                *"
maslow,"Look, no one's denying the historical record, Mika. But the whole idea just doesn't fit in with a modern world. It's like one of those questions on an IQ test: which of these doesn't belong in this sentence: laptops, space shuttles, nanotechnology, ninjas."
mika,"They're real Ryan. You can call them spooks, or assassins, or whatever you want if it makes you feel better, but they're out there. They're killing people and nobody is doing a damn thing to stop them."
ozunu,Our enemies are everywhere.
ozunu,You must move without trace or                       * footprint.
pretty woman,Hi... excuse me...?  Would you mind?
raizo,...sorry?
pretty woman,"If it's not too much trouble, could you help me with this?"
raizo,What clan are you from?
pretty woman,I... don't understand...
raizo,You came alone. The Ozunu clan would never make such a mistake.
manager,What is going on-
maslow,"And two cokes, please."
mika,"How long have you been here? And you can't say ""zwei cola bitte""?"
maslow,"Course I can, but you tend to hear more interesting things if people don't know you can understand what they're saying."
mika,Do you ever stop being a cop?
maslow,"Not the way I was raised. My dad always said, being a cop has nothing to do with a clock. It's a consequence of consciousness often interpreted as desire."
mika,Desire?
maslow,For justice. And doughnuts.
mika,I think so. Same template as before. The transfer was made the day before a multiple homicide in Osaka. The police and newspapers are calling it a gangland slaying.
maslow,"How do you know what the police report says? You're not still requisitioning evidence with my clearance codes, are you?"
mika,What about the bank audit?
maslow,Denied.    It was a long shot at best.
mika,But you said you found something.
maslow,"A report. A friend of mine in Moscow, tipped me to it."
mika,What happened to him?
maslow,"Same thing that's going to happen to me, if I keep hanging around with you- booted out of the service for mental instability."
mika,Is he still alive?    We need to find him.
maslow,Working on it.
mika,"You believe it now, don't you?"
maslow,Ninjas?    Are you kidding?
mika,Then why are you doing this?
maslow,No idea-
