Speaker,Dialogue
"draft: march 27, 2011"," 1.  FADE IN:  EXT. THE PLANET - MORNING  Huge mountains, destroyed STRUCTURES. Buildings enveloped by flows of earth. Awe-inspiring beauty.  JACK  Well, almost everyone."
victoria,"Today we will be running support on five Resource Gatherers working the seaboard. Coordinates coming to you... now. Please do confirm. On Jack's heads-up display, five icons glow to life."
jack,"Yeah, I got 'em. You got 'em, Bob? The Bobblehead bobs."
victoria,"Drone perimeter defense is intact, although one went offline last night. How's the drop?"
jack,"Oh, you know. Same ole' same. In front of Victoria, almost a hundred years of technological advances. Most prominent a MAP overlaid with environmental, meteorological, radiation levels... Other screens stream cam-footage from the Bubbleship."
victoria,"Alright, you're blind in five, four, three... INTERCUT WITH JACK IN THE BUBBLESHIP. JACK watches the cloud wall RUSH UP at him."
jack,You should come with me sometime.
victoria,"No, thank you. Have a nice ride. The Bubbleship HITS CLOUDS, goes completely blind. Just vapor and water HAMMERING the canopy like bullets. On the heads-up display, GPS numbers roll. The readouts deal with climate, terrain below... Even in this hell, Jack takes the controls, starts to pilot on instruments. One of Victoria's boards flashes. She squints as a large MASS forms near Jack's ship."
jack,"What do you call this? What does a storm look like inside a storm? Like this. The WALL OF WEATHER comes out of the wind and rain from behind Jack's ship, simply eats it up. Suddenly Jack's going end over end, helpless. Warning lights flash. Jack punches controls that won't respond."
jack," ""Talkin' 'bout my girl..."" Jack shifts the Bubbleship, in the distance a series of RESOURCE-GATHERERS on the horizon. Essentially titanic vacuums, sucking up the oceans. In front of her console, VICTORIA charts the Gatherers, and the patrol arcs of their defensive Drones. One blinks, stalled."
victoria,"Okay, we've got another Drone downed last night."
jack,"Send it. NUMBERS FIRE across the heads-up. Jack touches a button. A BAR GAUGE begins to fill, like a street racer turning on the NOX before dragging..."
victoria,Would you like to set a course to reserve fuel?
victoria,"Yo no se. No data. It's not transmitting.  Tet coverage will go live in 11 minutes. Jack stares forward at a huge broken sign: ""Home of the 2015 World Champions..."""
jack,"You know, I actually read about this game. Giants are literally on their own seven with 25 seconds on the clock..."
victoria,"Please do not reminisce on my Comm, thank you very much. He puts the Bubbleship into a soft descent. Victoria observes it on her console."
jack,"Anyway... QB lets off this mile- high bomb... The weather's fast and erratic like this. As Jack starts moving towards the Drone, a heavy mist forms, shrouding it in grey. There's almost no sound, just Jack's feet on earth..."
victoria,Jack I have no scope. The Tet is still offline. He pauses. A faint sound on the wind... like a whine.
jack,And at the one yard line... interception. Devastation. It's all over.
jack,"But the guy's too eager. He starts running it back. Everyone's yelling ""Fall down, just fall down!"" Jack goes to his knees, examining it, his hands expertly locate an empty tube-like space on the side of the Drone."
victoria,"What do you mean taken? Was it a malfunction? Jack looks at the casing... beaten, pried open? He glances at the ground around him, the dark tunnels. REVERSE ANGLE. From inside a caved-in tunnel entrance, Jack looks small, vulnerable. Something watches Jack..."
jack,"No... It's a master drone, too. 166. Looks like it was hit mid flight, managed to limp its way here. Watch my back, I'm starting field repair. INTERCUT: VICTORIA AT SKY TOWER. Glances at the arc of the Tet's vision - still six minutes away."
victoria,"Jack, you need to get out of there. Bring it home to the shop. Jack has a panel open. He pulls a lead from the sleeve of his suit, connects it to a board. We see FLIGHT DATA transfer to the Bubbleship."
jack,"So the guy keeps running. 30, 40, 50 yards and BAM! He gets pasted. Ball goes loose..."
victoria,"Jack, you know they can weaponize a fuel cell. Now a DRIVER shoots out of the tool cuff of his suit."
victoria,"I'm reading the whole central core off alignment, you don't have the necessary tools. Jack's got an arm and half his chest inside. He takes his CHEWING GUM, presses it in next to a board... Systems go green on Victoria's console."
jack," Bob, I said I needed... He turns to find that the ROVER is already there, a DEUTERIUM FUEL CELL sitting in its payload bay. A SOUND now reaches Jack. Distant, an animal in pain? Jack listens, but it's gone. He slots the cell. A HUMMMM as the Drone powers up, systems coming online. Jack looks around at the stadium."
jack,"Hey there, boy. Easy... Jack moves forward, hand out."
victoria,"Jesus, Jack. What the hell was that? INTERCUT VICTORIA. The Tet's scanners finally giving her a high-rez thermal view of Jack. Her display burning red from the residual plasma fire."
victoria,"Jack, what happened? Nowtrudging to the ship:"
jack,I'll see you at the house later. You want anything? Milk? Bread? Anything else that doesn't exist?
victoria,You. He leans against the ship. Smiles tired. It's a nice thing to hear.
jack,"Well if you want anybody else, you're out of luck. He boards the BUBBLESHIP."
victoria,"We only have two more months, Jack. Please try to resist the urge to do something stupid."
jack,No... ON JACK. The captured Drone data right there in front of him on the heads-up. He's too curious.
victoria,There's no Drone signal there.
jack,"One day when we get to Mars, someone will want to know about this. From someone who was here. He stares at the HUGE columns of water draining upwards."
victoria,"It's not doing anyone any good here. JACK nods, starts to turn away when something GLINTS on the horizon. He raises the Binocs, PANS to a gallows- like structure. He ZOOMS, but it is still unclear."
jack,"Actually I've got a bit of a problem with a gyro here, call you when I've fixed it. He releases a catch, pulls a WHITE RECTANGULAR CASE from a slot in the Bubbleship. He kneels down, hands working expertly, producing a full UNFOLDING MOTORCYCLE. As Jack locks the rear wheel in place, the bike HUMMS to life. He gets on and opens up the throttle, rooster- tailing off. The bike's electric, but it MOVES."
jack,".There you are. An instant of BLACK... And we're suddenly looking at Jack THROUGH ALIEN BINOCULARS. High tech, symbol readouts changing. Something is watching him."
jack,"Vika, you're not going to believe... WHITE NOISE on the comm. There's no signal down here."
