Speaker,Dialogue
customer,Wow. How do they do that?
owner,It's an accident. It means the flower developed a virus early in the bulb stage. The flaws create the unusual coloring.
customer,Can you arrange something for me with those?
owner,Of course. What kind of price range are you looking for?
tess,"Well, it's for my parent's anniversary. They don't know I'm coming. I just want it to be beautiful. Can you just do whatever you think looks best?"
owner,I'll need a few minutes.
tess,"Take your time, please. And thank you."
owner,That should be some surprise.
tess,Which?
owner,For your parents.
tess,Oh. Yes. I hope so.
owner,Which one is it?
tess,I'm sorry?
owner,Anniversary.
tess,Oh. Fortieth
owner,Wow. Okay. I think I have an idea. Something classic.
tess,Do you have a bathroom?
owner,"Straight back, on the left. It's unisex."
tess,Thank you.
owner, It's unisex!
danny,Miguel Diaz speaking.
benedict,The Baldwins.
tess,What about them?
benedict,We had dinner with them three years ago. You talked about your parent's anniversary.
tess,So am I.
benedict,"Well, I hope Danny is as good as he thinks he is. A bouquet toss in prison can get pretty ugly."
reuben, I really think you're being too sensitive. She's crazy about you. I can tell.
reuben,"Joyce, she's ninety-two. I'm all she has left. "
6.,10   CONTINUED:                                                    10
turk,The opening doesn't work.
virgil,Duh.
turk,She shouldn't have the same dream as Franklin. He's the antagonist.
virgil,It was your idea.
turk,No it wasn't.
virgil,"Well, it wasn't mine. It couldn't be; it's too stupid."
turk,Why do you do that? why do you have to get personal?
virgil,"It's not personal, it's a fact."
turk,It's personal. You don't argue logically. You attack.  ...flattening the back so the body forms a triangle.
virgil,I can't listen to you anymore. It makes me physically sick.
turk,"Relax the crown of the head toward the floor. Draw the hips away from the hands, len--gthening the spine. And press the heels toward the floor."
virgil,This a serious class. No pigs allowed. Okay?
guy,Sorry.
turk,Virge.
turk,You're hallucinating.
virgil,"Yeah, whatever, OJ."
rusty,You are kidding me.
rusty,"736.18 degrees Fahrenheit, Felix. I watched it."
rusty,I want what I paid for.
felix,And that's what I sent.
rusty,"No, Felix, no. I paid for pure. And if my workshop were on top of Mount Everest it would be pure. But I'm at sea level, Felix, and at sea level it should liquefy at 736.95. If it's pure, that is. Which this isn't."
rusty,"Let me ask you something: When Christo calls his cotton supplier and asks for 100% cotton cloth, do you think his supplier sends him 98% cotton and 2% polyester and when that doesn't work, says to Christo, ""Well, you should have told me you were going to wrap the coast of Australia""?"
felix,Who's Christo?
rusty,"Felix, you're in a shame spiral. Have your assistant lose my number."
benedict,Four weeks.
frank,"We stole that money fair and square. You bought people off to find me. You took advantage during an economic downturn, and made them say some shit they shouldn't have said. It's not fair, it's not just, and it aint' cool."
benedict,"I heard what you said, Frank. Did you hear what I said?  Frank looks at Benedict and the Power Twins."
livingston,How many people here tonight were stupid enough to have children?
benedict,What can I say? You're a funny guy.
saul,What it is about horses? I ask you. Is it the strength? The beauty? The fearlessness? The grace? Of course. But there's something else. Something in the eyes.
waiter,"Excuse me, Mr. Bloom?"
saul,Yes?
waiter,There appears to be a problem with your card.
saul,You take Visa?
waiter,I was acting on instructions from your business manager.
saul,My business manager?
waiter,Mr. Benedict.
benedict,"Look at it this way...Eugene....if the album goes platinum it'll cover what you owe. And if the second one goes gold, that should cover the interest."
linus,"I'm responsible for myself. I have my own life and my own plans. I've never asked for anything but a fair shake. We make a deal, I stick to the deal."
danny,How many can't make the deadline?
reuben, So I'm smarter than those schmucks on Wall Street. Whose fault is that?
danny,"How many think if they run, they'll be found?"
rusty,We're on the five o'clock.
danny,Good.
rusty,Amsterdam.
danny,AMSTERDAM!?
rusty,"FINE, THEN STAY HERE!"
livingston,Flight 144 to Amsterdam.
klm agent,You're in seat 43J. Enjoy your flight.
livingston,Uh...there must be some mistake. I mean...unless...is your first class section in the back of the plane?
klm agent,No.
saul,Fifty-five K? There's a fifty-five K?
klm agent,We've increased capacity by employing advanced design technology.
saul,You made the seats smaller. Can you just say that? You made the seats smaller.
frank,"See, you're not hearing me. What I'm trying to tell you is the reservations agent made a mistake when she issued the ticket, because on the rare occasions that I fly commercially, I always book a first- class ticket with no restrictions--"
klm agent,"She may have, air, but this is the only ticket available to you on this flight. I need you to step aside so I can take care of the next customer."
frank,"Now, listen: Don't make me get black."
danny,Reuben.
reuben,I wanted to wish you luck. And listen: I want to do something for you.
danny,What's this?
reuben,Take it. Take it. This is the least I can do. I've got a friend who owns the Bellagio of Amsterdam and I've made reservations for all of you there. It's all taken care of.
rusty,"That's very touching, Reuben."
reuben,It's the least I could do. I love you guys. Enjoy.
virgil,Nice.
turk,Great anticipation.
flight attendant,"Gentlemen, you'll have to go back to your seats now."
linus,Ground level. First floor. Day one. Planning stages.  Planning stages.
livingston,How'd he get that seat?
turk,What seat?
rusty,"Call me an elitist asshole, call me a bourgeois clown, call me anything you want, but 'economy' is bullshit."
danny,"Oh, I don't know...it's not that ba-"
linus,Hey. You guys have a minute?
danny,"Sure, Linus."
rusty,What's on your mind?
linus,"Well, I know this may not be the exact right time to bring this up, but I've been thinking about...well, about where I want to be in five years, career-wise, and I've decided I really want to be more than just a role-player. I really see myself as kind of an idea man, like you guys. I mean, I know you do your part and you're in the trenches with us and all, but it's really your show, and like I said, five years from now, I want to be running my own show...."
linus,"So if there's any opportunity for me to be involved in the, you know, planning stages of things, I would really appreciate it. I really feel like I'm ready for more responsibility and that I could really make a contribution."
rusty,Are you thinking what I'm thinking?
danny,Evelyn.
rusty, We're negotiating the terms with her tomorrow. You feel up to taking the lead?
linus,Are you serious?
danny,Absolutely.
linus,This isn't some gag?
rusty,No gag.
linus,Wow. Yeah. That would be awesome.
danny,"Okay, then."
linus,Man. I wasn't sure if I should say anything. Now I'm glad I did.
danny,So are we.
rusty,We're here to listen.
linus,Great. Thanks. Really. You won't regret this.
basher,Tom.
saul,He can be a Tom?
basher,Anybody can be a Tom.
saul,You gotta make your own opportunities. This ain't a rehearsal.
basher,Tom.
saul,"Boy, you're tough."
basher,"Stop calling me ""boy""."
livingston,How could he lie to us like that?
rusty,The sign said 'the Bellagio of Amsterdam'.
danny,Yeah.
