Speaker,Dialogue
choir," In the silence of our souls, O Lord, we contemplate Thy peace"
choir, Free from all the world's desires Free of fear and all anxiety Ooooh. Ooooh Ooooh. Ooooh Alleluia Alleluia Sing Alleluia!
man,Do you know we've made love one hundred and thirteen times?
5.,4   CONTINUED:                                                   4
woman,"No, one."
man,So I don't know everything about you. I don't know your favorite movie stars. I can't remember the name of your favorite perfume. I have racked my brain and I can't remember.
woman,"That's funny. It's ""My Sin."""
man,"But I do know, in the last twenty four years, that I have never been out of love with you."
calvin,"Well, did we like it?"
friend's wife,I loved it.
beth,Bev Walsh was wonderful.
6.,5   CONTINUED:                                                   5
friend's wife,I liked them all.
calvin,It was funny.
friend,It was a comedy. Wasn't it? Essentially?
friend's wife,Well let's face it: Clyde Banner's getting fat.
beth,Yes.
friend's wife,He should never turn profile.
calvin,Most of us shouldn't turn profile.
beth,What was it you were you thinking about?
calvin,When?
conrad,Yeah?
7.,8   CONTINUED:                                                 8
calvin,You okay?
conrad,"Mmm, mm. Yeah. How was the show?"
calvin,Mmmh. Trouble sleeping?
conrad,No.
calvin,You're sure?
conrad,Mm-hmm.
calvin,Burning the midnight oil?
conrad,Yeah.
calvin,Okay.
conrad,No.
calvin,"Well, the month's up. I think we should stick to the plan."
conrad,The plan was if I needed to call him.
calvin,"Yeah. Okay. Don't worry about it. Get some sleep. By the way, I am working on those Michigan State tickets."
8.,8    CONTINUED:                                                    8
conrad,Okay.
beth," What about the Warrens, did you call them?"
calvin," Yeah, they said they'll make it some evening soon."
calvin,"""Joey Georgella. New football coach for Trinity."""
calvin, Did you check with Jane for the Michigan State tickets?
9.,14   CONTINUED:                                                 14
beth,Yes. She'll talk to John. Where's Conrad? This'll get cold.
calvin,Con!
calvin, Will you drop those suits at the cleaners for me?
beth,They won't be back by Saturday.
calvin,That's okay. Connie!
conrad,I'll be right there!
calvin,Here he is!
conrad,Morning.
beth,Morning.
conrad,Morning.
10.,18   CONTINUED:                                                   18
calvin,Did you sleep?
conrad,Yeah.
calvin,Hungry?
conrad," Uh...uh... hungry, uh?"
beth,It's French toast. It's your favorite.
calvin,Yeah.
conrad,Uh... I'm not really hungry.
calvin,"Breakfast, pal, remember? Main meal. Energy!"
beth,"You're not hungry, you're not hungry!"
calvin,"Wait a minute, Beth, Hang on. He's gonna eat it. Come on.  It's French toast."
beth,There's fresh fruit for you when you get home from school later.
calvin,What are you doing? What are you doing?
11.,18   CONTINUED:                                                   18
beth,You can't save French toast.
calvin,"You have to charm Mr. Herman. Did you charm him?  You have to eat, Con. We just want you keep on getting stronger."
conrad,"Dad, I'm not hungry."
calvin,Are you okay?
conrad,Yeah. I got to go. Lazenby's picking me up.
calvin,Oh. Is he? Great!
conrad,Why is it great?
calvin,"Well. I don't see the old gang much anymore. I miss them. Bring them around... Phil, Don, and Dick Van Buren. We'll play some touch football on the lawn."
conrad,See you later.
calvin,Con!
lazenby, It's called flake.
lazenby,Jarrett. Come on!
stillman,"Uh, we're late `cause little Dickie's mom had to pack his lunch."
stillman,"That guy wants a goddamn personal analysis of it all. How do you make sense of that crap, anyway?"
lazenby,You read the crap!
stillman,"Yeah. Right! We swim our ass everyday, when are we supposed to study, uh?."
lazenby,I swim and I study.
13.,20   CONTINUED:                                                 20
stillman,"Get a sense of reality, Lazenby.  What you reading?"
conrad,Hardy.
stillman,Meditation?
lazenby,"It's just like thinking, Stillman. No, I don't do it too often."
stillman, Ain't that junior English? You got all junior classes this year? They didn't pass you on anything?
lazenby,"Stillman, you know they don't pass you on... breathing in that dump if you don't take the final."
lazenby,We're going to be late.
14.,20   CONTINUED:                                                 20
lazenby,"Yes, it looks like shit. Thanks."
stillman,"Hey, hey, hey! Hey, there's Pratt."
stillman,"Let me out, I need a jump."
lazenby,No dirty stuff out of the window.
stillman,Hey. Interested in something. Jarrett?
teacher,"How about we discuss some theory, here? Conrad, what's your theory on Jude Fawley? Conrad?"
15.,22   CONTINUED:                                                   22
conrad,Uh...
teacher,Do you think he was powerless in the grip of circumstances... or could he have helped himself?
conrad,"I don't... Uh...Powerless? I guess he thought he was, yeah."
joel,The guy was a real jerk. He was hung up on what was the moral thing to do. It didn't make any sense.
teacher,"I think that's a little too easy, Joel. Paul? What do you think?"
paul,I found the book hard to follow. I couldn't figure it out.
dr berger, Hello?
conrad,Hello.
dr berger,Hello?
