Speaker,Dialogue
kate,"Wait, I've changed my mind. I don't want to do this anymore. The Doctor gives the Nurse an exasperated look. The Nurse takes Rate's hand, eases her back onto the table."
nurse,"Your baby is dead. There's nothing. else we can do. Kate reels, her world turned upside-dowp. Emotional free-fall."
kate,"No, this isn't what's supposed to happen. My baby's alive!"
nurse,"We're so sorry. A terrible loss, we're so sorry..."
kate,"But it's still alive! It's moving! Feel it, you can feel it! Kate tries to put the Nurse's hand on her.belly but the-Nurse- pulls away and hands the Doctor a pair of gleaming.blunt-tipped SURGICAL SCISSORS. The Doctor leans between Rate's spread legs, disappearing behind the curtain. Rate gasps."
rate,"No, stop! I want to be asleep!"
john,"It's okay, honeys You're doing great! The Doctor hands the scissors, now slick with gore, to the Nurse. H e takes a SUCTION. CATHETER and disappears behind-the curtain again. The Nurse - presses a button on a vacuum pump and the machine begins to HUM. Kate tightly closes her eyes."
kate,"This isn't happening. Wake up, wake up, wake up... Suddenly -- the thin wail of a BABY CRYING. Rate's eyes go wide w ith horror as the smiling Nurse approaches with a wriggling bundle wrapped in a blanket. Blood seeps through the pink fabric. W e can't see what's inside, but it's moving. And it's CRYING."
nurse,"Congratulations, Mrs. Coleman. It's a girl . The Nurse offers her the bloody, blanketed bundle. Kate screams -"
kate,"I was thinking of"" going back to work. I really thought 1 was doing better."
kate,"I drove by the wine shop,on my.way.bome the other day."
kate,"I really wanted to. The thought went through m' head, you know. it wasn't for me, it just might be nice to have a bottle handy in case we had guests."
kate,No.
kate,"Wow, did you make this?"
kate,"-No, I'm sorry.. But just... take a break for a little while, okay? Max nods. Kate goes. back inside. A CAR pulls into the-drive.. It's John and eleven--year-old-DANIEL, Rate and John's other child. Daniel's blonde, brash, and-cocky, the all-American kid. He's wearing.a Little League uniform. Daniel runs toward Max. He steals her ball and dribbles-it around her in circles. -Max watches glumly. He offers her the ball, but when she reaches for it, he snatches it away and shoots a lay--up..-"
daniel,Boo -yahl He shoots! He scores!
john,"Nice one, champ! - Daniel pumps his arm and runs inside. John walks up the drive, carrying a bouquet of FLOWERS. He hands Max the ball and lifts her up to the basket. Max happily puts the ball-through'the hoop."
john,All right! Ginme five! She smiles and gives him a high-five as he carries her inside.
john,Drapes look'nice.
kate,"Curtains.  They're curtains, not drapes. And haw exciting is my life that -I now know the difference."
rate,.That's this for?
john,Just love you. He kisses her as she takes them. Some of her gloomy mood melts.
kate,"Ore story. Then bedtime. Okay? Max nods. happily and picks up a book from her nightstand. Kate groans inwardly when she sees what it is. It'.s called. ""We were Going To Have A Baby, .But We Had An Angel Instead."""
kate,"You want to hear about the baby again? Max nods. Kate hesitates, then gives Max a sad smile."
kate,"""People send us flowers and cards, but we still miss our baby. If this just happened to you, I'm sorry you got an angel instead of a'baby. I.think a baby would have been more fun."" The last picture is a FAMILY WITH A BABY ANGEL watching over them."
kate,"Yes, she is. She's with us every day. Kate gives Max a gentle kiss on the forehead."
kate,"I'm sorry. I can't. Shit... She moves away, tears suddenly in.her eyes. He gives a concerned look, lets her have her space. A beat."
kate,"I'm so sick of feeling like this. Christ, the kids must thing I'm crazy."
john,Will you stop worrying about what everybody else thinks?
kate,How can I? I saw a pregnant woman today on the way home and I almost lost it. Just burst into tears with Max sitting right there. Daniel barely talks to me. You and I haven't had sex in over a year now. What if I.never get better? I don't want to lose you.
john,You're never going to lose us. I promise you. I just wish...  Have you thought any more about adopting?
kate,I can't even be a mother to the children we already have.
john,That's not true. The kids understand. They just know you're not happy.
kate,You Snow I do. More than anything.
john,Even if it can-'t be'biologically ours.
john,Then what are we talking about this -for? Let's do it.
kate,You-don't just adopt a child because you're lonely and depressed.
john,"That's not why we'd be doing..it. We wanted a child a year ago and we still want one, now.."
kate,We can't replace our baby.
