Speaker,Dialogue
serb 2,Fifteen minutes to delivery.
pilot,All clear from above.
pilot,What's happening?
serbian 2,What happened?
serbian 1,We've been hit. We're taking on water.
serbian 1,Something must be below us! Shoot! Shoot!
shane,"Lieutenant Shane Wolfe, United States Navy. I'm gonna get you outta here. But you have to do exactly what I say, when I say it. My way -- no highway option. Do you copy?  Where's the briefcase?"
plummer,How did you know where I...
seal,KEEP SHOOTING!
shane, I've got the Prof and the case. First round's on me back at Virginia Beach.
shane,Hold on.
shane,You know how to swim?
plummer,Oh my God. I can't believe you... how'd we... That was the most incredible...
shane,Better keep that on `til we get to the rendezvous point.
plummer, Why? Poison gas?
shane, No. I'm just not big on chit chat.
charles,"Lieutenant, thank you.  You saved more than just my life today. Can I call my wife to let her know I'm okay?"
shane,Negative. Not imperative to the mission. We have to keep moving. I have strict orders to get you out of here safely.
charles,"I'm safe, Lieutenant. Please. She thinks I'm dead.  Don't you have a family?"
shane, Make it quick.
charles,"Joe, Todd, Lulu, Peter, Tyler."
shane,Negative.
charles,Battery's dead...
shane,We're almost ready.    Just gives us a -
shane,"Captain, sir."
bill,As you were Lieutenant.
shane,... I know sir. And I except full responsibility for the mission's failure.
bill,Why the hell did you let him use the satellite phone?
shane,He had to call his family. A lapse in judgement on my part that I regret sir.
bill,"... Plummer was the best security expert the department of defense ever had -- a genius. He was working on a program that scrambles launch codes. He called it G.H.O.S.T.: Guided High-altitude Scrambling Transmitter. One pulse from the GHOST satellite and a country can't launch its own nukes. That's what the Serbians kidnapped him for, but they couldn't get S inside the briefcase."
shane,"The case was empty sir, as I stated in my report."
bill,"Not a surprise, really. Not like the professor to hide things where someone might look for them. G.H.O.S.T. is still out there,  which is why I'm going to give you another shot."
shane,Sir. Thank you. I... appreciate your confidence.
bill, Negative. It's not that kind of mission.
9.,"BILL She's scared. The family's scared. Whoever killed the professor must think G.H.O.S.T. is in that house. Maybe it is, maybe it isn't. Either way, I need someone to stay at that house, and protect them. And while you're there -- find out if the program is in there."
shane,"That's it? Why would you want me for that, sir."
bill,The professor's wife requested you.
bill,... You gotta problem with this mission?
shane,"Sirnosir. It's just that... I've never been very good with kids, sir. Not even when I was a kid sir."
lulu,Mom! There's some weird bald guy at the door!
shane," Lieutenant Shane Wolfe, reporting for duty."
julie,Of course. I'm so sorry.   Thank you for coming.
julie,KIIIDDS!!!
kids,Hi.
julie,And this is Helga and Tyler.
shane, Ma'am... Baby.
julie,"Kids, go finish your homework.   And I'll be checking."
shane,"You have a pleasant family, ma'am."
julie,"Charles wasn't around too much. His work took him all over the world. He'd be gone six or seven months at a time. So I think for the younger ones it's a little confusing. Zoe and Todd... well, they're dealing like your normal teenagers. Maybe in Todd's case semi-normal."
shane,"Mrs. Plummer, I have to tell you that I did everything I could..."
julie,"Charles was in a dangerous business. I knew it when I married him. No one's to blame here.  Everyone thinks that Charles told me or the kids where he hid it. And until G.H.O.S.T. is found, we're all in danger."
shane,Nothing will happen to your family as long as I'm here. I've dealt with much...
julie,That's Gary. He was Charles'.
shane,Mrs. Plummer-
julie,Call me Julie.
shane,"... Mrs. Plummer, I'll go secure the perimeter."
julie,I'm glad you're here-
julie,What is it?
julie,That's wonderful. This could all be over!
julie,I'll be there.
julie,"Don't worry about the Kids, Helga will handle everything.  But if there is an emergency, all the emergency numbers are on the fridge. And on the phone. And on the back door..."
zoe,"Mom -- we'll be fine, chill."
julie," I know, it's just... I am a mom, it's my job to worry. ... I love you guys. I'm gonna miss you. I'll be back in 48 hours. And guys, whatever Lieutenant Wolfe asks you to do... do it. Okay? A ll the children nod in agreement except Zoe who pops her chewing gum bubble."
shane,Don't worry. They'll be safe with me.
helga,"Everything will be fine, Mrs. Plummer."
shane,... No.
helga, Too bad.
shane,Could you turn that dow-
helga,You don't like it? You're the SEAL. You do something. I make bottle.
scott,... Zoe?
zoe,"He's my boyfriend, tool."
shane,So you're the one who broke in. Zoe -- go back inside.
zoe,"Okay, fine... come on Scott."
shane,Not with this kid.  You -- Gimme twenty!
shane,My apologies. We had an intruder. A simple misunderstanding.
shane,Oh. Sorry.
shane,Sorry.
shane,Your mother thought you were in real danger. You should have told her the truth.
zoe,Who do you think you are -- my dad?
shane,Not anymore.
elga,"When you're down and low, lower than the floor. And you feel like you ain't got a chance. Don't make a move `til you're in the groove, and do the Peter Panda Dance. Just hop three times like a kangaroo --"
shane,This family's in for a rude awakening.
oe,Huh?   Wha--?!
todd,W-what are you doing??!
shane,You're burning daylight. Move.       Move.
odd,It's Sunday...!  And it's six a.m. You're insane.
shane,Now move it!
shane,Hey. Not in front of the kids. S he gives him a look of disbelief.
helga,What's it matter? Nobody speaks Romanian.
shane,Usca mi-as chilotii pe crucea lu mata!
shane,"Listen up, ladies. Your behavior is unacceptable. In order to maintain a state of safety we need to maintain a state of discipline and order. I've only got one rule: Everything is done my way. No highway option. Do you copy?"
lulu,Do you copy?
shane,What?   I said -- do you...
lulu, What?   I said -- do you...
shane,Do not copy me!
ulu,Make up your mind.
shane,"Tracking devices. Now that I know I can't trust you... Never take them off. The panic button is only for emergencies. Touch that -- you better be dying, or you're dead."
zoe,I am not wearing that. Just because my mom's paranoid doesn't mean we have to take orders from you.
shane,"Let me explain how the chain of command works. I tell you what to do -- and you do it. End of chain. Now I'm not gonna have time to learn your names. So you are --  Red 1, Red 2, Red Leader, Red baby... wait, where's the older male? There were five."
helga," He walks like Dracula, with footsteps silent like death --"
zoe,He's in his room.
shane,Red 4!    Open this door!
shane,It didn't have to go down like-
shane,All I need is a hammer and some plaster of Paris. I can fix this.
todd,Can I get by?
shane,"Here's your bracelet. If you'd been wearing it, this wouldn't have happened."
zoe,He has to go.
peter,Whhhoooooo!
lulu,"Stop it, Peter!"
shane,"Hey, hey, good soldiers aren't afraid of anything."
lulu,This house is haunted. Daddy even said so. He said there's a ghost.
shane,Really?   And where is this ghost?
ulu,I don't know.     I've never seen it.
zoe,Here he comes...!
todd,He's coming back-
helga,AHHH!!!
zoe,Uh-oh.
bill,"As we discussed, this is an urgent matter."
julie,Can't you call somebody? Do something to get us around all this paperwork?
bill,"Sorry. Not in Switzerland, I can't."
banker,Marcel!
marcel,Oui.
banker,Je ne comprende pas.
marcel," I'm so sorry, the chief does not speak English. But I can tell you -- you will have access to the box tout-suite. As soon as your background checks clear."
