Speaker,Dialogue
deep space," A darkness like no other, a silence that is unsettling. Sharp pinholes of light show a sea of distant stars across the void of outer space. Our own motion is only realized as an enormous object slowly moves towards us, taking shape. A SPACE SHIP of unimaginable size, a tubular freighter easily ten times larger then any aircraft carrier. At first glance it appears lifeless and adrift, but slowly the small glow of cockpit windows come into view as we move closer. Moonlight cuts across the hull, displaying the name; EDEN.  BOWER "
bower,"Burns are red! Bruises... blue- His voice echoes into the dark, alone in a cavernous room as he pauses, struggling for orientation. He gets to his feet, muscles twitching. His short-cropped hair is... pure white."
bower,"Bower. He opens the locker to see an assortment of personalized belongings, uniform and gear, none of it seeming familiar. He uses a towel to wipe off the layer of sweat and oily substance coating his body, pausing to see an identification tattoo on his forearm that reads: FLT>>005015. He pulls on a black flight suit, emblems and military markings of rank on the chest. He pulls on shoes and a tool belt with a high powered pen-lamp. On the inside of the locker is a emergency manual card with block figures displaying breathing and stretching exercises, labelled; Hyper-Sleep Disorientation Recovery Procedures."
push in,"There is a conflict in his eyes, memories trying to return."
flash cut,"An image FLASHES past, EVALON smiling as BOWER kneels next to her, gripping her hands. BOWER'S gaze remains hollow, frown deepening as he sips the cup and... winces with disgust."
bower,"Faa-uck! Distant THUMPS. He pans the pen-lamp across the ceiling and toward the sounds... PAYTON'S sleep chamber. THUMP, THUMP, THUMP: Muffled and desperate. CRACK! Bower jumps back as someone kicks their way out from inside, the hatch bursting open. Out climbs... PAYTON, a man in his forties, but the rugged physique of a man half his age, lean and agile. His military-style hair cut is also pure white. Gasping for breath, he hits the floor as BOWER tries to help him. PAYTON jerks with shock."
payton,Who are you?
bower,"Bower. Corporal... Bower, sir. I'm the-"
bower,That's right. You're waking from
payton,Corporal?
bower,"Yes, sir. This is disorientation from-"
payton,corporal... Bower.
bower,"Yes. That's right, I'm-"
payton,"Wanna get that fucking light out of my eyes, pal?"
bower,Sorry... sir. PAYTON rubs his face with a frown.
payton,Where... are we?
bower,We're aboard the Elysium. From what I've
bower,I don't... really know. There's no power in the com and I can't even-
payton,Where's the... rest of the crew? It's our shift? Our rotation-
bower,I believe so.
payton,Aren't they suppose to be here... to wake us?
bower,"Sir... I don't know where anyone is. PAYTON takes breaths, trying to regain his senses, glancing around at their darkened surroundings."
payton,"Hit the lights, will ya?"
bower,Ah... we're having some power problems-
payton,Who woke you up?
bower,"Umm, not sure. It had to have been the flight computer. There's no one here...  .except us."
payton,"Cold in here. BOWER grabs him a towel and water container, turning back to see PAYTON doesn't waste any time, stretching his limbs."
bower,There's no power coming off the main grid. Can't fire any of the...  Dynos. Can't even open the doors. PAYTON glances to the other empty sleep-chamber with a frown.
payton,Bower .
bower,Yeah?
payton,"Until I have two coffees you're just gonna have to repeat all this shit, so let's just idle here for a bit."
