Speaker,Dialogue
cafeteria,"Super-modern and gleaming. Hundreds of tables, all empty."
hibernation bay,"Endless corridors lined with vertical glass tubes. Inside each tube stands a PASSENGER. Eyes closed in sleep. If they're breathing you can't tell by looking. They sleep on their feet, leaning against padded supports. Straps secure them in place; sensors adhere to their skin. They wear shorts and tank tops with HomeStead Company logos. We survey their faces. No children, no senior citizens. Men and women of every ethnicity in the prime of their lives. We settle on one man. JIM PRESTON, 38. Sound asleep. A small display on his pod reads:"
james preston,"Rate 2 Mechanical Engineer Denver, Colorado "
video stewardess,"Good Morning, James!"
video stewardess,"Don't worry, Jim. It's normal to feel confused. You've just spent a hundred and twenty years in suspended animation. She makes it sound sexy. Jim scowls and rubs his eyes. ONSCREEN - An animation. Happy people go to sleep in glass tubes in a hospital. The tubes are loaded onto a spaceship."
video stewardess,The Excelsior is on final approach.
jim,Right.
elevator foyer,"Jim finds a bank of elevators. As he approaches, the indicators blink on. An elevator opens, spilling light. He steps inside, and muzak begins to play."
deck seven,"A corridor lined with doors. A CLEANING ROBOT vacuums. Jim appears. Instantly the corridor lights brighten. The cleaning robot rolls past Jim.  CLEANING ROBOT Hello, Passenger.  JIM   Hello, robot. Jim follows wall markings to his cabin. Lets himself in."
jim's cabin,"Cozy but small. A bed, a desk, an armchair. No window. A SCREEN lights up. The HomeStead Company theme music plays. An ANNOUNCER speaks. "
cargo robot,Passenger James Preston?
jim,Jim. Yeah.
cargo robot,"Your luggage, Passenger Jim. Swipe your shipcard to confirm. Jim swipes his shipcard through a slot on top of the robot. The robot scoots inside and deposits Jim's bags on the floor."
jim,Thanks.
cargo robot,"Thank you, Passenger Jim! The robot zips out the door. Jim looks up and down the corridor. The receding robot is the only sign of life. He steps back inside."
announcer,Your group's orientation starts in forty-five minutes. Join them in Conference Room Twenty on Deck One. Don't forget!
video instructor,"Hello, Passengers. Will you all please take a seat. Jim looks around. He's the only one there. He sits."
jim, Can I just...
video instructor,"No questions until the end, please."
jim,Wait. Where are all the other...
video instructor,The Colonies offer an alternative. A better way of life.
video instructor,"...thriving job markets in mining, farming and manufacturing. An explosion in the cultural arts. And if you long for the life less civilized, you can apply for a pioneer permit and seek your fortune in the wild.  Any questions?"
video instructor,We're all on the Starship Excelsior. Five thousand passengers and fifty- eight crew members.
jim,But I'm the only one awake.
video instructor,"No, all the passengers wake up at the same time."
jim,Then something's wrong with the other hibernation pods.
video instructor,Hibernation pods are fail-safe.
jim,So why am I the only one here?
video instructor,I'm sorry. I don't understand your question.
grand concourse,Jim finds an INFOMAT - an information kiosk. A banner scrolls across the screen: ASK ME A QUESTION! Jim taps the screen.
jim,I need to talk to a person. A real live person.
infomat,What sort of person? Personal trainer? Travel planner? Therapist?
jim,Someone in charge.
infomat,The Ship Steward handles passenger affairs. You can find him in his office on the Service Deck. ONSCREEN: A dotted line on the map shows how to get there.
jim,Thank you.
infomat,Happy to help!
elevator lobby,Another Infomat. Jim arrives at a jog. 
infomat,Hello! What's your quest...
jim,Who's flying the ship?
infomat,"The bridge crew includes the Captain, the Pilot, the Chief Navigator..."
jim,The Captain. I want to talk to the Captain.
infomat,The Captain rarely handles passenger queries directly.
jim,"Emergency, okay? Where is he?"
infomat,"The Captain is usually found on the Bridge, on the Command Deck. ONSCREEN: A helpful map shows the way. Jim marches off."
command deck,Jim finds the door to the Bridge. He opens it eagerly - only to find a second door behind it - an armored hatch labeled FIREWALL and SECURE ACCESS AREA. A porthole of thick glass gives a narrow view of the Bridge. It's deserted. Instrument lights gleam in the dark.
jim, Come on! What the hell is happening?
jim, Hello? Hello!
jim," Hello! A SOUND behind him makes him spin. But it's just a window-washer: a robot with long spindly limbs. It moves past Jim, polishing windows. Oblivious. A sign catches Jim's attention: ""OBSERVATORY - Your Place In the Universe."""
observatory,"Jim enters the planetarium of the future: theater seats facing a holographic ""stage."" IN HOLOGRAM: An image of the starship hangs in space. Glowing text reads ""Look through the eyes of the Starship Excelsior!"" Jim goes to the control podium. Touches the screen."
observatory, What can I show you?
jim,"We're supposed to land pretty soon, but it looks like I'm the only one awake. Is that normal?"
observatory,I don't understand. What can I show you?
observatory,Homestead II is the fourth planet in the Bhakti system.
jim,Right. And how soon are we landing?
observatory,Approximately ninety years.
jim,What?
observatory,"We land on Homestead II in ninety years, three weeks, and one day."
jim,No. How long ago did we leave Earth?
observatory,Approximately thirty years ago. Jim stares at the hologram in horrified realization.
jim,I woke up too soon.
observatory,I don't understand.
jim,Neither do I.
hibernation bay,"Jim sprints down a row of hibernation pods. Heart pounding. Slides to a stop in front of his empty pod. Jim fusses with the controls, pressing buttons. But the screen just reads ""PASSENGER DISCHARGED."" Crouching, he pulls at the pod's canopy, trying to open it with his hands. It doesn't budge."
jim,I'm supposed to be in there!
jim,How do I make a phone call?
infomat,Your cabin telephone...
jim,No. Long distance. How do I send a message to Earth?
infomat,Interstellar messages are sent by laser array. Speak to the Duty Officer in the Comm Center. ONSCREEN: The Infomat displays a helpful map.
infomat,Happy to help!
communications booth,Planet and connection?
jim,Earth. The HomeStead Company.
communications booth,"There are thirty thousand phone numbers listed under ""HomeStead Company."" What number?"
jim,I don't know. I'm emigrating to Homestead II. I have an emergency.
communications booth,"Division of Colonial Affairs, Homestead II Program. I have a Customer Help Line."
jim,Sounds about right.
communications booth,Begin message. Jim's a deer in the headlights. He collects himself.
jim,"Hi. I'm Jim Preston. I'm a passenger on the Excelsior. Something went wrong with my hibernation pod and I woke up too soon. Ninety years too soon. I can't get back to sleep. Nobody else is awake.  I'll keep trying to fix this. Maybe I missed something simple. But I could use a hand. Thanks. Jim pushes the ""SEND"" button. Sits back in his chair."
communications booth,Message sent.
jim,Outstanding.
communications booth,Message will arrive in nineteen years.
jim,Say what?
communications booth,Earliest possible reply in fifty-five years.
jim,No.
communications booth,"We are nineteen light years from Earth. By the time your message arrives, we will be thirty-six light- years from Earth. We apologize for the delay."
communications booth,That will be six thousand dollars.
grand concourse,Jim crosses the Concourse like a sleepwalker in his robe and slippers. He looks shell-shocked. He comes to the Concourse Bar: the fanciest watering hole on the ship. Black leather stools along a marble bartop. Jim touches the bartop...and a MAN swings up behind the bar - as if mounted on a hinge. A handsome fellow in a bartender's uniform - his hair and skin eerily perfect. This is ARTHUR. Jim jumps out of his skin.
arthur,What can I get you?
jim,I thought I was the only one awake!
arthur,"I doubt it. It's the middle of the afternoon. Are you drinking or not? He produces a cloth and polishes the bartop. In a startling movement, he glides the length of the bar, polishing all the way, and glides back as if on roller skates. Jim steps up on the footrail and peers behind the bar. Arthur's body stops at the waist. He's mounted on rails, built into the bar."
arthur,"Android, technically. Arthur's the name."
jim, I'm Jim. Arthur shakes his hand.
arthur,Pleased to meet you. What'll it be?
jim,"Whiskey, neat."
arthur,I don't know. I know some things.
jim,What do I do if my hibernation pod malfunctions?
arthur,Impossible. Hibernation pods are fail- safe.
jim,"Yeah, well, I woke up early."
arthur,Can't happen.
arthur,Ninety years or so.
jim,And when are all of us passengers supposed to wake up?
arthur,Not until the last two months.
jim,So how can I be sitting here with ninety years to go? Arthur's eyes take on a faraway look. His head twitches.
arthur,It's not possible for you to be here. He smiles as if he's solved the problem.
jim,But I am.
arthur,"Sorry, Jim. My specialty is cocktails and conversation. Take your fancy trick questions to one of those Infomats. They think they know everything.  JIM Arthur, I'm in trouble. I'm screwed. I am completely, ridiculously screwed.  ARTHUR Lot of self-pity.  JIM Self pity? I'm going to die of old age on this ship!  ARTHUR Jim, we all die. Even androids end up on the scrap heap. It's not dying that matters, it's living. This is your life. Are you going to live it or lie down and die? Jim shakes his head in surrender.  JIM What do I owe you?  ARTHUR Jim, the booze is on the house."
cafeteria,"Machines offer food and drink in dizzying variety. Each machine has a card slot and a screen displaying its menu. Jim enters, dressed in his own clothes - jeans, a T-shirt. "
coffee machine,"Sorry. The Mocha Cappuccino Extreme is reserved for gold-class passengers. Please select another item. Jim presses one button after another, denied each time."
jim,Are you serious?
coffee machine,Please enjoy.
elevator,"Jim ascends, sipping coffee and eating an egg sandwich. The doors open at the Command Deck. A sign reads ""Crew Area - No Passengers beyond this point."" Jim breezes past the sign."
command deck,"Jim prowls the floor, opening doors. He finds a room marked EMERGENCY GEAR and opens it eagerly. It's full of space suits and oxygen tanks. He peers into a red HAZARD cabinet: fire extinguishers, an axe, an epoxy foamer for atmosphere leaks - all behind glass. He opens another door marked EMERGENCY MANUALS - and smiles: shelf after shelf of waterproof, fireproof technical manuals. Jim pulls a manual labeled HIBERNATION SYSTEMS."
hibernation bay,"Jim sits in front of his empty hibernation pod. His toolbox beside him. The Hibernation Systems manual lies open. Jim tinkers with the electronics inside his pod. The pod hums to life. Its data screen flickers with information. Mysterious WHIRS and THUNKS. The canopy opens. Elated, Jim bounces to his feet. Strips off his shirt and scrambles in. The canopy closes over him. He assumes the position, his back against the backrest, waiting for the pod to put him to sleep. Nothing happens. He pokes at the ports where the sensors and intravenous lines used to protrude. Shakes the machine. He gives up. It's not working. But now he's trapped inside the pod. He pushes at the canopy, but it's locked shut. He pounds on the glass with no effect. Finally he loses it, shouting and stamping, hammering and raging - all muffled behind glass. Exhausted, he sinks to the floor of the pod, staring out at his tools and his manual, his discarded shirt. Then he notices the emergency release handle down by the floor. He pulls it, and the canopy pops open."
jim,I thought I'd figure something out. I thought it would just come to me.
arthur,Stands to reason.
jim,But I've tried everything.
arthur,Sometimes you can't catch a break. Jim gives Arthur a thoughtful look.
jim,"I'm your only customer, but you're always polishing a glass."
arthur,Trick of the trade. Makes people nervous when a bartender just stands there.
jim,Okay. Lay some bartender wisdom on me. I'm lost in space here. Arthur polishes the bar while he thinks that one over.
arthur,You're not where you want to be. You feel like you're supposed to be somewhere else. Right?
jim,You said it.
arthur,"Well, here's the thing. Say you could snap your fingers and be wherever you wanted to be. Back on Earth, or on Homestead II."
jim,Okay.
arthur,"I'll bet even if you got your wish, you'd still feel this way. Not in the right place. Supposed to be somewhere else. That's not a crisis, it's the human condition. Jim takes a moment to consider that."
jim,That's not me.
arthur,"Well, maybe not. The point is, you can't get so wrapped up in where you'd rather be that you forget to make the most of where you are."
jim,What are you telling me?
arthur,"It's a big ship. You're always running around banging on things and yelling at the computers. Take a break. Live a little. Jim spins on his barstool, surveying the Grand Concourse."
jim,Live a little. When he comes back around he gives a shove. He spins faster.
arthur,That's the spirit. Jim goes for one more shove. Misses. Falls off his stool.
berlin suite,"High ceilings, posh furniture, panoramic windows. The door jumps in its frame with a THUNK. Slides open. Jim enters, a crowbar in hand. A cargo robot follows him in, carrying his toolbox and suitcases. It deposits them on the floor."
cargo robot,The Berlin Suite! Enjoy your luggage!
spa,Jim lies on a massage table wearing a towel. A pair of robot arms emerge from the table and begin to massage him.
z factor,Jim Preston! Welcome to the cutting edge of gaming! The greatest challenge you will ever know!
jim,All right then. He clambers into the cockpit.
jim,Yes!
z factor, Begin! IN HOLOGRAM: A fortress shines on a hilltop. War machines crawl over a blasted land. Letters flash: LEVEL ONE.
z-factor,You are victorious!
jim,Yes!
z-factor,You are the Grand Master of Z Factor!
jim,Another margarita!
jim,I am beginning to learn.
jim, [I be study the Russian.]
arthur, [Good for you! It's a beautiful language.]
jim,You speak Russian!
arthur,Of course. We have Russian passengers.
jim,"Well, I'm trying new things. From now on, every time I sit down, I want a drink I haven't had before."
arthur,"Fair enough. Arthur mixes a bright green drink, sets it in front of Jim. Jim takes a sip and makes a horrible face."
jim,What's that?
arthur,Something new.
jim, [I'm ready for today's new drink]
arthur," [I'm afraid I can't help you, my friend.] Jim thumps his fist on the bar."
jim," [Don't argue with me, robot. Give me a new drink.]"
jim,What do you mean?
arthur,"I can make two thousand, seven hundred and thirty-eight cocktails. You've had them all. The news hits Jim like a death in the family."
jim,There are no new drinks.
traveling shot,"The robot carries Jim up and down the Celestial Promenade. Down an elevator. Past the Concourse Bar. Jim waves. Arthur waves back, speechless."
deck one,The robot heads into a low hatch. Jim ducks to fit through. 
robotics center,"A mechanical hive. Here the ship's robots are cleaned, repaired, recharged. Robots bustle everywhere - never colliding, never getting lost. A ballet. Jim's sweeper robot vomits its load of collected dirt into a waste chute. Heads into a recharging niche. Jim jumps off. He explores: it's an engineer's fantasia. Jim's eyes show signs of life. But it's a hazardous place, with cranes and platforms, hoses and blowtorches on the move. He exits through another low hatch to find himself in the..."
hibernation bay,"Thousands of sleepers in their glass tubes. Jim walks among them, looking at their faces. Suddenly he stops, staring. Inside a pod, a woman stands sleeping. This is AURORA DUNN. A breathtaking beauty."
jim,"Who are you?  Aurora. He moves on, browsing people. Stops. Backtracks. He stands in front of Aurora, looking in through the glass. He glances at her data screen again."
jim,Did you know ninety percent of the businesses in the world are owned by just eight companies?
arthur,Is that right?
jim,"She's good. She knows her stuff, and she's not afraid of anybody."
arthur,Who's that?
jim,Aurora.
arthur,Who's Aurora?
jim,A woman. A passenger.
corridor,"Jim emerges from his room in boxer shorts and slippers. He's dragging a blanket. A housekeeping robot, its dustpan quivering in anticipation, hovers outside his door. Jim taps the ""Do Not Disturb"" button on his door panel and walks away. The housekeeping robot squeals in frustration as the door closes over the mess inside. "
cafeteria,Jim pours milk over a bowl of cereal.
elevator,"Jim descends, the blanket draped over his shoulders like a serape. He holds his bowl of cereal in both hands."
jim,"Arthur. Say you were trapped on a desert island, and you had the power to wish somebody there with you. You wouldn't be alone anymore, but you'd be stranding another person on the island. Would you make the wish?"
arthur,I don't know. I've never been on an island.
jim,"Okay. Say you figured out how to do something that would make your life a hundred times better. But it's wrong, and there's no taking it back. How wrong would it have to be to stop you? I mean, what if it made your life a thousand times better? How do you do the math?"
arthur,Jim. These are not robot questions. Jim stares at Arthur in frustration.
jim, I know how to wake up Aurora.
arthur,Sounds like a fine idea. You could use some company.
jim,I'd be stranding her on this ship for the rest of her life!
arthur,"Oh. Well, you can't do that. Jim buries his face in his hands."
jim,What am I going to do?
arthur,Jim. I'm here for you.
corridor,"Jim exits his cabin in his coveralls, carrying his toolbox. He finds a squadron of housekeeping robots waiting outside. He taps the ""PLEASE SERVICE"" button beside his door. The robots zoom inside with squeals of joy."
aurora's pod,"Aurora's perfect lips part. She takes a shallow breath - and then a deep one. Her chest rises and falls. Her thighs shift as she bends her knees. The sensors on her body drop off and withdraw into the pod. She opens her eyes. They're beautiful. Her pod's backrest flexes, scooping up her knees as it becomes a seat. A video screen drops in front of her. "
video stewardess,"Good morning, Aurora!"
