Speaker,Dialogue
girl,"Go on now Paul, don't be long."
girl,"Paul... Paul? The girl draws near, illuminated by the orange glow."
girl,"Paul?! The glow fades again. MUSIC: ""The Boy In The Bubble"" by Paul Simon."
clive,Beautiful piece.
vender,"Damn straight. Practical performance. 100% Japanese, folded steel. Real hero shit."
clive,How much?
graham,Aren't you gonna get it?
clive,"No, it's rubbish."
graham,What are you going to ask?
clive,"Do you feel that the killing of Hicks and Newt in Alien 3, invalidates Ripley's struggle at the closed of the previous installment?"
graham,I was going to ask that!
security,"Alright, next! Suddenly nervous, GRAHAM approaches. MICHAEL BIEHN is signing pictures. He is pleasant, if business like."
michael biehn,Hey there. Who's it to?
graham,Graham.
michael biehn,Graham.
graham,Uh... are you... did you?
michael biehn,There you go. SECURITY moves GRAHAM on. CLIVE approaches.
michael biehn,Hey there. Who's it to?
clive,Clive.
michael biehn,Clive.
clive,Uh... are you... did you?
michael biehn,There you go. SECURITY moves CLIVE on. CLIVE scrambles for his camera.
clive,I... I need to photograph him.
security,"You can take it from there. CLIVE and GRAHAM huddle together and try to position themselves with MICHAEL BIEHN in the background. CLIVE takes the shot. We see a frozen image of CLIVE and GRAHAM, with MICHAEL BIEHN barely visible in the background. The pair move off, looking at their spoils."
graham,That was amazing. I was actually a bit nervous.
clive,Really? I wasn't.
graham,"Good egg, wasn't he?"
clive,"Yes, very unaffected. Damn, I forgot to give him my card. CLIVE points at SECURITY."
graham,Give it to Colossus.
clive,"Nah. Hey, Rosario Dawson's here!"
graham,She NEEDS to call me.
publicist,"Looks good, right?"
clive,"Yes, it's very impressive."
publicist,It really does the image justice. I never noticed the third tit.
clive,That was Graham's idea.
publicist,"Ladies man, huh? You guys happy? You got enough pens? You wanna Snapple? You wanna a Diet Coke?"
clive,I'll have a fat Coke please?
publicist,A fat what?
clive,Coke.
publicist,Oh you man a FAT Coke.
clive,A what?
publicist,Fat coke.
clive,Yes please.
graham,When do we start?
publicist,Ten minutes ago.
clive,Why is it so quiet?
publicist,Sylar's doing a Q and A in the main pavillion.
clive,Oh man! I wanted to go to that . I wanted to find out if he actually eats the brains.
publicist,I can make a call.
clive,Please.
publicist,It'll pick up when he's done.
graham,I'm nervous.
clive,"Don't be. The hard work's done, we have a great story and as usual your renderings jump from the page."
publicist,Yeah man. Three tits. Awesome.
graham,Thank you.
clive,All we have to do now is sit back and enjoy. A child approaches.
clive,Queen Jelva welcomes thee.
child,Do you know where Sylar's on?
clive,Main pavillion.
child,"Thanks. Hey, three tits. Awesome."
publicist,"Okay, that's the hour. How'd we do?"
clive,Three copies.
publicist,"Hey, one for each tit. Maybe you should have given her four."
graham,That's sick.
publicist,Don't sweat it. It's a sleeper.
clive,"Yeah, but three copies?"
publicist,Better than Carl Weathers.
graham,Would you like a copy?
publicist,Are you nuts? My office is full of junk. The PUBLICIST walks away chuckling.
clive,"Graham, I need a drink."
graham,"Nasty Hobbitses. CLIVE emerges from the bathroom. He is naked but for a black towel wrapped around his waist. His hair is wet and suddenly incredibly long. Around his neck, a large animal tooth hangs on a black leather cord."
clive,They think they're so cool.
graham,"Hey, are you excited about going to Area 51?"
clive,Hell yes.
clive,A-ffirmative. GRAHAM and CLIVE both look at their watches.
clive,"Three, two, one..."
graham clive,Beep. Beep.
clive,"Good night, Graham."
graham,"Good night, Clive. They switch off their respective bedside lights. The room is plunged into pitch darkness. A few seconds pass."
graham,Are you asleep?
clive,No.
graham,Shall we try and storm the Citadel before we nod off?
clive,Couldn't hurt could it? We hear some movement then the room is illuminated by the TV. The boys lie on their beds holding games controllers.
clive,Cover me.
valet,There you go.
graham,That's not ours.
valet,No?
clive,"No, that's ours. A large RV pulls up. A 1985 Holiday Rambler, Imperial. Top of the range in its day. Still looks good."
valet,Oh. GRAHAM and CLIVE run off toward the RV. The four BORG from the previous day approach the VALET and exchange the key to the car for some small change. The BORG drive off.
valet,Fucking Borg.  Assimilate this! The RV speeds past the disgruntled VALET. GRAHAM and CLIVE can be heard whooping within.
graham,Breakfast?
clive,Java. Straight up.
graham,Any solids?
clive,"No, let's punch through. Miles make the eggs taste sweeter."
graham,I love eggs!
clive,"I hear that. Now, get that ""Joe' on the go and jump in the Chewie seat. I need your map skills."
graham,Good job I pre-pared. GRAHAM flicks on the coffee and jumps into the co-pilot's  seat.
graham,"It's a shame I don't have some controls on this side. That way, I could take over if you needed the loo."
clive,"Yeah, I could say ""take the helm."""
graham,"""Take the helm, number one."""
clive,"Yeah, ""take the helm, number one, I need a number two."" They laugh heartily. Through this, GRAHAM has been taking out his laptop and setting it up on the dash board."
graham,"""Least I've got Cerebro, eh?"
clive,Absolutely. Real-time sat-nav multi map and advanced geo-tagging with continual info stream?
graham,Impressive.
clive,Most impressive.
graham,"And let's not forget, we've always got Analogue. GRAHAM pulls a map down. Obscuring the entire windshield."
clive,Not when we're driving Graham.
graham,Sorry. GRAHAM sends the map back up into the roller. The coffee percolator gurgles in the galley.
graham,Sounds like coffee o'clock.
clive,Thank god. I'm a wreck until I've had my first cup of J. GRAHAM high fives CLIVE and heads back into the kitchen.
graham,Looks like a pile of dead droids. A perky waitress approaches. GRAHAM and CLIVE become shy and awkward.
waitress,You boys all set? Can I get you anything else? GRAHAM spills his drink. CLIVE appears very uneasy.
clive,"Amazing, isn't it? There are 295,734,134 people in this country and we haven't seen a soul for a hundred miles. Where is everybody?"
graham,What about that old woman on crutches we saw hitchhiking?
clive,Apart from her. I suppose that's why they established the Dreamland facility out here.
graham,Far from prying eyes.
clive,"Did you know the site was selected in the mid-1950s for testing of the U-2 spyplane, due to its remoteness, proximity to existing facilities and presence of a dry lake bad for landings?"
graham,Yes.
clive,Oh.
graham,Shall we have a bite before or after we hit the Black Mailbox?
clive,Before.
pat,"""Watch The Skies"" or ""Alien Onboard?"" GRAHAM and CLIVE look at each other for a few seconds before looking back at PAT."
pat,"Nice choice. So, where have you boys come from?"
pat,Comic-Con?
clive,How could you tell? We see GRAHAM and CLIVE looking back at PAT. They look like the most painfully obvious Comic-Con attendees ever.
pat,Just a guess. My nephew launched a comic down there a couple of years ago. Sort of dramatized the accounts of some of the folk we've had in here.
clive,Encounter Briefs?
pat,"That's it. You heard of it, huh?"
clive,I've got all six.
pat,Well whaddya know? Small world.
clive,"Do you get a lot of UFO types round here? We see PAT looking back at CLIVE, surrounded by UFO and alien paraphernalia, a slight smile on her face."
pat,Some.
graham,Have you ever seen one?
pat,"A UFO? Oh, I've seen plenty."
graham,Really?! You've seen more than one UFOs?
pat,"Well, I don't know what they were. So as far as I'm concerned they're unidentified and they were definitely flying."
clive,And objects.
pat,"Damn straight. Whether or not they were spaceships, I can't say. Probably not, but I'd like to think they were. Be a shame if we were the only souls in the universe."
clive,"Did you now, it's estimated that there are as many as 200 billion galaxies in the observable universe and each of those has approximately 40 billion starts, around which orbit countless planets and moons?"
pat,Yes.
clive,Oh.
pat,"Makes you think though, don't it?"
clive,What?
pat,Where is everybody? GRAHAM and CLIVE ponder this.
pat,You boys all set?
clive,I'd like a cup of coffee please.
pat,"Sure thing. How about you, sugar?"
graham,Can I have an E.T. malt please?
pat,You wanna sparkler in that? GRAHAM smiles coyly.
pat,I'll take that as a yes. She beams at the boys and disappears into the kitchen. GRAHAM and CLIVE are left alone. They take it all in.
clive,"It's nice here, isn't it?"
graham,Absolutely.
clive,"I think I might use the loo. CLIVE walks through a door marked ""Maliens'. The adjacent toilet door  enter. GRAHAM becomes uneasy."
pat,"Yes dear, what can I get you?"
jake,Two beers.
pat,Coming right up.
clive,That is absolutely amazing!
clive,"Hey Graham, an alien just sicked up into my palms. CLIVE doesn't see the two men sat up at the counter. He strides over to GRAHAM, full of excitement."
clive,"I'm joking, of course. They have a soap dispenser, shaped like an alien's head. When you pump his jaw, soap comes out of his mouth."
clive,It's hilarious. GRAHAM flicks his eyes to the counter.
clive,What? CLIVE looks over and sees the two men. They are glaring back. CLIVE immediately loses his confident air.
