Speaker,Dialogue
scott,"Boy, have they changed. Who gets it?"
beth,"I don't know, just put it back."
charlie,"Goddamnit, I just can't hit those high notes anymore."
janet,"You know Charlie, if you're serious about this, I know a great vocal coach."
beth,"Hi Dad, can I have 100 dollars for a brake job?"
charlie,Did I hear 70 dollars? What do you need 50 dollars for? How's your Mom?
worker,Coming through.
charlie,"Frank, watch the clock."
peggy,There's something pathetic parked in front of my house.
charlie,"Come off it, Peggy. And what do you mean your house? This is my house. I paid for it, I'm still paying for it."
peggy,I'm still waiting for the mortgage check.
charlie,I mailed it to you on Wednesday.
peggy,"Well, today's Saturday and it's still not here."
charlie,"Jesus, Peggy. Take it easy. I'm not used to that stuff. You always did the bills. Blame the damn post office."
peggy,That stays.
charlie,You got a Tab?
peggy,I don't buy them anymore. You were the only one who drank them.
charlie,"You don't want them? They're going to make a big comeback any minute. Mark my words, these lamps are going to..."
peggy,I know. Put Scott through college.
charlie,"I'll think of a way to sell, them.  One day."
peggy,Are you taking Janet to the reunion tonight?
charlie,I'm not going.
scott,Come on Dad!
charlie,Be right there. I'll go through the rest of this stuff next weekend.
scott,Bye Mom.
peggy,Bye sweetheart.
charlie, I never thought it would go this far.
peggy,"If the pastries aren't here by nine thirty, call Monica and threaten her life."
peggy,I'll be back by noon.
beth,Hi Monica. You just missed Mom.
monica,Sorry I'm late. My Bobo's back in town.
peggy,"Oh, Dolores."
peggy,Carol!
carol,Peggy Sue!
carol,"I haven't seen you in years. In all that time, haven't you at least tried another hair style?"
peggy,1 just did it for the reunion. I thought it would be fun.
carol,You're probably the only one who could carry it off.
beth,Where were you? You said you'd be back at twelve.
peggy,This is my old friend Carol.. I told you about her.
beth,r was worried about you  You didn't even call. You're always on my case if I don't call..
peggy,How do you like my hair?
beth,It looks great. Don't change the subject. You know how busy Saturdays are. And I can't do the icing. I always mess up the roses. You're not being very responsible.
carol,Who's the mother around here?
beth,Sometimes I wonder.
waiter,"Here Charlie, extra fortune cookies. Good luck."
charlie,Thanks.
charlie, Crazy Charlie...
charlie,You'll give away Mitsubishi giant screen TVs for twelve hundred and ninetyfive dollars! Oh no! I'll go broke!  Crazy Charlie...
charlie,"You won't be undersold on stereos, videos, microwaves or blenders!  Crazy Charlie, he insane."
bets,When are you going to stop being so mad at Dad? How do you think that makes me feel?
peggy,"I have a lot of unresolved feelings about him. I don't trust him. Besides, I hate those commercials."
beth,"I'm sorry I asked. We don't have time for another heartto heart. Here, try on the dress."
