Speaker,Dialogue
shooting script, 14 May 2004
lilly,For three hundred years the great plagues have swept the earth. Diseases created from the experiments of the Alchemists.
genetic doctor, See here. This is what you need to look for.
genetic doctor," A genetic mutation, we all carry it. But we now know a virus activates it. 3"
genetic doctor, This Virus plays some unknown role in the birth the Brothers. Of course the mutation occurs very rarely these days. And only in males.
genetic doctor, Strange isn't?
genetic doctor,"That God would choose such humble vehicle for a miracle. The mothers invariably come from the slums, we don't know why.  This is your 7th isn't it? 4"
genetic doctor, You'll have to try harder this time.
genetic doctor,What is it?
genetic doctor,Don't be stupid woman!
augustus,This is your brother Silus. You will teach him.
augustus,"No, not any more."
augustus, Welcome to the world little Brother.
dissolve to:,6
augustus,The girl?
augustus,This is good.
silus,"Augustus. We failed this girl. We asked her to help us catch him, and then we failed her."
augustus,Yes. But her death served a greater good. Every trap needs bait.
augustus, Are you sure you won't join me?
silus,Perhaps this is beyond us. Perhaps we should inform the authorities. The human beings.
augustus,For now the Brothers feel we should deal with this ourselves. 10
silus,If they find out we are covering up these deaths...
augustus,Which is why you must find him. Silus.
augustus," For centuries we Brothers have served mankind and them us. The great union. But remember your history. 300 years ago when our kind were first born into this world they burnt our children as monsters. They had no notion of evolution. In another world we might all have been slaughtered, only to be remembered in myth, monsters to frighten the young or a puzzle for anthropologists. We must refuse to let one aberrant individual destroy the balance between the two races. The old prejudices are still there. Human beings are paranoid creatures by nature."
silus,Perhaps they have good reason.
augustus,Silus. Simply concern yourself with finding Edgar. Find your Brother so that we can help him. Before he kills again.
jones,Everyone's ready Lilly.
lilly,About time.
lilly," On three gents. One, two..."
jones, Don't you move!
lilly, Don't you dare.
lilly, Jones! 12
jones,God help us. What an appalling sight.
slum landlord,I don't know nothing about it. I give 'em out. Make sure everyone gets 'em.
jones,That's a lie! We know you've been trading influenza vaccine in the workhouses!
frank,Lil'. I think you should see this.
frank,I'd use the mask if I were you.
jones,You're a fucking liar!
slum landlord,"No, no, I swear it, I gave 'em their boosters, both of 'em. I'm a responsible landlord, I swear to god. There must've been something wrong with them vaccines."
jones,This is a civil health violation! You're going to the hell house for this. You can forget lovely Doris here where you're going.
slum landlord,"I don't know what you're on about. I've done nothing, I swear to god, I've done nothing."
lilly,It is my pleasure to inform you that you are under arrest for trafficking influenza vaccine.
slum landlord,I want my lawyer.
lilly,"This is a violation of the 12/10 health act, whereby you have withheld borough sponsored vaccines from your tenants."
slum landlord,I want a lawyer!
lilly,"Anything you say will be held against you as evidence and, by endangering the public good, you are not entitled to a lawyer."
slum landlord,Fuck you then.
lilly,There's only one other thing.
prostitute,Oi! How about me? He promised me some of that. I earned it.
frank, Come one!
jones,"Lil', you want some?"
lilly,Smells terrible.
jones,I'm not letting that scum put me off my food. That'd be like a moral victory.
lilly,I'll get out here.
frank,You sure? 16
frank, What's up with her?
frank, Jones? Is she alright?
jones,"Yeah. Lilly's kid. It died of the influenza, didn't it."
frank,She's never said anything about a kid.
jones,No. She never says anything.
kid,Hey?! Hey! 18
kid,"Don't, I didn't do nothing. It was a Brother. It was a Brother did it."
augustus,"300 years ago, with these simple instruments, the alchemist Guiseppi De Angelo discovered what we today call genetic science. 19"
augustus," He deciphered that the Brothers were a new race of beings, sent by god, to serve and protect you."
