Speaker,Dialogue
senior bully,"Hop, freshman toads. Hop!    Move it, boys!"
linebacker,"Man, you got big."
nose tackle,"Worked out all summer.   Rock hard, dude."
brad hays,Would you guys get a room?
candace,Seniors only.  What are you doing with a plastic spork?
derek,I don't want to bring back silverware--
candace,"Derek, you're Earth Club Treasurer."
patrick,"Boys, the prick punch is not a toy. I learned that in 'Nam back in '68. ""Callahan,"" the sergeant said, ""put down that prick punch and go kill some gooks."""
patrick,My name is Patrick. You call me Patrick or you call me nothing.
patrick,"Chapter 1. Surviving your fascist shop teacher, who needs to put kids down to feel big.  Oh, wow. This is useful guys. We should read on."
bill,"Shhh. I'm Mr. Anderson. And thanks to Teach for America, I'm going to be your teacher for freshman English. This semester, we're going to be learning Harper Lee's To Kill a Mockingbird. Genius book. Now, who wants to get out of the first pop quiz?"
freshman girl,Shakespeare.
bill,"That's a great guess, but no, Shakespeare didn't write novels. Anybody else?  The author was..."
bill,"I'll give you a free ""A"" on anything but the final term paper if you get it right."
bill,You should learn to participate.
charlie,"Thank you, sir, but if my English teacher is the only friend I make today, that would be sort of depressing."
bill,Yeah.   I could see that.
charlie,"Don't worry, Mr. Anderson.     I'm okay."
patrick, I would happily not take shop...
senior bully,"Hey, Freshman Toad."
derek,"Mmmm. This chicken paprikash is delicious, Mrs. Kelmeckis."
mother,"Thank you, Derek. It's Charlie's favorite. He was a little nervous about starting high school, so I made it."
father,"You feel a little silly being nervous now, huh, champ?"
charlie,"Yes, sir.    I sure do."
father,I told you. Just give 'em a smile and be yourself. That's how you--
candace,"""--make friends in the real world."""
father,You're cruisin' for a bruisin'.
derek,"Freshman year is tough, but you really find yourself."
father," Thanks, Derek."
mother,I think you could be a little nicer to Derek.
father,I'm sorry.     The kid's a pussy.   I can't stand him.
derek, I hope you love the mix I made.     The cover is hand-painted.
candace,"Charlie, do you want this?"
charlie,Are you sure?
candace,He gives me one every week.
patrick,Come on Devils! Woooooo!
patrick,"Suck it, virginity pledges!"
charlie,Hey... Patrick.
patrick,"Hey! You're in my shop class, right? How's your clock coming?"
charlie,My dad's building it.
patrick,"Yeah. Mine looks like a boat.  You want to sit over here, or are you waiting for your friends?"
charlie,No.   I'll sit if that's okay.
patrick,"Thanks for not calling me ""Nothing"" by the way. It's an endless nightmare. And these assholes actually think they're being original."
charlie,"So, uh... you like football?"
patrick,Love it.
charlie,"Then, maybe you know my broth--"
patrick,"Hey, Sam."
sam,Question. Could the bathrooms here be more disgusting?
patrick,"Yes, they call it the men's room."
sam,"Well, I finally got hold of Bob."
patrick,Party tonight?
sam,No. He's still trying to shag that waitress from the Olive Garden.
patrick,He's never tossing that salad.
sam, Patrick... who's this?
patrick,This is...
charlie,Uh... Charlie... Kelmeckis.
patrick,"Kelmeckis! No shit! Your sister dates Pony Tail Derek, doesn't she?"
charlie,Is that what they call him?
sam,"Awww. Leave Pony Tail Derek alone.    You put the ""ass"" in ""class,"" Patrick."
patrick,"I try, Sam. I try."
sam,"It's nice to meet you, Charlie.    I'm Sam."
patrick,"So, what's the plan, Sam? You want to go to Mary Elizabeth's house?"
sam,Can't. She got caught watering down her parent's brandy with iced tea. Let's just go to Kings.
patrick, Hey... we're going to Kings after the game if you want to come.
sam,Do you have a favorite band?
charlie,I think The Smiths are my favorite.
sam,Are you kidding!? I love The Smiths! The best breakup band ever. What's your favorite song?
charlie,Asleep. It's from Louder Than Bombs. I heard it on Pony Tail Derek's mix tape.
patrick,That works on so many levels.
charlie,I could make a copy for you.
sam,"Thanks. What about Eide's?     You love Eide's, right?"
