Speaker,Dialogue
third draft, Revised 1/6/91
genvieve,I'm sorry...
puppeteer,I can't see shit down there! I'm working blind!
renee,"This is great, I could've spent four months on a romantic comedy with Warren Beatty, and instead, I've got a horny zombie trying to cop a feel!"
renee,"Uhgh, there's water everywhere...  Can I get a cigarette?"
renee, Anybody see my boy?
renee,How long have you been here?
geoff,Couple minutes. I saw the last shot. That was pretty cool.
renee, How did it go with your father last night?
geoff,"Good. He said he'd be over for dinner at eight...  I mean... he misses you, Mom..."
renee,I miss him too...
renee," I just don't want you to get your hopes up, okay? We're trying to work things out, but..."
geoff,"I know, Mom."
renee," You know everything, don't you?"
geoff,Guess it's showtime.
renee,Yep.
director,"Alright, Renee. Last time. I promise. We nail this and you won't have to do this ever again."
renee,That's what you said the first time...
operator,Rolling. Speed...
slate boy,"""Castle of Terror."" Scene 69A. Take thirteen."
director,Action!
electrician,Jesus! We've crossed over into 220! Shut down the generator!
geoff,Mom!!!!
chase,I think this is probably for the best. He's a very old dog. He has arthritis. He has cataracts in his eyes...
chase,"He's had a good life...  ...haven't you, boy?"
intercom,"Doctor Matthews, your son is on line one. He says it's an emergency..."
geoff,No...
geoff,You have to bring her back...
chase,Oh Jesus...
geoff, Dad...
gus," Let's keep it back, folks. Try to show her a little respect..."
gus,Hey! What did I just say?
reporter,Ass-hole...
gus,Did she always have reporters following her around like this?
chase,Pretty much so.
gus,I hear you moved into town.
chase,"I wanted to get Geoff out of L.A. Just start things over, you know?"
gus,I remember when Renee left. She couldn't wait to get out of Ludlow. She used to say that life moved too slow here...
chase,That's Renee alright.
gus,I suppose so.
chase,"...Geoff, what if we just give the clothes to Goodwill? We'll keep the rest. Just the clothes."
geoff,You're the one who wanted to move. Nobody would've touched them if you didn't want to move here...
chase,All the 'Renee' boxes go in the attic. Sorry.
marjorie,Hi. I'm Marjorie Hargrove. Your new housekeeper.
marjorie, Is something wrong?
chase,"Uh... no. You just... look different than you sounded on the phone. Please, come in."
marjorie,I'm real excited about working for you Mr. Matthews...
chase,"Well we're glad to have you, Marjorie. You can call me Chase, by the way."
