Speaker,Dialogue
night,"The story begins in this grubby alley, where two extra large ambulances screech to a stop beside a loading platform. Onlookers gather in the alley entrance to see how many people died; nobody died, the backdoors of the ambulances are opened by attendants, and six perfectly fine victims of perfectly terrible automobile accidents are lifted into wheelchairs. The cripples are beautifully dressed, the men in tuxedos, the women in splendid evening dresses. One of the women wears a neck brace which forces her always to look skyward, so she cantt see the beautiful orchid corsage pinned to her bosom. Quickly, attendants roll the wheelchairs past all the stacks of fruit and vegetables on the loading platform, past great bales of laundry, past whatever horrors one finds behind the warm, smiling face of a hotel. Watch- men, pastry cooks, valets are watching the rush of the wheelchairs without much interest. Then doors swing open, and we are in the tram It of the grand ballroom."
petulia,"You're an official host. She nods to the ribbon and cardboard which along with 'Official Host' says Dr. A. Bollen. Archie takes the ribbon off, as though to pin it on Petulia."
petulia,Careful. Can you tell I'm not wearing a brassiere?
archie,No.
petulia,"Don't think about it. It will only excite you. Archie finally finds the ticket for his coat, which the attendant now tries to find. On through this Petulia continues."
petulia,"That's my husband over there,"
archie,Ahh ...
petulia,"I've been married six months and I've never had an affair,"
archie,It can happen
petulia,"Don't take it so bloody well. I've just turned you down. He's looking at us. My husband,"
petulia's voice,"Isn't he gorgeous? He's a naval architect. It really zings when you say it. ""My husband David is a naval architect."" Actually, we're starving. You wouldn't want to buy a sixty foot sloop? David's ""Momma""` and ""Poppa' keep us. Look how disgusted Poppa is. He hates this sort of thing."
archieis voice,Poppa is too sensitive.
petulia's voice,"Sensitive, my ass. He's bored. Highway safety's so blah. Also, he hates amateurs. Give him something he can sink his teeth into - ""Rheumatoid Arthritis""  ""Muscular Dystrophy""' -m and he's the best there is. A real pro. A little lame girl with a ribbon in her hair and a crutch under her arm, and Poppa can set the world on fire. He's really slumming tonight."
barney's voice,"Hello, Archie."
wilma,Everybody came late.
archie,I came early. G'bye Wilma. G'bye Barney.
debutante attendant,Could you describe the coat?
archie,"A. coat. A raincoat. Sleeves. Barney has begun to snap his fingers and move his shoulders, becoming part of ""The Scene"", about which Wilma couldn't care less."
wilma,"You can't go, Archie. I'd be very"
wi lma,"Alright, then. I won't tell you who I bumped into last week"
archie,buying a well larded rib roast.
wilma,Smarty. Have you seen what she's done to her hair?
archie,"Wild, huh?"
