Speaker,Dialogue
the pianist, by Ronald Harwood  based on the published memoir by Wladyslaw Szpilman
dorota,Mr. Szpilman.
szpilman,Hello.
dorota,"I came specially to meet you today. I love your playing, but what a day to choose."
szpilman,Who are you?
dorota,"My name's Dorota, I'm Jurek's sister. oh! You're bleeding."
szpilman,It's nothing.
jurek,"C'mon, Dorota, you can write him a fan letter later, this isn't the best time, c'mon."
szpilman," Jurek, why have you been hiding her?"
father,"What you think, should I take Uncle Szymon's photograph?"
mother,"Take it, don't take it, take what you like. Can't you see I'm worried sick?"
father,"He'll come home, he'll be all right."
regina,"Mama, Wladek's home."
mother,Thank God - Wladek! You're wounded.
szpilman,"It's a little cut, nothing."
mother,I've been worried sick.
henryk,"I told her not to worry. You had your papers on you. If you'd been hit by a bomb, they'd have known where to take you."
mother,"Henryk, don't say things like that, God forbid, God forbid."
halina," Papa, Wladek's home."
father,What did I tell you?
szpilman, What are you doing?
regina,What's it look like we're doing?
szpilman," They bombed us, we're off the air."
henryk,Warsaw's not the only radio station.
mother,"Pack, darling, get your things, pack."
szpilman,Where are we going?
mother,Out of Warsaw.
szpilman,Out of Warsaw. Where?
regina,You haven't heard?
szpilman,Heard what?
regina,Haven't you seen the paper? Where's the paper?
halina,I used it for packing.
regina, She used it for packing.
father,The government's moved to Lublin.
halina,"All able-bodied men must leave the city, go across the river and set up a new line of defence, that's what it said."
father,"There's hardly anybody left in this building, only women, the men have gone."
szpilman,And what do you think you'll do while you're setting up a new line of defence? Wander round lugging your suitcases?
mother,"Pack, Wladek, there's no time."
szpilman,I'm not going anywhere.
halina,Good! I'm not going anywhere either!
mother,"Don't be ridiculous, we've got to keep together."
szpilman,"No, no, no, I'm staying put. If I'm going to die, I prefer to die at home."
mother,God forbid!
henryk,Sssh!
henryk,"Ssh! I've got something, listen..."
radio announcer,"... an important announcement. News has just been received through the BBC that Great Britain, having had no reply...  ... next few hours... awaiting latest news..."
radio announcer,... but France is expected to make a similar announcement...  ... Poland is no longer alone.
henryk," Mama, that was a great dinner."
szpilman,It certainly was.
mother,"When there's something to celebrate, you've got to make an effort."
father,Here's to Great Britain and France.
father,I told you. Didn't I tell you? All will be well.
father, Five thousand and three.
mother,Is that all?
father,"Yes, five thousand and three zlotys, that's all we've got left."
regina,"It's three thousand and three zlotys too much,  'Re: Further restrictions regarding liquid assets: Jews will be allowed to keep a maximum of two thousand zlotys in their homes.'"
mother,What are we supposed to do with the rest?
halina,Deposit it in a bank. Blocked account.
henryk,Banks? Who'd be stupid enough to deposit money in a German bank?
regina,We could hide the money here in the window frame.
father,"No, no, no. I'll tell you what we'll do. We'll use tried and tested methods. You know what we did in the last war? We made a hole in the table leg and we hid the money in there."
henryk,And suppose they take the table away?
mother,"What d'you mean, take the table away?"
henryk,"The Germans go into Jewish homes and they just take what they want, furniture, valuables, anything."
mother,Do they?
father,Idiot! What would they want with a table?
mother,What on earth are you doing?
halina,There's a good place under the cupboard.
henryk,"No, no. Listen, I've been thinking --"
szpilman,That makes a change.
henryk,You know what we do? We use psychology.
szpilman,We use what?
henryk,"We leave the money and the watch on the table. And we cover it like this.  In full view. The Germans will search high and low, I promise you, they'll never notice it."
szpilman,Of course they'll notice it. But look--  This is a good place for something.
henryk,A good place for what?  He's insane!
szpilman,Just shut up.
father, My violin?
regina,"Quiet! Quiet! Order, please, order!"
halina,"She's a lawyer, she likes order."
regina,"Listen, just listen. Let's come to an agreement. We jam the money in the window frame. The watch we hide under the cupboard. And the chain we put in the violin."
father,Will I still be able to play?
szpilman,Let's find out.
szpilman,Jurek? Wladek Szpilman.
jurek, Wladek! How are you?
szpilman,"Fine, we're fine, thank you, and you?"
jurek," Fine, we're fine in the circumstances. But I can guess what you've called about. There's nothing we can do; they won't reopen the station--"
szpilman," Yes, I know, but Jurek, Jurek..."
jurek," ...not even music, nothing, no radios for the Poles. But I'm sure you'll find work, Wladek, a pianist like you."
szpilman,"Maybe, maybe not, but, Jurek, don't be offended, I didn't call to discuss my future career."
dorota,"I nagged Jurek for weeks and weeks. And at last he gave in and said, 'All right, come with me tomorrow,' and so I came and they bombed the station."
szpilman,You know something? Meeting you like that was absolutely wonderful.
dorota,Really?
szpilman,Yes!  It was...it was unforgettable.
dorota,"I've always loved your playing, Mr. Szpilman."
szpilman,"Wladek, please."
dorota,No one plays Chopin like you.
szpilman,"I could accompany you, me on the piano, you on the cello."
dorota,"Oh, Mr Szpilman, you're quite... quite wonderful."
szpilman,"Wladek, please."
father," must be one centimetre. Jews who do not respect this decree will be severely punished. Governor of Warsaw District, Dr. Fischer.'"
