Speaker,Dialogue
seamen,"Hold still you smutt! Blast the boat! Look up! Look up! Lay to! Lay to. Up with it you buggerers, hold hard! Damn me won't you hold?! Etc."
seamen,It's a little rough out there. Could be they can't get through to you in this weather. Maybe they'll come over land.
seamen,Have you things for shelter?
seamen,What things have you?
flora,"She says, ""thank you""."
seamen,Does your mother prefer to come on with us to Nelson?
flora,"She says, No. She says she'd rather be boiled alive by natives than get back in your tub."
seamen," You be damn fortuned I don't smack your puppy gob, missy. Damn lucky."
flora, Mother... I'm thinking
baines,Are we stopping?... Do you want to stop?
baines,Shall we stop?
baines,"Tai hoa! Me tatari tatou .., me tutatou I konei.  SUBTITLED"
stewart,We must get on.
tame,Aue tepatupsiarehe!  SUBTITLED
stewart,"Miss McGrath, Alisdair Stewart. You'll have to wake yourself. I've got men here to carry your things."
stewart,"I see you have a good many boxes, I'd like to know what is in each."
stewart,CAN - YOU - HEAR - ME?
stewart,"Well that is good, yes that is good, good."
stewart,What's in here?
stewart,"Ohh, yes so it is, written there, crockery."
stewart,And this one?
stewart,You're small. I never thought you'd be small.
stewart,What's here?
stewart,"What's in here then, lead?"
flora, It's my mother's piano.
stewart,A piano?
stewart,Tell them to carry in pairs.
stewart,What do you think?
baines,She looks tired.
stewart,"She's stunted, that's one thing."
baines,Anei nga pouaka - ko era e toro. Me era e raa.  UNSUBTITLED
hone,E Hoal
stewart,"Oh no, it can't come now."
flora,It must come.
flora,She wants it to come.
stewart,"Yes and so do I, but there are too few of us here to carry it. TOO - HEAVY"
stewart,Do you mean you don't want your kitchenware or your clothes? Is that what you mean?
flora,We can't leave the piano
stewart,Let us not discuss this further. I am very pleased....
flora,Mother wants to know if they could come back directly for it?
flora,After they have taken the other things?
pito,Kei Riri a te raho Maroke. 
stewart,I suggest you prepare for a difficult journey. The bush will tear clothes and the mud is deep in places.
stewart, What are they doing? We don't have time for that.
baines,Mr. Stewart asked if I might show you to the path.  ... May I carry something?
baines,aha tenei?  SUBTITLED
hone,E hinga te Koroua ra B Pitama i konci. Kare noa Kia hikina te tapu.  UNSUBTITLED
stewart,What's he say?
baines,Someone died here. It's tapu.
stewart,But we came down this way didn't we? I'm sure we did.
hone,E Tarna heke atu ki ram - tiro his atu. Rapuhia mai he huarahi re!  UNSUBTITLED
tipi,'cia tupato he ana taniwba ke raro na.  SUBTITLED
hotu,"'Ca, rongo koe i te haunga a tans tutae i te tuatahi.  UNSUBTITLED"
stewart,They want more money. They are trying to make two days out of it?
baines,"No, no they know another track - to the side of this."
aunt morag,Watch your feet!
nessie,Watch your feet!
aunt morag,Careful! Watch his hand.
nessie,Watch his hand
aunt morag,Stop it!
aunt morag, We'll bring out the bride.
aunt morag,LIFT - YOUR - ARM - UP - DEAR.
flora,My REAL father was a famous German composer
aunt morag,Ohh the tag is broken.
flora, .... They met when my mother was an opera singer... in Luxemburg...
flora,Why?
flora,I want to be in the photograph.
stewart,Beautiful.
aunt morag,I thought she met your father in Luxemburg.
flora,"Well, yes, in Austria where be conducted the Royal Orchestra."
aunt morag, And where did they get married?
flora," In an enormous forest, with real fairies as bridesmaids each holding a little elf's hand."
flora,"No, I tell a lie, it was in a small country church, near the mountains"
aunt morag,Which mountains are those dear?
flora,The Alps.
aunt morag,Ohhh I've never been there. 
flora,Mother used to sing the songs in German and her voice would echo across the valleys
aunt morag,Oh what happened?
flora,"One day when my mother and father were singing together in the forest, a great storm blew up out of nowhere. But so passionate was their singing that they did not notice, nor did they stop as the rain began to fall and when their voices rose for the final bars of the duet a great bolt of lightening came out of the sky and struck my father so that he lit up like a torch... And at the same moment my father was struck dead my mother was struck dumb! She- never-spoke-another-word."
aunt morag,"Ohhh ... dear. Not another word From the shock, yes it would be."
aunt morag,Terrible.  Terrible
stewart,"I shall be gone for some days. There is some Maori land I want and may buy very reasonably.  I am hoping you will use the time to settle in, and, in some ways we may start again"
stewart,All right?
baines,I'm not able to read.
flora,Please take us to the beach where we landed.
baines,"I'm sorry, I can't do that.  Goodbye"
baines,I - can't - take - you there. I can't do it.
stewart,"Hello, then."
flora,Hello.
nessie,It will be very dramatic.
stewart, What would you think if someone played a kitchen table like it were a piano?
aunt morag,Like it were a piano?
stewart,"It's strange isn't it? I mean it's not a piano, it doesn't make any sound."
aunt morag," Biscuits.' No, no sound."
stewart,"I knew she was mute, but now I'm thinking it's more than that. I'm wondering if she's not brain affected."
aunt morag,No sound at all?
stewart,"No, it was a table."
aunt morag," Well, she was very violent with the gown. She tore off a chunk of lace. if hadn't been there I'd have sworn she'd used her teeth"
nessie,and wiped her feet an it.
stewart,Well it has not yet come to anything. Just a concern.
aunt morag,"Oh, yes, yes of course, a concern."
stewart,There is something to be said for silence
aunt morag,Oh indeed. Cotton'.
stewart,"  And with time she will, I'm sure, become affectionate."
aunt morag,"Certainly, there is nothing so easy to like as a pet and they are quite silent."
baines,"Those 80 acres, that cross the stream, what do you think of them?"
stewart,On your property?
baines,Yes
stewart,"Good, flatish land with reliable water, why? I don't have money. What are you about?"
baines,I'd like to make a swap.
stewart,What for?
baines,The piano.
stewart,The piano on the beach? Ada's piano?
stewart,It's not marshy is it?
baines,No.
stewart,You'd have to organise it up here.
baines,"Yes, I thought that."
stewart,"Well Baines the music lover, I never would have known. Hidden talents George."
baines,I'll have to get lessons. It wouldn't be much use without them.
stewart,"Yes, I suppose you would."
stewart,Well Ada can play.
stewart,I have it in a letter she plays well. She's been playing since
stewart,"I have got us some excellent land. Baines has taken some queer idea to have a piano, and you are to give him lessons. Have you taught before?"
flora,What on?
