Speaker,Dialogue
philips," You're looking well, Dutch."
schaefer,"It's been a long time, General."
philips," We've got a real problem here, something right up your alley."
philips,"Eighteen hours ago I was informed that one of our choppers, transporting three presidential cabinet members from this charming little country, was shot down...  Here."
schaefer,"That's over the border, General."
philips, We're certain they've been captured by the guerrillas.
schaefer," What have you got in mind, General."
philips,"We figure we've got less than twenty-four hours to catch up with them.  After that, there's not much hope.  We want a rescue operation mounted tonight.  That doesn't give you much time."
philips,You lift off in three hours.  There's one other thing.
schaefer,"What's that, General?"
philips,Someone else will be going in with you.
schaefer,"You know we don't work with outsiders, General."
voice," Who said anything about outsiders, Dutch?"
dillon,"Last time we danced, it was Lieutenant, Schaefer."
schaefer,"Dillon, you son of a bitch."
dillon," How you been, Dutch?"
schaefer,"You've been pushing too many Pencils, Dillon.  Had enough?"
dillon," No way, old buddy."
schaefer,You never did know when to quit.
dillon,That piece of work you guys pulled off at the Berlin embassy last week was really something.  Blew the entry points on three floors and neutralized the opposition in eight seconds flat. Beautiful.
schaefer,"Like the old days, Dillon."
dillon,Also heard that you passed on that little job in Libya.
schaefer,"Wasn't my style.  We're a rescue unit, not assassins.  This must be good.  Big shot from the CIA, leaves his desk to come back to the bush. What's so important?"
schaefer,Go on.
dillon,"The set-up is simple, Dutch. One day job.  We pick up their trail at the chopper, run 'em down, grab the hostages and bounce back across the border before anyone knows we were there.  You've done it a hundred times.  Nothing out of the ordinary."
schaefer,And nothing we can't handle alone.
dillon,"Not to worry, Dutch.  I haven't lost my edge.  They've got a head start on us in some real tough country, otherwise, believe me, it's a piece of cake."
philips,"Gentlemen, we're losing time.  Good luck, Major."
pilot one," Redbird Two, Two.  Bearing south, three, five, zero, one o'ckock on the saddle ridge. Over."
pilot two," Roger, Blue Leader.  Three, five, zero, on your move. Over."
hawkins," Hey, Billy, how many marines does it take to eat a squirrel?"
hawkins,Two.  One to eat it and one to watch for cars.
ramirez," Get that stinkin' thing out of my face, Blain!"
blain,...bunch of slack-jawed faggots around here...  ...make you a God-damned sexual ty-ran-toe-sore-ass... just like me.
dillon, Our rendezvous points and radio freqs. are indicated and fixed.  AWACS contact on four hour intervals.
schaefer,Who's our back-up on this?
dillon," No such thing, old buddy. It's a one way ticket. Once we cross that border, we're on our own."
schaefer,This gets better by the minute.
dillon," Man, that's a real bad habit you've got."
