Speaker,Dialogue
stagehand,Where'd you think you're going?!
bearded man,"I'm part of the act, you fool!"
cutter,Who was that?
cutter,"Because of course, you're not really looking..."
prosecutor,"And did Robert Angier, the Great Danton, your employer, get to that final part of his trick that night? "
cutter,"No, sir. Something went wrong."
prosecutor,What went wrong?
cutter,I saw a someone head below the stage... I followed... and I found  BORDEN-
prosecutor,"Would you describe your occupation to the jury please, Mr.Cutter?"
cutter,I'm an ingeneur. I design illusions and construct the apparatus necessary for perfoming them.
prosecutor,"And for how long had you been Mr.Angier's ""ingeneur""?"
cutter,Eight years. I was privvy to the secrets of his entire act.
prosecutor,"So, Mr.Cutter, was this water-filled tank beneath the stage part of Mr.Angier's illusion- the illusion billed as ""THE REAL TRANSPORTED MAN""?"
cutter,"No, sir. The tank had been used for the first trick, then taken offstage. Borden must have put it under the trap door after the interval."
defender,How large was this tank?
cutter,The sort of tank used for underwater escapes- four or five hundred gallons. 
defender,How do you think Mr.Borden was able to move the tank under the trap door without anyone noticing?
cutter,Ask him- he's the magician.
defender,  I ask again that this man explain the mechanics of Mr.Angier's illusion.
cutter,"  If I reveal my magician's secrets here in open court, I'll be unemployable and the secrets will be worthless. The Real Transported Man is the most sought-after illusion in the business and I have te right to sell it on."
judge,"Mr.Cutter, I see your predicament but we are talking about a capital offence- Alfred Borden's life hangs in the balance."
captain,I'm going to have to ask you to turn out your pockets.
owens,My name is Owens- I'm a solicitor.
borden,How much?
owens,Lord Caldlow is interested in- 
owens,Five thousand pounds.
borden,"Talk to Fallon, my ingenuer- the money's for him."
owens,I did. He offered to sell all of your tricks... except the most valuable one - The Transported Man.
borden,I'd never forgive myself for selling my greatest trick. Borden signals the Wardens to come and unlock him.
owens,"Even for your daughter? Borden looks up. Owens moves closer, quietly assertive."
borden,Fallon can take care of-
owens,"Bernard Fallon? A man with a past even more obscure than your own? The court have already motioned to have the girl removed from his ""care"". No, the girl is to be an orphan. I've been to the work house... Owens looks around the prison yard. Shrugs."
borden,Angier never learned my trick.
owens,"Really? When he returned from Colorado he mounted a version of the Transported Man that the papers said was better, even..."
borden,  If you want Angier's secret you can dig him up and ask him for yourself.
owens,"I want your secret, Mr.Borden...   Consider your daughter!"
angier,  The whole town has electricity?
angier,Quit a reception.
manager,"You're our first guest of the season, Mr.Angier.  Your telegram didn't indicate how long you would be staying with us. "
angier,As long as it takes.   I'll need a coach tomorrow to take me up the mountain.
manager,"The peak is closed, sit. For scientific experimentation."
angier,  That's why I'm here.
driver,"You have to walk the reat, I'm afraid, sir."
shotgun,I'm amazed at how many of you newspaper writers can't read mu sign.
angier,Not the welcome I was expecting.
shotgun,I know you. You're that magician-the Great Danton.  I'm Alley. I saw your show. IN London. Seven times- you guessed every object the audience had in their pockets. Angier leans on his cane and gently brushes off the dirt.
alley,I'm sorry about the fence. People keep interfering with our work.
angier,I've come to see Tesla.
alley,Why?
angier,He built a machine for a- for a colleague of mine. A long time ago. Can you get me a meeting with him?  I've come a very long way.
alley,"Impossible, I'm afraid."
angier,I've brought a lot of money. Beat.
alley,"I'm sorry, Mr.Angier. I simply can't help you. Alley pulls the fence closed."
angier,I'll be staying at the hotel. Indefinitely. Alley watches Angier walk away. He pulls something from his pocket.
alley,What am I holding? Angier doesn't look back.
angier,Your watch.
milton,Which of you brave souls is willing to bind this lovely young woman...
