Speaker,Dialogue
the producers,_____________  by  Mel Brooks
bialystock,Don't forget the checkee.  Can't produce playees without checkees.
bialystock," ""Hold me, touch me', 'hold me, touch me', 'hold me, touch me', where is 'hold me, touch me'?  Ahhh ... here we are.  'Hold me, touch me.'"""
bialystock, Darling!
bialystock,Devil woman.
bialystock,"Here I come, ready or not."
bialystock,Ohhhhhh.
bialystock,Come to Papa.  Come to Papa do.
bialystock,I'm gonna get you.
bialystock,Ohhhhhhhh.
bialystock,Rowrrr.
bialystock,"Aieeeeyiyiyiyiyi,"
bialystock,My hand.  My hand.  I can't turn my hand. 
bialystock," Enough.  It's better.  Please, Lambchop, it's better.  Stop. You're hurting it again."
bloom, How do you do.  I mean ... Excuse me ... I mean ...
bialystock,"You mean ooops, don't you?  Say ooops and get out."
bloom,I'll wait in the hall ...
bialystock,Oooooooops!
bloom, Ooooooops.
bialystock, Wait.  Wait.  We can't play today. I have too many appointments.
bialystock,Thursday.  Thursday.  We'll play Thursday.  We'll play the Contessa and the chauffeur.
bialystock," Until Thursday, then, Contessa Mio."
bialystock, All right.  All right.
bialystock,I can't take my eyes off you.  How can I drive when you drive me mad. Mad.
bialystock, It's always such fun to see you.
bialystock,"Until Thursday, then, you bawdy wench."
bialystock,Thursday.  I'll see you Thursday.
bialystock,Good.  Yes.  Thursday.
bialystock, Like clockwork.
bialystock,"Goodbye, my angel ... My angel!  Hey, touch me ... wait!  Hey, uh ... Lucretia, Lucretia!"
bialystock,"Oh, Angelcake, you forgot to give me the check.  Can't produce a play without money, ha, ha, ha."
bialystock,"Oh, it's fine.  Fine.  Good.  Good. Bye.  Bye."
bialystock, Ta.  Ta.
landlord,That's the law.
bialystock,Murderer!  Thief!  How can you take the last penny out of a man's pocket?
landlord, I have to ... I'm a landlord!
bialystock," Oh Lord, hear my plea.  Destroy him. He maketh a blight on the land."
landlord, Don't pay attention.  He's crazy.
bialystock, I'll have to make another call.
bialystock, Have you been there all this time?
bialystock,And did you see and hear everything?
