Speaker,Dialogue
written by, David S. Ward & Aaron Latham
revised tan 11/23/92,SHOOTING DRAFT
winters," No, we're just a young team on the verge. We'll be back in a major bowl next year."
alvin,"Good throw, Joe. It was there."
joe,"So was half their team.  Shit, another Christmas at home."
alvin,"Next year, man. Next year we sell out. Next year we dominate."
coach winters, Stop wastin' my time talkin' to you guys for a start.
chancellor wilson,"I'm concerned about our Program. It's always been a source of pride to our students and alumni, but two straight so-so seasons are having a damaging effect on our fund-raising, both public and private."
winters, Then stop raising the entrance requirements on me. We never could have gotten Alvin Mack in here under the new guidelines.
chancellor wilson,"As Chancellor, my first responsibility is to the academic interests of this University."
wilson,"At a time when we're committed to a 400 million dollar building program, alumni donations are down 15% the last two years. Because they've also voiced their displeasure to their legislators, we can expect a corresponding drop in state funds."
howard,"The Athletic Fund is suffering too. Season tickets sales are off, merchandising's slow..."
winters,You layin' all this at my door? There's been a recession on.
chancellor wilson,"Yes, but the heaviest drop has been from the big donors, the 100,000 dollar club. These people are recession proof. They sit in my box every game, and they're much more generous when we're ranked and going to bowl games. Two of them, as you know, are on the Board of Regents, including the Chairman."
winters,"What are you trying to say to me, Grant? After 12 years, my job's in jeopardy?"
chancellor wilson,"I'm not prepared to discuss your job right now; I just want you to be aware of the situation. The alumni and the legislature are unhappy and they vote with their checkbooks. I don't pretend to be an expert on football, Sam, and I'll deny that this conversation ever took place, but I do know we need to win next year."
clayton, Tickets are in your coat. Itinerary and player profiles are in your briefcase. We got a 9:00am tomorrow in Philly with this kid Darnell Jefferson.
winters,Looks like I've lost weight.
clayton,This kid's the gamebreaker we've been lookin' for.
winters,"Darnell, you have the potential to start for us as a freshman. That 108 yard kickoff return you made against Taft? One of the greatest runs I've ever seen a high school player make. Now, Michigan is set at tailback for two years. You won't play till you're a junior. With Joe here gettin' you the ball, runnin' 28 Thunder right, you'll be All-American with us as a Sophomore."
reverend wallace,"Yes, but I'm really more concerned with Darnell's education. He came here late. He's got some catching up to do."
winters,"Believe me, education is the first priority in our program. That's why all the players are smarter than me. After all, a football coach is smart enough to understand the game, but dumb enough to think it's important."
alvin's mother,"It's real pretty, Alvin."
alvin,"When I turn pro, I'll get you the house to go with it."
louanne," It's real nice, Dad."
winters,"I knew you'de like it, Lou. Merry Christmas. Put some fresh flowers on your Mom's grave for me. I'll be home in a couple days."
frank,"Have another Vitamin I, Joey. Didn't think we'de see you here this Christmas, little brother."
joe,You won't next year.
joe's father," Yeh, well we won't rent your place on the couch."
darnell,You're from E.S.U?
girl's voice,"Yeh. I was just sittin' here by the fire doin' my homework, and decided to give you a call. See how you're doin'."
autumn,Coach Winters has been telling me about you. I'm looking forward to seeing you when you come to visit. I'll be your guide. You are coming to visit aren't you?
darnell,You got that right.
darnell,"Thanks for showin' me around, Autumn. I don't meet too many females like you. You got a lotta class. Real efficacious. Maybe I'll check you out in the fall."
autumn,"I hope so, Darnell."
autumn,Good night.
darnell,Now you know where I'm going and what we're indubitably going to be.
joe,"Hey, Darnell, Welcome to E.S.U."
darnell," Yeh, good to see you guys. What happened to the band and the dancin' honies?"
joe,"Regular students don't come back for two weeks yet. Not that they woulda been here. Now that you've enrolled, you're just another wormshit freshman."
joe,Here's your room. If you need anything call the hall manager.
joe,See ya later. Freshman Placement test tomorrow at nine. McKinnley Hall.
bobby,"Uh, oh, the Lead Dog is back. There goes my cover of the media guide."
joe,"Hey, Bobby, Lats, how ya doin? This is Darnell Jefferson, freshman tailback."
darnell,How ya' doin'?
bobby,"I was hopin' you'de have rolled your bike or somethin'. Nothin' serious, just enough to keep you out for the season."
joe," Shit, Lats, you look buffed, man. You put on some weight?"
lattimer,35 lbs. Spent the summer in the gym. I'm tired of watchin' you guys play. I intend to start this year.
bud,"You get any bigger, you can play offense."
lattimer,"Yeh, but don't I have to get dumber too?"
bud,You still seein' Louanne?
bobby,"Yeh. Now and then, when the tide rises. Don't want her to think this is some kind've exclusive deal."
joe,"Coach finds out you're nailin' his daughter, you'll be playin' dorm ball."
bobby,"I'll bail before that. Besides, this is what he gets for not startin' me."
alvin,"Hey, man, you seen this?"
alvin, You must be some very bad-ass motherfucker.
joe,Jesus...
lattimer,What? You didn't know?
joe,I knew there was gonna be an article. I didn't know it was gonna be on the cover.
alvin,"Shit, we do all the work. You get all the pub. Too bad we're not allowed to hit you in practice. Be fun to kick the shit out of a Heisman Trophy Candidate."
joe,I guess you'll have to wait till we get to the pros.
alvin," Beer boy, get me some."
darnell,Are you serious?
alvin,Does it look like I'm serious?
lattimer,"Listen to this. ""E.S.U. has a solid nucleus returning, but the Timberwolves, coming off two disappointing seasons, will only go as far as the strong right arm of Heisman Candidate Joe Kane will take them."" That right, Joe? You gonna lead us to the promised land?"
joe,I'm gonna lead... but can you follow?
bud,"What are we doin', Joe?"
joe, There's something I wanta try. Gotta wake up our Mojo. Start settin' the tone for the season.
bud,This is not a good time to be settin' anything. You're in no shape...
bud,"Joe, c'mon Joe, don't be an asshole. Joe! God-damnit, why's he always doin' shit like this? Coach'll fuckin' kill me. Alvin, go get him, will ya?"
alvin,"Hell no, you go get his ass. Crazy motherfucker."
bud,Fuck this shit.
bud,"C'mon, Joe, that's enough. Let's get the hell outa here. What if somebody drifts or crosses the line to pass?"
joe,"What's the matter, Bud? Can't you follow?"
bud," God-damnit, god-damnit. Shit."
alvin,Startin' to look like a loaf of Wonder bread out there.
bobby,"They're makin' us look like pussies, ya know. Standin' here suckin' our thumbs."
lattimer," Yeh, and there's nobody from the Defense out there."
alvin,What are you lookin' at? You think you're bad?
louanne," Bobby, be careful, o.k? Please, be careful."
darnell,This guy do this kinda shit a lot? They never mentioned this in recruiting.
darnell,I don't know... I left a lot of 'em blank.
joe,"Don't worry, you'll do all right. Lotta people don't finish."
darnell, Yeh.
joe,What are you doin' with the trophy?
darnell,Coach Winters asked me to bring it to the meeting. I don't know what for.
darnell,"I'll see ya at the meeting.  Take this for me, will ya?"
darnell,"Hey, Autumn, hold up! What're you doing here? I thought students didn't come back for two weeks."
autumn, I came back early to see a friend.
darnel,"You're looking fresh, Autumn. A package of pulchritudiness. What about getting together later tonight? Maybe get a pizza? They got pizza in this town don't they?"
autumn,I can't tonight.
darnell,How about tomorrow night?
autumn,"I don't think it's a real good idea for us to see each other, Darnell."
darnell,"What's the matter? I'm not good enough for you all of a sudden? Too young, is that it? I'm not, ya know. They held me back a year."
autumn,"No, it's not that... I've got a boyfriend."
darnell,Did you have this boyfriend when you showed me around?
autumn, Yes.
darnell,"Yeah, well, it didn't seem to bother you then. I'm willing to overlook it now."
autumn,I was mad at him.
darnell,For what?
autumn,I caught him with another girl. A white girl.
darnell,And you're still with this nigger?
autumn,"Look, I got to get going, Darnell. I'm sorry. I didn't mean to lead you on. I'm glad you came here."
darnell,"Wait a minute. I can at least walk with you, can't I? Nothin' wrong with that."
autumn,I'm in a hurry.
darnell,I can keep up. I run the forty in four-four.
ray,"Hey, Autumn --"
autumn,"Hi, Ray. This is..."
