Speaker,Dialogue
watts,Moving to survey site B... closing on object four. The large oblong.
watts,Martin. Here.
holloway,Look at that.
watts,You need to see this.
watts,Same thing again.
holloway,What do you see?
watts,"An ephemeris - a star map.  Radius, inclination, azimuth...more data here..."
holloway,If we can get epoch and equinox out of that...
watts,Can we raise this thing?
holloway, Hundreds of tons.
holloway,I have a solution. A single match.
watts,Me too. Checked it twice.
holloway,You first.
watts,What do we do now?
holloway,We go there.
watts,"What's first? You do climate, I do genetics?"
holloway,Archaeology first. Let our ancestors tell the tale.
watts,You think he's serious?
holloway,Serious enough to send his private shuttle.
watts,Weyland can send his shuttle out for pizza. 
holloway,It won't go like the others.
watts,How do you know?
holloway,Heaven smiles on our enterprise.
david,Professor Holloway. Dr. Watts. My name is DAVID.
watts,"Hello, DAVID."
david,Mr. Weyland's eager to meet you.
david,These are all the planetary bodies on which Weyland Industries has mining claims.
holloway,How is that going? The terraforming.
watts,They say you're getting diminishing returns. It's not working.
david,It's the greatest engineering project ever attempted. Challenges are inevitable. Mr. Weyland's a determined man.
weyland,Professor Holloway. Ms. Watts.
watts,Doctor Watts.
weyland,Forgive me. Peter Weyland.
holloway,We sent you a prospectus that...
weyland,Assume I know nothing.
holloway,I'm an archaeologist.
watts,"I was analyzing historical changes in human DNA. I found the same pattern. Every eleven centuries, a pulse of new information in the genome of the human race. All over the world. Evolution can't do that. Something was changing us. Changing the DNA of our species."
holloway,Humanity's been visited. Visited by...beings from somewhere else.
vickers,You mean aliens.
weyland,"Lydia Vickers, Director of Operations. Practically my right hand."
holloway,"They guided us to civilization. Lifted us up, again and again. I call them the Engineers."
watts,"Once you know what you're looking for, it's amazing how the evidence falls into place."
holloway,"This is the writing of the Engineers. We've found it on every continent. And last year, we found our Rosetta Stone."
watts,The writing is a formula giving the location of a single star in our sky.
weyland,Which star?
holloway,We're keeping that confidential for now. But that's where we want to go.
weyland,You want me to pay for an interstellar research expedition!
holloway,It's a chance to be part of a revolution in scientific...
weyland,"Don't sell me, professor. You've been turned down by every university and government agency under the sun. Nobody's going to gamble that kind of money on your hunch."
holloway,That's impossible. Our research is-
weyland,"Quantum encoded on secure servers, yeah. We have an A.I. division, you should know. Doing impressive things.  I know which star you're wishing on."
watts,You're bluffing.
weyland,Zeta Two Reticuli.
watts,He made the Heaven and the Earth.
weyland,That's what I'm talking about. You left out my favorite part. The piece about Earth. DAVID.
david,"For eons, Earth's climate swung from hothouse to ice age. Explosions of life, then mass extinctions. But twelve thousand years ago the swings stopped. The Holocene Epoch began - a period of anomalous tranquility. The rise of civilization began only then."
holloway,That's right.
watts,And that change coincides with a visit by the Engineers. They didn't just change us. They changed our world.
weyland,That's the piece I mean. Engineering Earth. God stuff.
holloway,What's that?
weyland,You get the discovery. Control of the site. But any technology you find? Anything at all. That's mine.
downs,Look at that.
kamarov,She wakes up slow.
stillwell,Just looking.
holloway,"Give us a moment, will you?"
watts,I'm out of sorts. Sorry.
holloway,Never worry.
watts,My head's buzzing.
holloway,You just slept two and a half years. It'll pass.
watts,Like you've done this before.
holloway,I've read all about it.
brick,Sleep okay?
watts,"Yes, thanks..."
glasse,Captain'll see you now.
janek,Zeta Two Reticuli was surveyed already. A hundred years ago.
watts,By an unmanned probe. Very crude.
janek,No Earthlike planets.
watts,No.
janek,So what are you looking for?
holloway,Proof of the Engineers' existence.
watts,Confirmation of Professor Holloway's theories would change everything. There'd be science before Holloway and science after.
janek,Your ticket. I'll put the ship where you want. Run your scans.
holloway,"Captain, your crew's been up for a week. We could've used the time. Why'd you wait to wake us?"
janek,Better for discipline.  But this contract says no percentage. No bounty. Just triple pay. The men aren't happy.
holloway,You unhappy too?
janek,I'm always unhappy.
watts,DAVID. I wondered when we'd see you.
david,I trust your database is in order. I set it up myself.
watts,"All's well, I think."
david,"I should tell you: the time you spent sleeping, I spent studying your research."
watts,You studied our work for two and a half years.
david,It's quite a data set.
holloway,So you've seen everything. Well. What do you think?
david,"Your hypothesis is...bold. The audacity of it. Your climate data's undeniable: the Holocene Epoch was engineered. Dr. Watts, your genetic studies are equally conclusive. Pulses of cultural change are harder to prove, but even there your case is strong. I believe in your ""Engineers."""
holloway,Weyland Industries! Mr. Chance. Ms. Ravel. You remember Dr. Watts.
chance,We'll handle our end of the job.
ravel,If there is a job.
chance,We only have a job if you find something.
