Speaker,Dialogue
young man,"No, forget it, it's too risky. I'm through doin' that shit."
young woman,"You always say that, the same thing every time: never again, I'm through, too dangerous."
young man,"I know that's what I always say. I'm always right too, but"
young woman,but you forget about it in a day or two -
young man,"yeah, well, the days of me forgittin' are over, and the days of me rememberin' have just begun."
young woman,"When you go on like this, you know what you sound like?"
young man,"I sound like a sensible fucking man, is what I sound like."
young woman,"You sound like a duck.  Quack, quack, quack, quack, quack, quack, quack..."
young man,"Well take heart, 'cause you're never gonna hafta hear it again. Because since I'm never gonna do it again, you're never gonna hafta hear me quack about how I'm never gonna do it again."
young woman,After tonight.
young man, Correct. I got all tonight to quack.
waitress,Can I get anybody anymore coffee?
young woman,"Oh yes, thank you."
young man,I'm doin' fine.
young man,"I mean the way it is now, you're takin' the same fuckin' risk as when you rob a bank. You take more of a risk. Banks are easier!  Federal banks aren't supposed to stop you anyway, during a robbery. They're insured, why should they care? You don't even need a gun in a federal bank. I heard about this guy, walked into a federal bank with a portable phone, handed the phone to the teller, the guy on the other end of the phone said: ""We got this guy's little girl, and if you don't give him all your money, we're gonna kill 'er."""
young woman,Did it work?
young man,"Fuckin' A it worked, that's what I'm talkin' about! Knucklehead walks in a bank with a telephone, not a pistol, not a shotgun, but a fuckin' phone, cleans the place out, and they don't lift a fuckin' finger."
young woman,Did they hurt the little girl?
young man,I don't know. There probably never was a little girl  the point of the story isn't the little girl. The point of the story is they robbed the bank with a telephone.
young woman,You wanna rob banks?
young man,"I'm not sayin' I wanna rob banks, I'm just illustrating that if we did, it would be easier than what we been doin'."
young woman,So you don't want to be a bank robber?
young man,"Naw, all those guys are goin' down the same road, either dead or servin' twenty."
young woman,And no more liquor stores?
young man,"What have we been talking about? Yeah, no more-liquor-stores. Besides, it ain't the giggle it usta be. Too many foreigners own liquor stores. Vietnamese, Koreans, they can't fuckin' speak English. You tell 'em: ""Empty out the register,"" and they don't know what it fuckin' means. They make it too personal. We keep on, one of those gook motherfuckers' gonna make us kill 'em."
young woman,I'm not gonna kill anybody.
young man,"I don't wanna kill anybody either. But they'll probably put us in a situation where it's us of them. And if it's not the gooks, it these old Jews who've owned the store for fifteen fuckin' generations. Ya got Grandpa Irving sittin' behind the counter with a fuckin' Magnum. Try walkin' into one of those stores with nothin' but a telephone, see how far it gets you. Fuck it, forget it, we're out of it."
young woman,"Well, what else is there, day jobs?"
young man, Not this life.
young woman,Well what then?
young man,Garcon! Coffee!
young man,This place.
waitress," ""Garcon"" means boy."
young woman,Here? It's a coffee shop.
young man,"What's wrong with that? People never rob restaurants, why not? Bars, liquor stores, gas stations, you get your head blown off stickin' up one of them. Restaurants, on the other hand, you catch with their pants down. They're not expecting to get robbed, or not as expecting."
young woman, I bet in places like this you could cut down on the hero factor.
