Speaker,Dialogue
voice over,My name is H. I. McDunnough...
voice over,...Call me Hi.
voice over,"...The first time I met Ed was in the county lock-up in Tempe, Arizona..."
voice over,...a day I'll never forget.
sheriff,"Don't forget the profile, Ed!"
woman,Turn to the right.
hi,What kind of name is Ed for a pretty thing like you?
ed,Short for Edwinna. Turn to the right!
hi,"You're a flower, you are. Just a little desert flower."
hi,Lemme know how those come out.
voice over,"I was in for writing hot checks which, when businessmen do it, is called an overdraft. I'm not complainin', mind you; just sayin' there ain't no pancake so thin it ain't got two sides. Now prison life is very structured - more than most people care for..."
voice over,"...But there's a spirit of camaraderie that exists between the men, like you find only in combat maybe..."
con,Grrrr...
voice over,...or on a pro ball club in the heat of a pennant drive.
voice over,In an effort to better ourselves we were forced to meet with a counselor who tried to help us figure out why we were the way we were...
counselor,"Why do you use the word ""trapped""?"
con,Huh?
counselor,"Why do you say you feel ""trapped"" in a man's body?"
con,Oh...
con,"...Well, sometimes I get the menstrual cramps real hard."
chairman,"Have you learned anything, Hi?"
hi,"Yessir, you bet."
woman,"You wouldn't lie to us, would you Hi?"
hi,"No ma'am, hope to say."
chairman,Okay then.
voice over,"I tried to stand up and fly straight, but it wasn't easy with that sumbitch Reagan in the White House..."
voice over,"...I dunno, they say he's a decent man, so..."
voice over,...maybe his advisers are confused.
ed,Turn to the right!
hi,"What's the matter, Ed?"
ed,My fai-ants left me.
voice over,She said her fiance had run off with a student cosmetologist who knew how to ply her feminine wiles.
hi,That sumbitch.
hi,"You tell him I think he's a damn fool, Ed. You tell him I said so - H.I. McDunnough. And if he wants to discuss it he knows where to find me..."
hi,...in the Maricopa County Maximum Security Correctional Facility for Men...
hi,...I'll be waiting!
voice over,"I can't say I was happy to be back inside, but the flood of familiar sights, sounds and faces almost made it feel like a homecoming."
con,Grrrr...
counselor,"Most men your age, Hi, are getting married and raising up a family. They wouldn't accept prison as a substitute."
counselor,...Would any of you men care to comment?
gale,But sometimes your career gotta come before family.
evelle,Work is what's kept us happy.
