Speaker,Dialogue
nick,"What's the first thing, man? What's the first thing you're gonna do?"
rudy,Haven't thought about it.
nick,Hell you haven't.
rudy,"Get to thinking about it, it won't happen."
nick,"We walk outta here, we hit that road, what's the first thing you're gonna do."
rudy,Ain't there yet.
nick,"Three days, man."
rudy,Not yet.
nick,"Fuckin' Christmas, man. Fuckin, Christmas on the outs."
rudy,Hot chocolate.
nick,What?
rudy,Get a hot mug of chocolate.  First thing I'm gonna do.
nick," And a slice of pecan pie, right?"
rudy,And some pecan pie.
nick,"She's gonna be out there, man. Right there. Right there waiting."
rudy,Yeah.
nick,Gonna walk out of this shitstorm and right into her arms.
rudy,Yeah.
nick,"Got us a motel out Highway 5, bringing her own damn sheets, you read that part? Silk damn sheets. Lock ourselves in the whole week, drinking wine, taking baths, man, see if they got those room service steaks... anything I want to do. Remember when she wrote that? Anything I want..."
rudy,Yeah. Fuckin' Christmas.
rudy,"All those pictures she's sent... y'know... you sure they're all of her, Nick? You hear sometimes they don't send their real pictures. Could be her cousin or something."
nick,Why you gotta say a thing like that.
rudy,I'm just saying.
nick,"Why you gotta. We were gonna give you a ride someplace, man. Now I just don't know."
rudy,I'm just talking.
nick,"Fuck your hot chocolate, Rudy."
nick,I'm gonna marry this girl.
rudy,"For twenty-five, she sounds pretty mature."
nick,"Yeah. You grow up in Detroit, you get matured real quick."
nick,"Sure as hell don't make me miss Millie Bobek. Guess I owe Millie, though. If I hadn't been rollin, her, I woulda never ended up here. And I woulda never met Ashley.  That's the world for ya."
rudy,"What if she sees you, man, sees what you look like... and it's not there. You just don't do it for her."
nick,Me and her got a connection.  Read this part. Read the part about stuffing her stocking.
rudy,She's using a new perfume.
nick,"No, I think that's just oranges. She writes here she's eating oranges."
rudy,Oh.
nick,"Shoulda written to that magazine, Rudy. I'm gonna walk outta here, walk right into a relationship. Not some one-nighter, man... a relationship. You? You're gonna walk outta here with bus fare. Searching for the drunkest skirt in the room."
rudy,"Mornin', gorgeous. More egg nog?"
nick,"Shoulda written, Rudy..."
nick,Shoulda got yourself a girl.
rudy,"All I want... is to make it to Sidnaw, and sit down for Christmas dinner. Watch some ball with my old man, sleep in my old bed, and have leftovers for bout six months."
nick,Thought you hated Sidnaw.
rudy,Just taste that Christmas turkey.
nick,Thought you hate your old man.
rudy,"Five years, Nicky. Five years.  I just want to go home."
