Speaker,Dialogue
blonde, Hello?
tyler,Yeah...  Of course. I'm on my way. I know...I know...I know...I know.
tyler," Hello, your majesty. How are you?"
diane,I'm fine... you look good...
tyler,Thanks for organizing everybody.
caroline,You smell like Listerine and beer.
charles, You couldn't wear a tie?
tyler,Could have.
diane,...This is nice... I think it's nice that we still do this...
caroline, Mom.
diane,"I forgot. I'm trying to purge ""nice"" from my vocabulary. Michael would like that we still do this."
diane, Did you tell Tyler what your art teacher said about your portrait?
caroline,"Tyler, did I tell you what my art teacher said about my portrait?"
tyler,"Why no, Caroline. What did your art teacher say about your portrait?"
diane, You two. I quit.
caroline,...She was very impressed. She said I captured a moment like a young James Whistler.
tyler,Young Whistler... good... 'cause Whistler really fell off late in his career. He's the Michael Jackson of European art history.
diane,She suggested your sister take Pratt's Summer Art Intensive and that's hugely prestigious.
caroline,"I would be the youngest one, ever, practically..."
charles,"Tyler, would you please pass the butter?"
diane,Caroline was speaking.
tyler, Are you really this clueless? Are you really dismissing her like this?
charles,"Caroline is perfectly capable of speaking up if she is feeling dismissed. Caroline, are you feeling dismissed?"
caroline,I'm okay.
charles, I didn't mean to change the subject.
tyler,What was the subject?
charles,Excuse me?
tyler,The subject we were discussing. What was it?
charles,Now's not the time for your heroics Tyler
tyler,No. It's the perfect time.
tyler, Do you need me to take you anywhere?
caroline,I'll stay with mom.
tyler,Then I'll see you after school.
caroline,Kay.
hostess,Eat something.
tyler,"Yes, ma'am."
aidan,I sold your girlfriend a toothbrush.
tyler,You sold my who? ...What?
aidan,"That voluptuous, delightfully oblivious little blonde you left in your bed this morning... I sold her a toothbrush. Got three bucks."
tyler,...Congratulations?
aidan,"Are in order, yes. Because that sale inspired our newest business venture: ""The S.L.U.T."""
tyler,I was unaware we had a previous business venture.
aidan,"The 'Single Lady's Universal Tote'. It's the one-night-stand travel pack for women. We throw in some make-up, toiletries, cell phone charger, cab numbers. Retail it at"
tyler,And you think women would buy this? With money?
aidan,"Hey one-night-stands happen... It's a part of life... like stubbing your toe. Sometimes you misjudge a corner and bend back your pinky toe, other times you wake up in a freshman dorm wearing a field hockey tee shirt wondering why your balls smell like cinnamon..."
tyler, Of course. Yes.
aidan,"Don't underestimate the novelty gift market. Think about it... instead of giving that token slutty friend a ten-inch purple dildo for her birthday, you hook her up with ""The SLUT."" Everyone has a laugh and the implication that she'll probably use it someday remains. What do you say? Are you down?"
tyler,I'm down with getting you on some sort of medication.
aidan,OK...fine...be cynical...just remember at some point in history two people had a conversation just like this about the light bulb. One of them went on to fame and fortune and the other one probably went to work at Mickey D's or something.
tyler,Or Denny's. Denny's was big in the 19th century.
professor,...in the wake of terrorist attacks these insurance company actuaries are provided a unique opportunity to raise premiums and profits to protect against events that will likely never occur again...
girl,Isn't that also an ethical question?
uptight mommy,Why don't we make this a non- smoking statue?
caroline," Yeah, Tyler . Why don't we make this a non-smoking statue?"
caroline,You promised you'd quit...
tyler,I know.
caroline,You're gonna get emphysema and then you're gonna have to drag an oxygen tank with you everywhere...
tyler,You think that would be the worst part about having emphysema?
caroline,"Everywhere you go, Tyler. Even the bathroom."
caroline,"Why do you think Dad doesn't wanna...like, listen to me?"
tyler,Dad loves you.
caroline,So? You can love someone and not want to spend any time with them.
tyler,You've got that right.
caroline,"Mom loves Aunt Sara. But at Christmas, last year, she wouldn't let Les leave them in a room together 'cause she said there would be a ""yule tide homicide."""
tyler,"That's because Aunt Sara drinks... You don't drink, right?"
caroline,Duh.
tyler,So why would anyone wanna avoid you?
caroline,Michael used to drink.
