Speaker,Dialogue
second draft," February 19, 1999"
another angle, He attacks the underside of the sailboat which is covered with green algae muck that hangs a foot off the bottom of the boat.  The spatula scrapes away the green mess revealing the pure white underside of the boat.
summerall,"That play, my friends, sums up the Redskins' running game all day long. Now Washington calls their last time out."
madden,"Hey, the Dolphins do this as good as anybody. See, in a four, three, two, two, you got the guards... boom!... Plugging up the middle, then the corners... boom and"
summerall,"Third and twenty-two, but forget the first down with eight seconds showing and the Skins down by a touchdown."
madden,Could be the last play.
summerall,Could be the last play of the season if the players go out.
summerall," Once again, if you haven't heard, it was announced during halftime that the N.F.L. Players Association will hold a press conference immediately following this game -- that would make it about five o'clock Eastern time -- and it is expected that"
on redskinettes," Twelve striking-looking women dressed in burgundy and gold are doing some inane chatter to a section of fans that ignore them.  The girls are led by pretty ANNABELLE FARRELL, a bundle of manic energy inside a body from heaven.  MADDEN  It's all about money, folks. More money, of course and ain't it always? The shame of it is the big losers are you out there, the fans."
summerall," Here we go: Third down, eight seconds to play, ball on the Dolphins' thirty-three yard line. Skins down by a touchdown."
martel,Green 48! Green 48! Hut! Hut!
summerall,Well... Martel goes down ten yards short of a score.
madden,On maybe the last play of the season.
summerall,I think he might have slipped.
madden,"Yeah, there's a lot of that going around."
bob,"We're    coming to your house    tonight, and we're    gonna fucking kill    you! And if you got a    dog, we're gonna kill    your fucking dog too!"
on annabelle," Behind her, the rest of the cheerleaders are already walking away. Annabelle looks at Quarterback Martel with pure disgust as he walks off the field.  CUT TO:"
augustine,Did they win or lose?!
augustine,That has the distinct tonal quality of a loss.
augustine,"Nice medicine for a loss. Keeps us calm. Makes us not so sad. Keeps us on an even keel. Gives us some perspective, doesn't it? And we'll save the winning medicine for next Sunday, won't we?"
augustine,Sounds exciting.
augustine,"We'll want to talk to coach now, won't we?"
tildon, I think he slipped.
tildon,"Mister O'Neil, let's face facts: The players are going out. It's gonna happen. And nobody wants to get hurt on the last play before a strike that could go on for the rest of the season."
augustine,"Better? It always makes you feel better when you fire someone, we know it does, don't we? Yes..."
wilson,"Hey, man, I do what my"
reporter,But you're already one of the highest paid players in the game. The fans just don't see the point of a player like you striking.
wilson,"Let me tell you something: I'm a big man, you see?"
wilson,"There are some days when I am so beat up, that I cannot dress my own big ass. I asked management for a valet or some shit to help me dress and they said no way. So, fuck 'em!"
on tv," A handsome ex-player named Jerome Lindell steps up to a podium at a press conference. He's wearing a two thousand dollar suit.  On the TV he is identified with a super:  ""JEROME LINDELL -- President -- National Football League Players' Association.""  LINDELL  Therefore, I am recommending that all N.F.L. players walk out and not play until our demands are met. I want the players to walk out tall, to walk out righteous, to walk out in the knowledge that we do this as a team. We shall overcome the fat cats. I send peace to my union brothers.  The entire locker room is silent for a beat. And then everyone starts getting dressed again, maybe a little slower than before."
wilson,"Shit, I'm goin' to Vegas."
pilachowski,... Six phone lines with internet access on two: One for defense and one for offense.
banes,We thought we would skip special teams for the moment.
pilachowski,Except for a kicker. We definitely need a kicker. A place kicker over a punter.
banes,"The thinking being that if we lose the toss, we have to be able to at least kick off."
pilachowski,Okay. Here's the list of every player cut this past season. What we would like to do is...
evans,You won't need a center.
evans,Bored and ready to retire. I'm just looking for one more hit. One more really good hit.
evans,"Hell, I'm rich. I got no complaint with Mister O'Neil. I just want a chance to play one last time. "
biker,Did you hear something?
bateman,What area code is 703?
kid,Nice hands.
clifford, What else?
kid,"A pack of Marlboro Reds, a pint of Martel Cognac and a box of Trojans, extra long."
clifford,Get out of here. I'm telling your mother you were talking like that.
manager,"Hey, Clifford, somebody on the phone wants you to play football next weekend."
clifford,Tell 'em I gotta work Saturday. And I'm watching the Redskins on Sunday. Ain't nothing stopping me from watching the Redskins on Sunday.  No way that's gonna be
manager, They said they'll pay you.
clifford,Pay me?    How much?
manager, Ten thousand five hundred dollars!
clifford," Ray, who the fuck is on the phone?!"
manager, It's the Washington Redskins!
jamal," Don't look at him! He don't like being looked at, god damn it! No eye contact!"
shane,And you look like that coach from the Seventies. From the Redskins. McGinty. Except you look a shitload older.
shane,"You know what my nickname was in San Diego, don't you?"
shane,"As in, I hear 'em and I dump the ball."
shane,I got two concussions to prove it.
shane, No kidding?
shane,Forty-five. And now you want to recruit me?
shane,Okay.   What's my
shane,I'm retired from football.
shane,I like being here. It's quiet. I like being alone.
mother,"Louis, you got a phone call!"
lou, Who is it?
mother,It's the Washington Foreskins.
lou,"What?! Ma, what are you, out a your tree?"
mother, I'm telling you they said it's the
on lou, He sees what happens and quickly ducks into his apartment house.
roland,"Cut right on me, now. Right on me."
roland,"Not right on me, goddamn it!"
roland," Thank you, Lord!"
evans,Nice. Try a roll to the right.
augustine,Here we go. Nice fat little hits.
on shane, He drills a perfect spiral through the circle.  CUT TO:
reporter,"As president of the Players' Association, what does your presence mean here, Mister Lindell?"
lindell,"Very simply, support for these fine players and union men. Washington D.C. is the home of freedom and the collective bargaining agreement. I am here to remind all Americans that the owners are no better than the robber barons of the Nineteenth Century. They have blatantly gone out and hired scabs, which is against all principles of our Constitution and the Declaration of Independence and probably even the Emancipation Proclamation."
lindell,And here come the Scabskins now!
