Speaker,Dialogue
fitzgerald,Likely got a splinter. Can't figure what to do without Mama here to pull it out for him.
boone,"Need a doc, Captain?"
henry,Gather more wood.
fitzgerald, Shame my Pap was a broken down drunk. Else he could've bought me a Captain's job too.
henry,"Glass and the others will be back with some game, Fitzgerald. Just make sure you have the fires ready."
fitzgerald,"My supper's in the hands of a hermit nigger, a kid and a dummy. Hell, my belly feels full already."
bridger,But bigger than we figured. Gonna be a load to haul back to camp.
pig,Have to split it up I reckon.
glass,"Yep. Bridger'll take the tail, and Pig you haul the rest."
bridger,Another one close by?
pig,Hugh?
boone,No rule says I'm the only one that's gotta gather this shit.
trapper,`REE!
glass,GET TO THE BOAT!
trapper,WAIT!
bridger,Thank you.
fitzgerald,"What's the plan, Captain?"
anderson,We're just floatin' farther from Fort Union.
glass,The Missouri's no good. Not if the `Ree's running it.
fitzgerald,So we just float the hell down to Mexico or wherever else this river takes us?
glass,"We get ourselves safe outta range, then track another course up."
fitzgerald,Add weeks to the trip.
bridger,Better that than endin' up scalped on the side of the river.
fitzgerald," Shut up, kid, you don't get no say in this."
henry,"I understand our situation, Mr. Fitzgerald. We do like Glass said... put some distance between us and the Arikara, then chart a course to Fort Union."
pig,Reckon it's better `an lettin' the `Ree find him... take his ears... slice what's left all to shit.
henry,"So we hike west to the Grand, then follow it up to Fort Union."
fitzgerald,On foot? You got any idea how long that's gonna take? It'll be winter before we get there.
anderson,Unless we come across a post... trade for some horses.
glass,No posts that far out.
fitzgerald,"So if we do this, we do every step with our own feet."
henry,"We make camp here for the night, then load supplies and head out for the Grand at first light.  And gather extra blankets `cause there won't be any fires."
bridger,Thank you... for what you done back there.
glass,You'd have done the same for me.
fitzgerald,"You treat that Anstadt sweeter than any woman, Glass."
stubby bill,Never seen a woman that could stop a `Ree from three hundred feet.
anderson,I knew a particular big-breasted redhead in Boston that might come close.
fitzgerald,Bring it over here for me to have a look.
bridger, You seen it before.
fitzgerald,"What'd you say, kid?"
bridger, I said you shoulda already got a look when he saved you with it earlier.
fitzgerald,You're lucky you ain't a man yet.  Else that mighta nicked somethin'.
glass,Middle of workin' on it.
fitzgerald,"Well you can stop workin' on it, and let me have a look like I said."
glass,"Best I can tell, my place is right where I want it... on the smart end of my rifle."
fitzgerald,"I'd be careful if I was you, boy."
henry,"That's enough, Fitzgerald. Go sober up and get to sleep.  If you're passed out when we break camp tomorrow, I leave you here."
fitzgerald,That's the trouble with this part of the world. No mirrors. Niggers forget what color they are.
henry,Can't sleep either?
glass,Never like closin' my eyes when I'm not sure who'll be standin' over me when I open `em.
henry,I keep thinking about Boone and the others... how maybe I should've had us make camp further up river.
glass,"The tracks I saw... those `Ree had been tailin' us for a while. They'd have gone as far north as it took.  You're a good man, Captain. Soon as you realize that, these others will too."
henry,Your years trappin' and guidin' out here... have you had much experience with the Arikara?
glass,Enough to try and stay outta their way.
henry, But you know this country well enough to get us past them... up to Fort Union?
glass,I been here a long while. Whether that gets us to Union or not...
henry,What Fitzgerald said earlier... he doesn't speak for the rest.
glass,He wasn't wrong. Truth is that's what I prefer about this country... it's got no eye for the color of a man's skin.
henry," Try to get some sleep, Hugh."
stubby bill,Shouldn't we have hit the Grand by now?
henry,We'll reach it soon enough. Glass said to keep this course.
fitzgerald,Glass said. Too bad I don't see him.
pig,"That's on account he's up ahead makin' sure it's clear, and you get to keep your ears."
fitzgerald,Or he's run off and left us.
bridger,He wouldn't do that.
fitzgerald,"My bet, that nigger's used to runnin'."
henry,UP AHEAD!
bridger,Christ Almighty.
henry,Glass!
pig,HUGH!
bridger,He's down here!
murphy,"Oh, Jesus."
stubby bill,He's tore to pieces.
anderson,Least he took that Grizz down with him.
fitzgerald,"Wished he'da done it without firing his rifle. If there wasn't no `Ree around before, there will be now."
henry,THAT'S ENOUGH!
bridger,"Holy Christ, he's alive."
henry,Get me some water.
bridger,"Oh, Jesus... Jesus."
henry,"It's okay, Hugh.  You're going to be fine."
pig,"What about me, Cap?"
henry,Get down here and help me tie off these wounds best we can.
pig,It won't stop bleedin'.
henry,"Shut up, Pig.  We're fixing you up, Hugh."
bridger,"It's gonna be fine, Mr. Glass."
henry,Roll him over... easy.
bridger,What about the rest of him?
henry,He's losing more blood back here.  And I don't know what to do with that yet.
anderson,They're torturin' the poor bastard.
fitzgerald,And riskin' gettin' us killed in the process. Proper thing would be to end it for him quick.
anderson,`Less he could pull through.
fitzgerald,"You seen what that grizz did to him. Shit, Glass'll be dead inside a hour. We all will be if he keeps screamin' like that."
bridger,What now?
henry,We wait. Does he have any kin you know of?
pig,He keeps to hisself. Never mentioned none.
henry,Go get the others. Tell `em we're making camp here for the night.
bridger,It ain't for me.
pig,"I can feel some air outta his mouth. Maybe Captain sealed up his throat proper, huh?  Whatta you figure his odds are, Jim?"
bridger,Long.
murphy,What that bear did to him... I didn't expect he'd last this long.
anderson,I seen a fella go a week once after a lion jumped him. Fever finally finished him off.
stubby bill,"Whatta we do, Cap?"
henry,We give him his chance.
fitzgerald,"You ain't doin' him or us no favors, Captain, lettin' him suffer that way."
anderson,Fever's hit. Won't be long now.
fitzgerald,I seen a bad one drag on days.
fitzgerald," We keep sittin' here watchin' him die, only gives the `Ree more chance to find us."
bridger,"He's burnin', Cap. Water turns to boil as soon as it touches him."
henry,"Pig, take Anderson and scout ahead. Grand should be just west of here. Find us the best route."
fitzgerald,"Tryin' to buy Glass time don't make sense for the rest of us, Captain."
henry, Get movin'.
fitzgerald,Least it's a step in the right direction.
fitzgerald,Any coyote digs that deep deserves the meal.
pig,"Found it, Cap. Right where Glass had us headed."
anderson,No more than a mile or so out.
henry,We could build a litter. Haul him with us.
anderson,It's rocky and steep goin'.
pig,"Marshy and thick on the other side. We could try it, but..."
fitzgerald,"I signed on as a trapper, not a goddamn mule."
bridger, Shape he's in... I don't see no way he'd make bein' drug.
henry,"Lay that rag over his eyes, Mr. Bridger."
bridger,"But, Captain."
henry,Do it.
bridger,I'll stay with him... money or not.
pig,Same here.
henry,"I can't let you stay back, Pig. Without Glass, I'll need you to scout."
fitzgerald,"Two won't stand much chance against a party of `Ree, Captain, and seventy dollars won't buy me a new setta ears."
henry,A hundred then.
bridger,They can have my share too. I owe Glass that at least.
fitzgerald,That case I'll hang back with the kid. I don't mind fallin' a day or so behind for two hundred.
henry,But Glass is to be cared for until. Understood?
fitzgerald, I'll let the young doctor do his job.
henry,The rest gather your gear.
pig,"I'll see ya at Fort Union, Hugh."
henry, As long as necessary.
bridger,I'll look after him.
fitzgerald,I'll take first watch.
bridger,Not with his rifle.
fitzgerald,"Trust me, kid, he ain't gonna be needin' it tonight."
fitzgerald,You were right to protect this.
fitzgerald," When are you gonna die, boy?"
