Speaker,Dialogue
stacy,"We should play War. It's more fun. Jeff takes a card from his hand, lays it down on the table."
jeff,That's not even a game.
stacy,"Sure it is. I'll teach you. She starts-to fold her hand,'but Jeff shakes his head."
jeff,I know how to play. I mean it's just chance--there's no skill involved.
stacy,But I keep losing.
jeff,'Cause you're not concentrating.
stacy,I wouldn't have to concentrate if we played War.
jeff,Exactly. So where's the fun?
stacy,I'd win sometimes. It's not fun if we both can't win.
jeff,But it's not winning if it's just chance.
stacy,"Of course it is. If we flipped a coin, and I called heads, and it--"
eric,Fuck..;this.. shit.
stacy,"Maybe you should just be honest, sweetie."
amy,Why would they hire you if you haven't read the books?
eric,I said I had.
jeff,So maybe you should..
eric, The Canterbury Tales? You ever look at that shit?
jeff,I've read it.
eric,"Fuck off. It's not even English. Jeff watches Stacy take another card; she examines it, sets it on the discard pile. Then, RECITING:"
jeff,"This world nys but a thurghfare ful of wo, and we been pilgrymes, passing to and fro. Deeth is an ende of every worldly soore."
amy,I'm fine. I've got a base.
jeff,"You're burning. I can see it. She finally opens her eyes, lifts her head, peers at her shoulders. She presses at the pink skin."
any,"I'm just flushed. It's too hot. Stacy leans forward, picks a second card off the deck. Jeff is focused on Amy; he doesn't notice."
jeff,You're hot because you're burning.
amy,"It's only been-- Stacy interrupts, speaking in a slightly SINGSONG fashion:"
stacy,"So there was this king, who lived in a castle. Amy turns, gives her a pained look."
amy,Please don't.
eric,But what he really wanted was a beach house.
amy,"Stop it. Both of you. Right now. They ignore her, ping-ponging quickly back and forth:"
stacy,So he decided to move.
eric,But the Queen didn't want to.
stacy,So he left by himself.
eric,"But he got lonely. Amy covers her ears with her hands, blocking out their voices, but then inmiediately reaches to feel for her earrings: one of them is missing."
amy,Shit.
stacy,So he bought a dog.
eric,But it had fleas.
amy,I lost my earring.
stacy,So he gave it a bath.
eric,"But the dog caught. cold. Amy sits up, glancing about. Stacy and Eric keep going:"
stacy,So he gave it some medicine.
eric,But it was the wrong kind.
stacy,"So the dog died. Amy rises, steps toward the pool. Jeff lays down his cards, joins her beside the water. They both peer into it."
amy,"Thank you so much. .Mathias nods. He starts to turn, as if to swim off, but Jeff stops him:"
jeff,"Wait. . .want a beer? He waves toward their chairs, the cooler beside them."
