Speaker,Dialogue
hu li, Someone better call the police.
carter, Deng wa lu yun cai-shen wu.
lee, ...wish they all could be California... wish they all could be California girls...
carter,I warned you about playing that shit when I'm in the car.
lee,That was my CD.  Don't you ever touch a Chinese man's CD.
carter,Did you see the way those girls drove off?  I did you a favor.
lee,Those girls drove off because of you.
carter,All I did was invite them for a drink.
lee,You invited them to get naked and sacrifice a small goat.
carter," I said that?  Which word was ""goat?"""
lee,"You owe me a copy of the Beach Boys Greatest Hits, Volume Two."
carter,"Don't be giving me attitude, Lee.  I've been here three days and we haven't done shit.  We haven't been to a club, haven't even talked to a girl.  I'm on vacation, and I want some mu-shu."
lee,Mu-shu?  You're hungry?
carter,Not Mu-shu.  Mu-shu.  I want to see some women.  Now stop playing dumb and show me the shu!
superindendent chin,"Lee, there was a bombing at the American Embassy.  Two American translators were killed."
lee,Any leads?
superindendent chin," We think it's Ricky Tan.  If you don't want to take the case, I'll understand."
lee,It's my responsibility.
carter,What was that?  Did you just pick up a case?  Did we just take another damn case on my vacation?
lee,Of course not.  My Superindendent invited us to a club tonight.  Big party.
carter,"Don't be messing with me, Lee.  I will kick your ass.  I'll hit you so hard you'll end up in the Ming Dynasty."
lee,"Carter, would I lie to you?"
carter,That's what I'm talking about.  A real Hong Kong night club.  You want an Altoid?
lee,No.
carter,You better take one.  Your breath has been a little funky all day.  Let me look at you.
lee,No.
carter,Take this.  It's a Magnum.  You can fold it in half.
lee,"I'll meet you at the bar in ten minutes. They don't like tourists in here, so try to blend in."
carter,Blend in?  I'm two feet taller than everyone here.  Where you going?
lee,Bathroom.
carter,How you boys doing tonight?
lee," Carter, get off that stage!"
carter,"Are you kidding, they love me.  I'm a star, Lee.  A god to these people!"
lee,"This is a gangster bar, we're here undercover."
carter,I knew you were lying.
lee,I'm sorry.
carter,"Damn it, why are you ruining my night? I'm just starting to have fun.  Well fine then, go ahead, pull your badge and do your thing."
lee,"No, we're here for information, to find out where a man named Ricky Tan is.  We must tread softly and keep our ears open."
carter,Tread softly?  Who taught you how to roost a bar?
lee,"Carter, you don't understand.  These men are Fu-Cang-Long Triads.  Part of the most deadly gang in China."
carter,"Man, are you crazy?  You think that scares me?  I'm from  L.A.  We invented gangs.  We were having gang wars before anybody even thought about it.  We get royalties from other gangs.  Now gimme your badge and gun and I'll show you how it's done."
lee,"No.  You are a civilian.  In China, I am Michael Jackson, and you are Toto."
carter,You mean Tito.  We had  Toto for dinner last night.
lee,You just said you're their worst nightmare - and to line their mothers up for a milking.
carter,"Shit.  C'mon, get up here and help me out."
carter,Stop!  LAPD!
carter,"Hang on, Lee.  I'm coming."
carter, Freeze!  Nobody move!
lee,Try to land on your feet.
carter,I can't believe I flew ten-thousand miles for this shit.
carter,You lied to me.
lee,I'm sorry.
carter,"You're sorry.  I got somebody's old chopsticks stuck in my ass, so don't tell me you're sorry.  Just take me home."
lee,No time.  There was an explosion at the American Embassy today -- two American translators were killed.
carter,"So that Ricky Tan, he's the one who blew up the Embassy?"
carter,"I'm telling you right now, I'm tired of this shit.  There's two billion Chinese - let one of them be your partner."
lee,This won't take long.
master fu,Dragon kick!
lee," Yes, Master."
carter,"I was watching you kids.  My name is Carter, LAPD, and I'm a third degree black belt.  At least that's what I tell the girls at the Holiday Health Spa where I work out."
lee,"I need your help, Master.  I'm seeking a man who used to train with you.  He's become a killer - the worst kind of animal."
master fu,Animals kill only from hunger or fear. The man you seek is lower than a serpent.  ...he kills for money.
lee,Ricky Tan?
master fu,No.  Your father.  Your father and Ricky Tan were my favorite students... and for such awful things to happen as they did --
lee,How do I find Ricky Tan?
master fu,A seeding spends its entire life reaching towards Heaven.
lee,"I know, Master, but..."
master fu,The answers you seek can be found in Heaven on Earth.
lee,"Heaven on Earth?  Master, I don't understand.  A temple, where Heaven is on Earth?  A mountain, where Earth reaches for the --"
master fu,"It's a massage parlor downtown.  ""Heaven on Earth.""  You will find your answers there."
