Speaker,Dialogue
woman,This seat taken?
woman,I love ballet. Never had the body for it. Do you dance?
sara,Used to.
glynn,What's the matter?   It was good.
sara, My knees still knock when I do my free form. Did you notice that?
glynn,I noticed that it was fine.
glynn,Sara.   You'll get in.
sara,Don't lie because you love me.     My free form sucks.
glynn," I've got something for you. Come on. Sit. Mouth closed, eyes shut. No pouting. No peeking."
glynn,For luck tomorrow. Not that you'll need it. You dance like an angel.
sara,I love the necklace but you're still the best luck I'll ever have.
woman,Nice... the necklace.
sara,Oh. It's a good luck charm. Doesn't always work.
woman,Mine either.
lindsay,Wanna pray? You're leaving for Philly after first period. I won't see you. We should pray.
sara, Lindsay... no. Not here.
lindsay,"'Awesome, Father, S.J. auditions today. She's ready for them. Please make them ready for her. Even if she screws up. Thanks. Amen.'  God's gotten me outta all kinds of shit. He oughta be able to get you into Juilliard."
glynn,"Where'd you get those, traitor?"
sara,Ellison -- Mr. Ellison. He actually told me to break a leg.
glynn,"Roses from the principal, even droopy, out-of-season yellow ones, is beyond cool, kiddo. You're definitely movin' up in the world."
sara,Know what would be great? If you didn't drop me off at the bus station. If we just kept going until we get to Philly.
glynn,"Ruin everyone's Valentine's Day and not have a shop when I get back. That's your definition of great? I can see the headline now: 'Starving Artist Kills Unfit Mother.'  Sweetheart, we talked about this. I'll get there as soon as I can."
sara,"Right. This is the hardest, most important day of my life and all you can do is get there as soon as you can. Thanks, Mom."
sara,So I guess I'll see you later.
glynn,"I won't miss your audition, Sara. I'll be there, okay? If I have to swim the Susquehanna, I'll be there."
sara,"Swim?   You can't swim, Mom."
glynn,I'll float then.
glynn,Hey... Happy Valentine's Day.
judge,Is there anything you'd like to share about your free form before you begin? A motif... a theme?
sara,"Well, it's um, pretty self- explanatory. The theme."
sara,Thank you.
roy,Hi.
sara,Hi.
roy,Have a good ride?
sara,Slept through most of it.
roy,Guess you got stuff.    Baggage.
sara,Two suitcases.     One big one.
roy,Looks like they're unloading. -- You hungry? We can stop somewhere if you want.
sara,I'm kinda tired.
roy,"I didn't like leavin' you so soon after the funeral. I wouldn't have if you hadn't asked me to go. I mean, I could've hung around. Helped you say good-bye. That's what you were doin', wasn't it?"
sara,Uh-huh.
roy,That's what I figured you were doin'.
roy,"Look. Sara. I feel bad too. I mean, we both got hit by the same bolt of lightning. You don't have to pretend this is easy.  Everything's upside down right now but don't worry. We'll work this bachelor-father thing out. Hell, it ain't like we're movin' in with strangers. We got a pretty good idea about each other, right?"
sara,Thought you were moving to Fells Point.
roy,Fell through.
roy,"Not much of what you're used to. But the water's hot and the fridge is full. And I made room in the closets for you. Girl's gotta have closets, right? You even get your own bed. I'll crash on the couch."
sara,You bought a bed?
roy, Pardon me. Your own futon.     Check it out. On the other side.
sara,Do you have a phone?
roy,Of course I have a phone.
sara,You didn't at the last place.    The last place I saw anyway.
roy,Things change. You've changed. You grew up on me. Overnight.
sara,"Over the summer. You blew me off for some gig on the road, remember?  Can I call Lindsay? Let her know I got here alright."
roy,"Are you alright, Sara?  I just wanna know how you feel."
sara,I feel fine.     I feel like calling Lindsay.
roy,Phone's in the kitchen.   Knock yourself out.
sara,I can take the school bus. Tomorrow.
roy,"School bus? That's the other Oz, Dorothy. Patterson kids ride the city Metro. Or walk."
sara,"Well, I know how to do both."
roy,Not around here you don't. Not until you get the hang of things.
roy,"I called about your transcripts. You're all set. Patterson's got a pretty good Humanities program. No ballet, but we can find a studio someplace close for after school --"
sara,"-- I don't think I'll have time. I have to study, I'll be busy."
roy,Good idea. Take a break. Not too long a break though. You're a dancer. You should dance. Stay on top of your art.
sara,Like you stay on top of yours?
roy,"Maybe I ain't playin' no grand ballrooms or fancy jazz festivals, but I'm playing."
sara, I didn't mean it like that.
roy,"S'alright. Hell, I wish I had half the time I wasted gettin' wasted. But those days are over. You'll see. I got my life on track."
sara,"You don't have to go in with me. Since I'm all set. I mean, I have done this before. Gone to school. I'll be fine. I am fine. Really."
roy,-- Pick you up. Three-thirty.
sara, Yeah.   Sure. Whatever.
administrator,... It's no fun being uprooted in the middle of your senior year. We realize that and we'll do what we can to help with the transition.
sara,About school?     No.   Not really.
sara,"I'm not gonna be here that long. Besides, it's just a city, right?"
