Speaker,Dialogue
offshore,SUPERIMPOSITION:
the cliffs,"At the far end of the beach, a ninety- foot cliff.  Topped by bunkers. Ringed by fortified machine gun nests. A clear line-of-fire down the entire beach."
a figure,Pushes through the men.  Puts himself in front of DeLancey.
miller,Looks over the gunwale at THE HELL IN FRONT OF THEM.
miller,Somehow survives.  Jumps into the breakers.
miller,"MOVE, GODDAMN IT!  GO!  GO!  GO!"
explosions everywhere,THE GERMANS On the edge of the cliff. Rain down MACHINE GUN FIRE and GRENADES.
the americans,Struggle through the surf.  FIRING up as best they can.  Making for the base of the cliffs.
miller,Ignores the EXPLOSIONS and BULLETS. Uses hand signals and curt orders.
miller,"THERE!  THERE!  HOOKS THERE!  FIRE SQUAD, THOSE ROCKS!"
the men,Obey instantly.  Set the grappling hooks.  Take position.  Return fire.
the men,Know what they have to do.  Start up the ropes.  Into the teeth of the German defenders.
miller,Back-straps his Thompson sub-machine gun.  Starts climbing with the first group.
miller,Joins half-a-dozen pinned down men. Others bottleneck behind them.  Miller scans the route and the defenders.
miller,That's the route.
miller,Go!
miller,It's the only way.
miller,Turns to the next half-dozen men.
miller,YOU'RE NEXT!
miller,"JACKSON, PICK OFF A FEW OF THEM, WILL YOU?"
jackson," You betcha, Captain."
miller,GO!
miller,"Turns, looking for the next six. His eyes fall on Sarge and REIBEN who is a cynical, sharp, New Yorker. Reiben smiles."
reiben," Captain, can I put in for a transfer?"
miller,"Sure, meet me at the top, we'll start the paperwork."
miller,GO!
sarge,"Rolls his eyes, takes a breath. Scrambles into the gap.  The other five right behind."
reiben,I'll be Goddamned!  I'm not dead!
sarge,"CAPTAIN, IF YOUR MOTHER SAW YOU DO THAT, SHE'D BE VERY UPSET!"
miller,I THOUGHT YOU WERE MY MOTHER.
miller,Crosses the gap.  His men follow.
miller,"Okay, Wade, your turn."
sarge,What the hell were you doing?  Drawing fire!
miller,"Worked, didn't it?"
sarge,You tryin' to get yourself killed?
miller,"Don't need to, the Krauts go that covered."
a clerk,"Older than the others, sad-eyed, adds a sheet of paper to a large pile in his out-box."
close shot,"An outgoing telegram.  It reads: ""We regret to inform you...killed in action...heroic service...""  This is the paperwork of death."
the clerk,Pulls out a file.  Reads.  Finds something troubling.  Quickly shuffles through some other papers.  Finds what he's looking for.  Rises from his desk and hurries out of the office.
margaret ryan,Steps out.  Around sixty.  Her face shows the lines of a life of hard work and mother hood.  A good woman.
general marshall, Goddamn it.
general marshall,"Any contact with the fourth brother, James?"
general marshall,"Well, if he's alive, we're going to send someone to get him the hell out of there.  That's just what the General's staff wanted to hear."
miller,"Trailed by a RADIOMAN, dashes through the fire and dives into a sludge- filled crater.  He surfaces, sees Sarge and Reiben, and reels from a horrific smell.  Their conversation is repeatedly broken by FIRING And DUCKING GERMAN FIRE."
miller,Jesus Christ!  What the hell are we swimming in?
reiben,"Shit, sir."
sarge,"Fertilizer, Captain, I think we're in a cranberry bog."
reiben,"Out of the frying pan, into the fucking latrine."
miller,"Look at the bright side, the Krauts sure as hell don't want to advance and hold this cesspool."
miller,"Get Fire Control, we need some artillery..."
reiben,"Sir, what if they send some other company into Caen ahead of us while we're pinned down here?"
miller,"Don't worry, we're the only Rangers this side of the continent, we've got to be first into Caen."
sarge,Who cares?
reiben,"I care.  Don't you know what Caen's famous for, Sarge?"
sarge,Frogs?
reiben,Lingerie.
sarge,Yeah?  So?
reiben,"So, you ever heard of employee discounts?  My uncle sells shoes, gets twenty-five percent off everything in the line, got a closet filled with the best looking shoes you ever seen."
reiben,"Just picture some French number been spending all day, every day, making cream-colored, shear-body negligees with gentle-lift silk cups and gathered empire waists, what the hell you think she wears at night?"
miller,"Reiben, how the hell do you know so much about lingerie?"
reiben,"Lingerie is my life, sir.  My mother's got a shop in Brooklyn, I grew up in it, from the time I could crawl, we carry Caen lingerie, it's the best there is, it's all I been thinking about since the invasion."
miller,"There's a war on, good chance they're not still making lingerie in Caen."
reiben,"Oh, Captain, they'll always make lingerie, it's one of the three basic needs of man -- food, shelter, silk teddies.  Miller Dream on, private."
reiben,"Happy to, sir."
miller,Maybe the war's over.
reiben,"I don't think so, Captain."
miller," Keep 'em down, wait for the navy."
sarge,"Yes, sir."
miller,Runs over the broken ground and makes it to the sandbagged H.Q.  He stumbles down the make-shift stairs.
miller,"Miller, Company B, Second Rangers."
colonel anderson," ...I understand your problem, but if we don't get those tanks off-loaded by 0600, we're going to have an entire division up at Caen with its ass hanging out of its pants..."
miller,My what?
miller,Find a chaplain.
colonel anderson," ...alright, let me know when."
colonel anderson,"Have the Second and Third Regiments hold at St. Michel until we get those tanks.  Aide Yes, sir."
colonel anderson,Report.
miller,"Sector four is secured, we put out the last three German one-fifty-fives, found them about two miles in from Ponte du Hoc."
colonel anderson,Resistance?
miller,"A company, Wehrmacht, no artillery, we took twenty-three prisoners, turned them over to intelligence."
colonel anderson,Casualties?
miller,"Fourty-four, twenty one dead."
miller,"They didn't want to give up those one-fifty-fives, sir."
colonel anderson,"It was a hard assignment, that's why you got it."
miller,"Yes, sir."
colonel anderson,Where are your men now?
miller,"Pinned down, a mile east of here, waiting for some help from the navy guns."
colonel anderson,"I'm sending Simpson to take over for you, the division is going to Caen, you're not coming with us, I have something else for you."
miller,Sir?
colonel anderson,"There's a Private James Ryan who parachuted in with the Hundred-and- First near Ramelle.  I want you to take a squad up there.  If he's alive, bring him back to the beach for debarkation.  Take whoever you need, you've got your pick of the company."
miller,"A private, sir?"
colonel anderson,"He's the last of four brothers, the other three were killed in action. This is straight from the Chief of Staff."
miller,"But, sir...I...I..."
colonel anderson,"Spit it out, Captain."
miller,"Respectfully, sir, sending men all the way up to Ramelle to save one private doesn't make a fucking, goddamned bit of sense.  Sir."
colonel anderson,"You think just because you hold the Congressional Medal of Honor, you can say any damn thing you please to your superior officers?"
miller,"Yes, sir, more or less."
colonel anderson,"Alright, I'll give you that. Continue."
miller,"The numbers don't make sense, sir. His brothers are dead, that's too bad, but they're out of the equation. Sending men up there is bleeding heart crapola from three thousand miles away.  One private is simply not worth a squad.  Colonel anderson This one is.  He's worth a lot more than that.  Which is why I'm sending you, you're the best field officer there is."
miller,"Yes and no, sir, what about Morgan? Fine officer, regular church goer, writes poetry, he might like a mission like this.  And he's taller than me."
colonel anderson,"That's enough, Captain, you have your orders.  Major Thomas will fill you in."
miller,"Yes, sir."
colonel anderson,"Good luck, John."
miller,"Thank you, sir."
miller,Crouch-runs and dives into a crater with Sarge.
miller,"Put on your traveling shoes, Sarge, we're heading out."
sarge,Caen?
miller,I wish.  You and I are taking a squad up to Ramelle on a public relations mission.
sarge,You?  Leading a squad?
miller,"Some private up there lost three brothers, got a ticket home."
sarge,What about the company?
miller,Simpson.
sarge,Simpson?  Jesus Christ on a fucking pogo stick!
miller,"I want Reiben on B.A.R; Jackson with his sniper rifle; Beasley, demolition."
sarge,Beasley's dead.
miller,"Okay, Wade.  Translators?"
sarge,Fresh out.
miller,What about Talbot?
sarge,"Twenty minutes ago.  Miller Damn, I'll go see if I can find another one.  You get Reiben, Jackson and Wade, meet me at transport."
sarge,"Yes, sir."
supply sergeant,GET THOSE GODDAMNED HALF-TRACKS OUT OF THERE!
sergeant,THEN UNBLOCK 'EM!
miller,"Strides through the chaos, avoiding the passing vehicles.  He sees his men and walks toward them.  Reiben hurries up to Miller, pleading."
reiben,"Please, sir, you can't take me to Ramelle, I gotta go to Caen, sir, please, I told you, they make Caen lingerie there, it's beautiful, it's the best there is, it's...oh, please, sir..."
miller,"Sorry, I need a B.A.R. man, you're the best."
reiben," No, I'm not, Kaback is, honest.  Or what about Faulkner?  Or that little guy with the glasses?"
miller,"Trust me, you're the best."
reiben," But, sir..."
sarge,"You get a translator, Captain?"
miller,I've got a line on one.
miller,"Sergeant, I need a truck."
supply sergeant,"Sorry, sir, fresh out of trucks, how 'bout a '38 Ford Roadster, hard-top, red with black interior."
miller,White-walls?
supply sergeant,"No white-walls, sir, there's a war on.  I can't help you, sir."
miller,"A half-track, anything."
supply sergeant,"Sorry, sir.  Division is using everything on wheels to get up to Caen.  How come you guys aren't going?"
miller,How about that jeep?
supply sergeant,"That's General Gavin's.  His lap dog told me if anyone breathes on it, I'll get busted and if anyone so much as touches it with their little finger, I'll get court marshaled. If you were to take it, they'd shoot me."
jackson,"Cap'n, does that mean we got to walk all the way up to Ramelle?"
supply sergeant,What's at Ramelle beside a lot of Germans.
miller,"A paratrooper named Ryan.  He's going home, if he's alive."
supply sergeant,Senator's son?
miller,"No, three brothers of his were killed in action.  Command wants him out of there."
supply sergeant,Damn...I got a couple brothers...
general gavin,"SERGEANT, WHERE THE HELL IS MY GODDAMNED JEEP!?"
miller,We've got to make one stop.
miller,Wait here.
miller,I understand you speak French and German.
miller,Do you have an accent?
miller,"Good, you've been re-assigned to me, we're going to Ramelle."
miller,That's my understanding.
miller,"Do you have a problem with that, Corporal?"
miller,"I need a translator, all mine have been killed."
miller,It'll come back to you.  Get your gear.
miller,A small one.
miller,"Go, go..."
reiben,"Captain, can I ask you a question?"
miller,"Sure, Reiben."
reiben,"Where are you planning on putting Private Ryan, sir?"
reiben," It's just that it's kind of crowded back here, I was wondering if you're expecting to have more room on the way back?"
miller,Left.
miller,"Now we've got a straight shot, due north, to Ramelle, twenty-six miles, two villages between here and there, St. Mere, then Bernay.  We'll take the jeep as far as we can, then go on on foot."
sarge,We in radio contact with anybody up there?
miller,"Somebody put the wrong crystals in every one of the Hundred-and-First's radios the night before the drop, not one of them works.  We're going in blind."
