Speaker,Dialogue
adam,"Help! Someone help me!  Shit, Im probably dead."
lawrence,"Youre not dead.  Adam quickly turns in the direction of the voice. Holding his arms out for balance, he tries to look across the room to whoever is speaking, but still cannot see a thing."
adam,Whos that? Whos that?!
lawrence," Theres no point in yelling, I already tried it."
adam,Turn on the lights!
lawrence,Would if I could.
adam,What the fuck is going on? Where am I? 
lawrence,I dont know yet.
adam, What is that smell?
lawrence,"Shh! Hang on a second, I think I found something."
adam,Holy shit!
adam, HELP!!! Help!
lawrence,"No one can hear you.  Adam stops pulling at the chain, stands up and looks to Lawrence, his breathing fast and heavy. His voice is not yelling anymore but still just as hysterical."
adam,What the fuck is this?
lawrence,"Calm down, just calm down.  Are you hurt?"
adam,I dont know...yeah!
lawrence, Whats your name?
adam, Whats your name? Whats going on here?
adam, Ah!  Lawrence looks at Adam with a look that seems to say Im stuck in here with THIS guy? He then glances down at the body.
lawrence,"Recognize him?  Adam continues to pull at his chains, does not and will not look at the body, just shakes his head."
adam, No.
lawrence," Well, do you have any idea how you got here?"
adam,No.
lawrence,Whats the last thing you remember?
adam,"Nothing.  So what about you, huh?"
lawrence," I was on my way home from work and uh, I dont remember anything else."
adam,First dead body Ive ever seen. Look different in real life. They dont move.
lawrence,"From the looks of these chains, someone didnt want us to go very far either."
adam,Can you see any scars?
lawrence, What?
adam,"Huh? This is what they do man, "
lawrence, No one has taken your kidneys.
adam, How can you tell from way over there?
lawrence," Because youd either be in terrible agony, or youd be dead by now. Trust me."
adam,"What are you, a surgeon? "
lawrence,"Yeah.  So, you gonna tell me your name, or what?"
adam,Adam.
lawrence," Question is what. (He sees something up on the wall, moves forwards a bit towards it. We see that it is a brand new clock on the wall, ticking away. It reads currently at"
adam,What about it?
lawrence,Its brand new. 
adam, So?
lawrence," Wait, I think I may be able to reach that door."
lawrence,What is that?  Excuse me.
adam, Its a tape.
lawrence,Where did you find it?
adam,It was in my pocket.
adam, It says Play me.
lawrence," Come on, come on, come on...."
adam, Throw it over here.
adam,Fuck. 
lawrence," No?  Adam gives up, drops the key onto the floor frustratedly, shaking his head. Thats when he looks over to the body again, and the shot closes up on the hand holding the tape recorder. A small loop handle juts out of the hands grip. Adam stands up, then bends down and picks up the tape on the floor, looking at it. He puts it back down then stretches himself flat out on the floor, trying to reach. Unfortunately, there is still a good three to four feet between him and the body."
lawrence,Use your shirt.
adam, What?
lawrence,Your shirt.
lawrence,"Come on...  Adam tries again; it misses. It is just barely reaching. He pulls the shirt back, gets back up on his knees, aggravated."
adam,It wont work.
lawrence," Well, look around, there must be something else you can use."
adam, Theres nothing.
lawrence, Well there must be something!
lawrence,"Come on, you can do it.  Adam throws it, attempting to get the plug through the loop at the end of the tape recorder. He misses."
lawrence,"Come on, come on, again.  He tries again and misses. On the third try, however, he gets the plug right through the loop. Lawrence smiles in relief. Adam very slowly pulls it back, dragging the tape recorder along the floor towards him. He picks it up, getting rid of the plug and dropping it and the shirt on the floor. He picks up the tape, pops it in and presses play, holding the tape recorder out a bit so that they can both hear, but keeping his head tilted so he can hear better. A chilling deep, raspy, sinister male voice The Jigsaw Killer comes from the tape. As it speaks, Adams expression is fearful, but the thought How does he know? can be detected."
adam,I dont get it. 
lawrence, Throw me the player.
adam," No, you throw me your tape."
lawrence," Look, were going to have to work together if we want to get out of here. Now just throw it to me."
adam, Im not going to risk breaking it! You throw me your tape!
jigsaw,"...then Alison and Diana will die, Dr. Gordon. And Ill leave you in this room to rot."
adam, Any idea who that is?
jigsaw, Let the game begin.
adam,He knows us.
lawrence,Wait a minute. 
adam," What do you think? Probably a joke, right?"
lawrence,"Shh, shh! "
jigsaw, Let the game begin.
lawrence, Listen...
jigsaw,...Follow your heart.
adam,What the hell does Follow your heart mean?
lawrence,"There! Right next to you, on the toilet."
lawrence," Come on, come on."
adam,"Oh man...(he gasps, making gagging sounds, his face turned away from the bowl. He coughs, fishes around for another brief moment, then quickly pulls back, trying to shake some of the shit off of his hand, spitting."
lawrence, Anything?
adam, No solids.
lawrence,Take off the lid.  Come on!
adam,I really wish I had checked in there first.
lawrence,Huh.  What is it?
lawrence,Hey!  Mind passing me the other one?
lawrence, I think I may know whos done this to us.
adam,What did you say? 
lawrence,Its not someone I know personally. Its...just someone I know of.
adam," Jesus Christ! Tell me, who is it?!"
lawrence,The last I heard...the police still hadnt caught him.
lawrence, And the only reason I know that is because I was a suspect.
lawrence, Ill start from the beginning.
kerry,This ones not fresh anymore. At least three weeks out. 
kerry, The door was on a timer. It was unlocked until 3:00. Then it slammed shut. He was given two hours.
tapp,Jigsaw piece. 
lawrence, The newspapers started calling him the Jigsaw Killer.
lawrence,"Actually, technically speaking, hes not really a murderer. He never killed anyone."
lawrence, He finds ways for his victims to kill themselves.
jigsaw,", so I would be careful with that candle, if I were you..."
mark, Help!!!!!
jigsaw, just might have their revenge.
kerry,"I found something else. Well, two things, actually. "
kerry, Copy that.
cut to,"Hospital room. Lawrence in his white doctors coat along with three blue-scrub clad medical students. A nurse in white stands off to the side. Lawrence is going over the patients charts. He goes over to the x-ray display, pushing the light on to view two x-rays of someones skull. He points to it with his pen as he speaks."
lawrence,Okay. This patient has an inoperable frontal lobe tumor extending across the midline. Started as colon cancer.  The patient has come in for a standard checkup by which we are able to monitor the rate at which his condition is declining.
lawrence,The patient had...
zep, Hes a very interesting person.
lawrence,"Thank you for that information, Zep.  Continuing on, the patient...."
intercom,"Dr. Gordon, Dr. Lawrence Gordon, please page the operator."
tapp,"Dr. Gordon, Im Detective Tapp, this is Detective Sing, City Homicide.  Very impressive."
lawrence,"Oh. Thank you, I do my best. "
tapp,Sorry to interrupt you while youre working.
lawrence,"Thats fine. Now, how can I help you gentlemen?"
tapp,"Are you able to tell us where you were between the hours of 11:00 p.m. and 1:00 a.m. last night, Doctor?"
lawrence, Why is it that youre interested?
tapp,"Wed like to ask you a few questions about it. For your sake, I think its best if we do it down at the station. Would you like to follow us there?"
lawrence," No, Im afraid thats...thats quite out of the question. I cant just leave, I have work to do. Plus, my wife has the car today, so..."
sing," Oh, thats okay, you can ride with us. Doc."
lawrence," Im sorry, youll have to tell me again. What is this all about?"
tapp,"Is this yours, Doctor?  He puts the penlight down on the desk. Lawrence picks it up, a brief oh shit look flashing across his face only to be quickly covered up. He looks at the pen strangely. The two detectives carefully study his reaction. Lawrence looks back up at them."
lawyer,So you have no idea how your penlight showed up at the murder scene?
lawrence,Of course not!
lawyer,I have to ask. What were you doing last night.
lawrence, I was seeing someone.
lawyer," Look, if you cant be honest with me..."
lawrence, What am I gonna do?
lawyer,"Well, as your lawyer and your friend, my advice to you is to bite the bullet and give them your alibi now. Because no one is going to believe you later."
lawrence, That was five months ago. He tried to set me up for murder.
sing,Okay. We checked your alibi. It holds up. 
lawrence,Good! Can I go home now?
lawrence," Id like to help, really, but..."
sing," Well, wed really appreciate it. Shes the only one who made it."
lawrence," Okay.  Camera moves into the Interrogation room with Amanda, Tapp, and the unidentified man. As Tapp speaks, the camera slowly moves closer over his shoulder and towards Amanda. As we get closer to her, we see long, strange, scar-like markings along each side of her mouth. She is shaken, her eyes distant, never looking anyone, including Tapp, in the eye. It is clear that her mind is still lost somewhere within her nightmare."
tapp," Amanda...in your own time, tell me the first thing you remember."
amanda, And metal.
jigsaw," The device youre wearing is hooked into your upper and lower jaws. When the timer at the back goes off, your mouth will be permanently ripped open. Think of it like a reverse bear trap. Here, Ill show you."
jigsaw," There is only one key to open the device. Its in the stomach of your dead cellmate. Look around, Amanda. Know that Im not lying. You better hurry up. Live or die. Make your choice."
