Speaker,Dialogue
casey,Hello.
man's voice, Hello.
casey,Yes.
man,Who is this?
casey,Who are you trying to reach?
man,What number is this?
casey,What number are you trying to reach?
man,I don't know.
casey,I think you have the wrong number.
man,Do I?
casey,It happens. Take it easy.
casey,Hello.
man,I'm sorry. I guess I dialed the wrong number.
casey,So why did you dial it again?
man,To apologize.
casey,You're forgiven. Bye now.
man,"Wait, wait, don't hang up."
casey,What?
man,I want to talk to you for a second.
casey,They've got 900 numbers for that. Seeya.
casey,Hello.
man,Why don't you want to talk to me?
casey,Who is this?
man,"You tell me your name, I'll tell you mine."
casey, I don't think so.
man,What's that noise?
casey,Popcorn.
man,You're making popcorn?
casey,Uh-huh.
man,I only eat popcorn at the movies.
casey,I'm getting ready to watch a video.
man,Really? What?
casey,Just some scary movie.
man,Do you like scary movies?
casey,Uh-huh.
man,What's your favorite scary movie?
casey,I don't know.
man,You have to have a favorite.
casey,"Uh...HALLOWEEN. You know, the one with the guy with the white mask who just sorta walks around and stalks the baby sitters. What's yours?"
man,Guess.
casey,Uh...NIGHTMARE ON ELM STREET.
man,Is that the one where the guy had knives for fingers?
casey,Yeah...Freddy Krueger.
man,Freddy-that's right. I liked that movie. It was scary.
casey,"The first one was, but the rest sucked."
man,"So, you gotta boyfriend?"
casey, Why? You wanna ask me out?
man,Maybe. Do you have a boyfriend?
casey,No.
man,You never told me your name.
casey,Why do you want to know my name?
man,Because I want to know who I'm looking at.
casey,What did you say?
man,I want to now who I'm talking to.
casey,That's not what you said.
man,What do you think I said?
casey,I have to go now.
man,Wait...I thought we were gonna go out.
casey,"Nah, I don't think so..."
man,Don't hang up on me.
casey,Gotta go.
man,Don't...
casey,Yes?
man,I told you not to hang up on me.
casey,What do you want?
man,To talk.
casey,"Dial someone else, okay?"
man,You getting scared?
casey,No-bored.
casey,"Listen, asshole..."
man," NO, YOU LISTEN, YOU LITTLE BITCH. IF YOU HANG UP ON ME AGAIN I'LL GUT YOU LIKE A FISH. UNDERSTAND?"
casey,Is this some kind of a joke?
man,"More of a game, really."
casey,I'm two seconds from calling the police.
man,They'd never make it in time.
casey,What do you want?
man, TO SEE WHAT YOUR INSIDES LOOK LIKE.
casey, Who's there?
casey, Who's there?
man,"You should never say ""Who's there?"". Don't you watch scary movies? It's a death wish."
casey,"Look, enough is enough. You had your fun now you better leave me alone or else."
man,Or else what?
casey,My boyfriend will be here any second and he'll be pissed when I tell him...
man,I thought you didn't have a boyfriend.
casey,I lied. I do have a boyfriend and he'll be here any second and your ass better be gone.
man,Sure...
casey,I swear it. And he's big and plays football and will beat the shit out of you.
man,I'm getting scared.
casey,I'm telling you the truth. I lied before...
man,I believe you...
casey,So you better leave.
man,"His name wouldn't be Steve, would it?"
casey,How do you know his name?
man,Go to the back door and turn on the porch light--again.
casey,Oh Goddddd...
