Speaker,Dialogue
seven, by  Andrew Kevin Walker
somerset,No... no.  There's nothing wrong.
man," Not that it's any of my business... but, are you figuring on moving out here eventually?"
somerset,Soon.
man,I just never seen a man mortgaging an empty house before.
somerset,Everything here still seems... seems so strange to me.  All this.
man,I don't know.  I'd say this place is about as normal as places get.
somerset,That is exactly what I mean.  Strange.
mills,"Is that your car, man?"
first thug,What the fuck do you care?
mills,Does that car belong to you?
first thug,"Yeah, it's my car, alright?  Fuck off."
mills,You're telling me that's your car?
second thug,"Well, for some strange reason, I don't believe you."
first thug, You can fucking suck my...
taylor,"Neighbors heard them screaming at each other.  It was nothing new or unusual. But, then they heard the gun go off. Boom, boom... both barrels."
somerset,Did his wife confess?  Did she actually speak the words?
taylor,When the patrolman got here she was trying to put his head back together. She was crying too hard to say anything.  Crime of passion.
somerset,Yes.  Look at all the passion splattered up on the wall here.
taylor,This is a done deal.  All but the paperwork.
somerset,Did their son see it happen?
taylor,What kind of question is that?  Huh?  He's dead.  His wife killed him.  There it is.  That's all.  Anything else has nothing to do with nothing.
mills,Uh... Lieutenant Somerset?
mills,"I'm a little thrown.  I just finished orientation at central, and they dumped me off down here."
somerset,I heard you brought in two small-timers last night.
mills,Yeah.  Two real idiots.
somerset,"Since we are just starting out, I thought we could go to a bar.  Sit and talk for awhile.  That way we can..."
mills,"Excuse me, but I'd rather start sniffing for a case, if it's all the same to you. Seeing how we only have a week for this whole transition thing.  I want to get into the shit a.s.a.p., know what I mean?"
somerset,I meant to ask you something... when we spoke on the phone.  I can't help wondering...  Why are you here?
mills, I... I don't follow.
somerset,"All this effort you've gone through, to be transferred from Philadelphia to here.  It's the first question that pops into my head."
mills,"I'm here for the same reasons as you, I guess.  Or... at least the same reasons you used to have for being here...  ...before you decided to give up."
somerset,You think you know me?  You just met me two minutes ago.
mills,Maybe I don't understand the question.
somerset,"It's very simple.  You've come from the ""City of Brotherly Love"" to the ""City of Brotherly Hate,"" detective.  I've never seen it done that way."
mills,"I don't know.  Maybe I thought I could do more good here than there.  You know, it'd be great by me if we didn't start right out kicking each other in the balls.  But, you're calling the shots, lieutenant, so however you want it to go."
somerset,"Let me tell you how I want this to go. I want you to look, and I want you to listen."
mills,I wasn't standing around Philly guarding the fucking Liberty Bell.
somerset,"But, you've never worked homicide in this city."
mills,I realize that.
somerset,"Well, please do me the favor of remembering it."
somerset,At what time did you confirm the death?
davis,"Like I said, we didn't touch anything, but we were on scene at like o-five- hundred, so he's had his face in a plate of spaghetti for about half an hour."
mills,"Wait, wait, wait.  You didn't check him? You didn't check vital signs?"
