Speaker,Dialogue
the searchers," ""THE SEARCHERS""  Revised Final Screenplay by  Frank Nugent"
aaron, Ethan?
ethan,"Hello, Aaron..."
ethan,Martha...
martha," Hello, Ethan."
aaron,How's California?
ethan,How should I know?
aaron,But Mose Harper said...
ethan,That old goat still creakin' around?... Whyn't someone bury him?
ethan,"Ben, ain't you?"
ethan," Lucy, you ain't much bigger than when I saw you last."
debbie,I'm Deborah!  She's Lucy.
martha,Lucy's going on seventeen now...
ben,"An' she's got a beau! Kisses him, too!"
martha,"That's enough... Go on inside and help Lucy set the table... You, too, Deborah!"
ethan, MOMENTO!
martha," Martin!... Here we've been standing... Ethan, you haven't forgotten Martin?"
ethan,Oh... Mistook you for a half-breed.
martin, Not quite... Quarter Cherokee. The rest is Welsh... So they tell me.
ethan,You've done a lot of growin'...
aaron,It was Ethan found you squallin' in a sage clump after your folks was massacred...
ethan, It just happened to be me... No need to make any more of it...
martin,"I'll take care of your horse for you, Uncle Ethan."
ethan,Hold on!
ethan,I'll take this...
martha,"Supper'll be ready by the time you wash up... Let me take your coat for you, Ethan."
martha, And... welcome home.
ethan,Good.
aaron,Ben! Deborah! Bed!
debbie,But I've got to help with the dishes.
martha,"Not tonight... Ben, put that sword back."
ben,"It's not a sword, ma... it's a saber!  Did you kill many damYankees with this sabre, Uncle Ethan?"
ethan, Some...
ben,"How many damYankees, Uncle Ethan?"
martha,"Ben!... Martin, he'll sleep in the bunkhouse with you tonight."
martin,"Good night, Aunt Martha... Uncle Aaron...  Good night, Uncle Ethan."
ethan,Night.
ben,Will you tell me tomorrow about the war?
aaron,"The war ended three years ago, boy!"
ben,It did?... Then whyn't you come home before now?
martha,BEN!... Go 'long with Martin. MARCH!
debbie,Lucy's wearing the gold locket you gave her when she was a little girl...
ethan,Oh?
debbie,She don't wear it much account of it makes her neck green.
lucy, Deborah!
debbie," Well, it does... But I wouldn't care if you gave me a gold locket if it made my neck green or not."
ethan,'Fraid I...  Wait.
ethan,How about this?
debbie,Oh! LOOK! My gold locket!
martha,"It's solid gold... Ethan, I don't think she's old enough..."
ethan,Let her keep it... Just something I picked up in Mexico.
debbie,"Oh, thank you, Uncle Ethan..."
lucy, Come along...
ethan,Passed the Todd place comin' in... What happened to 'em?
aaron,"They gave up... went back to the cotton rows... So'd the Jamisons... Without Martha, I don't know... She wouldn't let a man quit."
aaron, You wanted to clear out!
aaron,And you stayed out beyond all need to... WHY?
ethan, You askin' me to clear out now?
aaron," You're my brother... You're welcome to stay as long as you got a mind to... Ain't that so, Martha?"
martha, Of course he is.
ethan,I expect to pay my own way...
ethan,There's sixty double eagles in there... twelve-hundred dollars.
ethan,An' twice that in here.
ethan,...only these got the late Emperor Maximilian's picture on 'em.
aaron,Mint fresh... not a mark on 'em.
ethan,So?
ethan,Cut yourself?
ethan, You were always hurting about your hands.
aaron,Time for bed...
aaron,"Night, Ethan... Come 'long, Martha."
sam's voice,Aaron! Open up!... Sam Clayton!
aaron,Reverend... Come in!
clayton,"Sorry to get you out of bed so early...  Mornin', Sister Edwards."
martha,"What is it, Reverend?"
clayton,Lars Jorgensen claims someone bust into his corral last night and run off his best cows...
aaron,You mean those pure breds he just bought?
jorgensen,"Next time I raise pigs, by golly! You never hear of anyone running off pigs, I bet you."
mose,Injuns has 'em... Caddoes or Kiowas... Kiowas or Caddoes.
clayton, Caddoes!
mose,"Respects to a charmin' lady, ma'am. ...Respects, respects..."
nesby,Mornin'...
martha,Coffee's made if you...
clayton,"Coffee'd be fine, sister..."
mose, My bones is cold...
jorgensen,"Or bumble bees, by golly... I show them dirty rustlers!"
mose," Lookit me, old Mose Harper, rockin' in a rockin' chair... I'm a-goin' to set 'n rock, 'n rock, 'n rock, 'n rock..."
clayton,"Over here, Martin... Aaron..."
clayton,Raise your right hands.
clayton,"You are hereby volunteer privates in Company A of the Texas Rangers and will faithfully discharge the duties of same without recompense or monetary compensation -- meaning no pay!... Amen and get your shirt on, will you, Aaron."
aaron," Ain't goin' volunteerin' after rustlers without my morning coffee, Reverend... Drink your own!"
clayton," From now on, call me 'Captain'!"
ethan, Captain the Reverend Samuel Johnson Clayton!... Mighty impressive.
clayton, Well... the prodigal brother... When'd you get back?
clayton,"Haven't seen you since the surrender.  Come to think of it, I didn't see you at the surrender."
ethan,"I don't believe in surrenderin'... I still got my sabre, Reverend... never turned it into any ploughshare neither!"
jorgensen,Is no time for kaffee-klatch while a man's beef is been run off.
mose,"Injuns, Ethan...  Caddoes or Kiowas... Mose Harper, drinkin' coffee in a rockin' chair. ...ay-eh!"
aaron,"Ethan, countin' on you to look after things while I'm gone."
ethan,You ain't goin'...
clayton,He sure is goin'... He's sworn in.
ethan," Well, swear him out again!... I'll go with you."
aaron,"Now, Ethan, I ain't sure..."
ethan,Don't argue!... And stay close... Maybe they're rustlers... and maybe this dodderin' old idiot ain't so far wrong...
mose,"Thankin' ye, Ethan... thankin' ye. Kind words..."
clayton, All right... I'll swear you in...
ethan,You can forget that...  Wouldn't be legal anyway.
clayton,"Why?  You wanted for a crime, Ethan?"
ethan,"You askin' as a Reverend or a Captain, Sam?"
clayton,I'm askin' as a Ranger of the sovereign state of Texas.
ethan,Got a warrant?
clayton,You fit a lot of descriptions.
ethan," So did you, Reverend..."
ethan,"Stick close, Aaron..."
jorgensen,Brad!... Is no time for lolly- gagging...
clayton,"Looks like I'll be reading the lines over that pair before long, sister Edwards."
jorgensen,"Is no time for talking weddings... Better say prayers for those dirty thieves, by golly... running off a man's beef..."
mose,"Grateful to the hospitality of yore rockin' chair, ma'am..."
clayton,Let's get on with it...
debbie,WAIT!
debbie,Martin! Ride me as far as the well!
martin,Grab hold!...
aaron's voice, DEBORAH!
martin, Uncle Ethan!
martin,"Somethin' mighty fishy about this trail, Uncle Ethan..."
ethan,Stop callin' me 'uncle'... I ain't your uncle.
martin,"Yes, sir."
ethan,Don't have to call me 'sir' neither... Nor grampaw neither... Nor Methuselah neither... I can whup you to a frazzle.
martin,What you want me to call you?
ethan,Name's Ethan... Now what's so mighty fishy about this trail?
martin,"Well, fust off..."
jorgensen,Look! Look!
jorgensen's voice, Brad! He's found them... Come on!
ethan,Call that young fool back!
ethan," Caddo or Kiowa, huh?... Ain't but one tribe uses a lance like that!"
mose, Ay-he... Comanch!
brad,Killed every one -- an' not for food either... Why'd they do a thing like that?
ethan,Stealing the cattle was just to pull us out... This here's a murder raid...  It shapes up to scald out either your place... or my brother's.
jorgensen,Mama!... Oh please... please no... BRAD!
clayton,"Jorgensen's place is closest... If they're not there, we'll come straight on!"
martin,"Well, come on!"
ethan,"Easy!  It's forty miles, sonny... Horses can do with some grain and a little rest."
mose,Comanch generally hits at moonrise.
martin,Moonrise!... It'll be midnight before... I ain't waitin'...!
mose,Wisht it was Caddoes... or Kiowas...  Comanche...
aaron,"Think I'll see if I can pick off a sage-hen or two, Martha..."
martha,"You do that, Aaron..."
aaron, Won't go far...
lucy's voice,"My, the days are getting shorter!"
martha, Lucy!... We don't need the lamp yet...
martha, Let's enjoy the dusk a while.
on porch,Aaron is slowly scanning the terrain.
aaron, Mind you sweep up them shavin's.
ben,"Yes, Pa...  An' if you see any sage-hens, I'm ready."
ben," It's all right, ma... I been watchin'...  Only I wish..."
martha," What, Ben?"
ben,"I wish Uncle Ethan was here. Don't you, ma?"
lucy,"Mother, I can't see what I'm doing!..."
martha,"NOT YET, LUCY!..."
aaron,"In the house, boy... and..."
aaron,"Ben, close the shutters."
lucy,Pa?
martha, DEBORAH!
debbie,"I only took one, ma... Topsy was hungry."
aaron,LUCY!
lucy,I'm sorry... I couldn't find the shawl...
aaron,"Hurry, Martha... Moon's fixin' to rise..."
martha, We're going to play the sleep-out game... Remember?... Where you hide out with grandma?
debbie,Where's she buried?
martha,And you'll go along the ditch -- very quietly -- like a... 
debbie,Like a little mouse.
aaron,Now!
martha,There!... And you won't come back or make a sound... no matter what you hear? Promise!... No matter what?
debbie,I promise... Wait!
aaron,"Child, child!"
debbie,Can't I have Topsy to keep me company?
aaron,There's no time...
martha,"Here she is, baby... Baby..."
aaron,Down low -- go!
aaron, Here dog... here!
aaron,She reached the ditch...
aaron,"She'll be all right, mother... she'll be all right."
martin, Ethan!... Ethan!
martin, Uncle Ethan... it's me... Martin!
ethan,Out of my way!
martin, Mose! Wait!...
martin,Ethan!... Mose!...
ethan, You stay out!
ethan,Nothing for you to see.
martin,Leggo...
ethan,"Don't let him go in there, Mose..."
