Speaker,Dialogue
mr dashwood, Is John not yet arrived?
mrs dashwood,"We expect him at any moment, dearest."
mr dashwood,The girls--I have left so little.
mrs dashwood,"Shh, hush, Henry."
mr dashwood,"Elinor will try to look after you all, but make sure she finds a good husband. The men are such noodles hereabouts, little wonder none has pleased her."
mrs dashwood,But Marianne is sure to find her storybook hero.
mr dashwood,A romantic poet with flashing eyes and empty pockets?
mrs dashwood,"As long as she loves him, whoever he is."
mr dashwood,Margaret will go to sea and become a pirate so we need not concern ourselves with her.
thomas,"Your son is arrived from London, sir."
mr dashwood,Let me speak to John alone.
mr dashwood,"Ah, my dear. How happy you have made me."
john,Father...
mr dashwood,John you will find out soon enough from my will that the estate of Norland was left to me in such a way as prevents me from dividing it between my families.
john,"Calm yourself, Father. This is not good for you."
mr dashwood,Norland in its entirety is therefore yours by law and I am happy for you and Fanny.
mr dashwood,"But your stepmother my wife and daughters are left with only five hundred pounds a year, barely enough to live on and nothing for the girls' dowries. You must help them."
john,Of course
mr dashwood,You must promise to do this.
john,"I promise, Father, I promise."
john,Come! Come quickly!
mr dashwood,Help them.
fanny,"What do you mean, 'help them'?"
john,"Dearest, I mean to give them three thousand pounds."
john,The interest will provide them with a little extra income. Such a gift will certainly discharge my promise to my father.
fanny,"Oh, without question! More than amply..."
john,"One had rather, on such occasions, do too much than too little."
john,"Of course, he did not stipulate a particular sum."
mrs dashwood,"To be reduced to the condition of visitor in my own home! It is not to be borne, Elinor!"
elinor,"Consider, Mamma! We have nowhere to go."
mrs dashwood,"John and Fanny will descend from London at any moment, followed no doubt by cartloads of relatives ready to turn us out of our rooms one by one do you expect me to be here to welcome them? Vultures!"
elinor,I shall start making inquiries for a new house at once. Until then we must try to bear their coming.
john,Fifteen hundred then. What say you to fifteen hundred?
fanny,What brother on earth would do half so much for his real sisters--let alone half-blood?
john,They can hardly expect more.
fanny,"There is no knowing what they expect. The question is, what can you afford?"
elinor,"Marianne, cannot you play something else? Mamma has been weeping since breakfast."
elinor,"I meant something less mournful, dearest."
john,A hundred pounds a year to their mother while she lives. Would that be more advisable? It is better than parting with the fifteen hundred all at once.
fanny,But if she should live longer than fifteen years we would be completely taken in. People always live forever when there is an annuity to be paid them.
elinor,"Margaret, are you there? Please come down. John and Fanny will be here soon."
elinor,"Because houses go from father to son, dearest not from father to daughter. It is the law."
elinor,"If you come inside, we could play with your atlas."
john,"Twenty pounds now and then will amply discharge my promise, you are quite right."
fanny,"Indeed. Although to say the truth, I am convinced within myself that your father had no idea of your giving them money."
john,They will have five hundred a year amongst them as it is--
fanny,"--and what on earth can four women want for more than that? Their housekeeping will be nothing at all they will have no carriage, no horses, hardly any servants and will keep no company. Only conceive how comfortable they will be!"
elinor,"As you know, we are looking for a new home. When we leave we shall be able to retain only Thomas and Betsy."
elinor,We are very sorry to have to leave you all. But we are certain you will find the new Mrs Dashwood a fair and generous mistress.
john,So we are agreed. No money but the occasional gift of game and fish in season will be very welcome.
fanny,Your father would be proud of you.
elinor,How is Mrs Ferrars?
fanny,"My mother is always in excellent health, thank you. My brother Robert is in town with her this season and quite the most popular bachelor in London! He has his own barouche."
elinor,"You have two brothers, have you not?"
fanny,"Indeed, yes. Edward is the eldest Mamma quite depends upon him. He is traveling up from Plymouth shortly and will break his journey here."
john," If that is agreeable to you, of course."
mrs dashwood,My dear John this is your home now.
marianne,Fanny wishes to know where the key for the silver cabinet is kept.
elinor,"Betsy has it, I think. What does Fanny want with the silver?"
marianne,I can only presume she wants to count it. What are you doing?
elinor,Presents for the servants. Have you seen Margaret? I am worried about her. She has taken to hiding in the oddest places.
marianne,"Fortunate girl. At least she can escape Fanny, which is more than any of us is able."
elinor,You do your best. You have not said a word to her for a week.
marianne, I have! I have said 'yes' and 'no'.
marianne," Good morning, Fanny."
fanny,"Good morning, Marianne."
marianne, How did you find the silver? Is it all genuine?
elinor,"Pray, when may we expect the pleasure of your brother's company?"
fanny,"Edward is due tomorrow. And my dear Mrs Dashwood, in view of the fact that he will not be with us for long, I wondered if Miss Margaret would mind giving up her room to him the view is quite incomparable from her windows and I should so much like Edward to see Norland at its best."
