Speaker,Dialogue
girl,"Now that the war's over, our soldiers get to come home, yes?"
teacher,Some of them. Some will be stationed on the rim planets as Peace Enforcers.
boy,I don't understand. Why were the Independents even fighting us? Why wouldn't they look to be more civilized?
teacher,That's a good question. Does anybody want to open on that?
girl,I hear they're cannibals.
another boy,That's only Reavers.
another girl,Reavers aren't real.
another boy,"Full well they are. They attack settlers from space, they kill them and wear their skins and rape them for hours and hours --"
river,We meddle.
teacher,"River? RIVER is a dark, intense little girl, writing with one hand and ""typing"" with the other.  She is a good two years younger than the other kids."
river,"People don't like to be meddled with. We tell them what to do, what to think, don't run don't walk we're in their homes and in their heads and we haven't the right. We're meddlesome."
teacher,(gently taking her
first technician,Nightmare?
doctor mathias,"Let's amp it up. Delcium, eight- drop. DOCTOR MATHIAS is not instantly likable -- nor gradually, for that matter. A cold man, and more than a little satisfied with himself."
simon,I've heard that.
doctor mathias,"She's a genius. Her mental capacity is extraordinary, even with the side-effects."
simon,Tell me about them.
doctor mathias,"Well, obviously, she's unstable... the neural stripping gives them heightened cognitive reception, but it also destabilizes their own reality matrix. It manifests as borderline schizophrenia... which at this point is the price for being truly psychic."
simon, What use do we have for a psychic if she's insane?
doctor mathias,"I don't have to tell you the security potential of someone who can read minds. And she has lucid periods -- we hope to improve upon the... I'm sorry, Sir, I have to ask if there's some reason for this inspection."
doctor mathias,Key members of Parliament have personally observed this subject. I was told their support for the project was unanimous. The demonstration of her power --
simon, How is she physically?
doctor mathias,"Like nothing we've seen. All our subjects are conditioned for combat, but River... she's a creature of extraordinary grace."
simon,"Yes. She always did love to dance. He drops to one knee, slamming his baton to the floor."
river,"Simon. A beat, as they face each other, Simon fighting emotion."
simon,"We can't make it to the surface from inside. Simon turns suddenly as he hears footsteps, people heading at them from the other side of the doors. 4wo SIMON"
simon,"Get on! He is standing by the window -- and the Security Agent is right behind him, PUNCHING the window with all his might. Simon helps River onto the gurney, then jumps on himself as the Security Agent cracks the glass. The two are whisked up in the gurney, River on her knees, Simon standing beside her holding one of the cables --"
the operative,Biograph. Simon Tam.
doctor mathias,Excuse me! No one is allowed in the records room without my express permission.
the operative," Forgive me. I prefer to see the event alone, without bias. Mathias looks at the hologram -- realizes which one it is."
doctor mathias,I need to see your clearance.
the operative,"You're right to insist. I know you've had security issues here. He places his hand on a screen as he says it. Mathias looks at the readout, and drops the bluster."
doctor mathias,"Apologies. An Operative of the Parliament will of course have full cooperation.  I'm not sure what... I see no listing of rank, or name."
the operative,"I have neither. Like this facility, I don't exist. The Parliament calls me in when... when they wish they didn't have to. Let's talk about the Tams."
doctor mathias,I assume you've scanned the status logs...
the operative,River was your greatest success. A prodigy -- A phenomenon. Until her brother walked in eight months ago and took her from you.
doctor mathias,It's not quite so simple.
the operative,I'm very aware of that.
doctor mathias,"He came in with full creds. He beat the ap-scan, the retinal... There was no way I could --"
the operative,"No, no. Of course. The boy spent his fortune developing the contacts to infiltrate this place."
doctor mathias,"Gave up a brilliant future in. medicine as well, you've probably read. Turned his back on his whole life. Madness."
the operative,"Madness, no. Something a good deal more dangerous. Have you looked at this scan carefully? At his face? Mathias looks uncertain."
doctor mathias,Why are you here?
the operative,"I'm here because the situation is even less simple than you think.  Do you know what your sin is, Doctor?"
doctor mathias,I. I would be very careful about what you --
doctor mathias,Key members of Parliament have personally observed this subject. I was told their support --
the operative," Key members of Parliament. Key. The minds behind every diplomatic, military and covert operation in the galaxy, and you put them in a room with a psychic."
doctor mathias,"She was... she read cards, nothing more."
the operative,"It's come to our attention that River became much more unstable, more... disturbed, after you showed her off to Parliament. Did she see something very terrible in those cards?"
doctor mathias,Whatever... secrets she might have accidentally gleaned... it's probable she doesn't even know she knows them. That they're buried beneath --
the operative,But they are in her. Her mind is unquiet. It's the will of the Parliament that I kill her. And the brother. Because of your sin.
the operative," You know, in certain older civilized cultures, when men failed as entirely as you have, they would throw themselves on their swords."
doctor mathias," Well, unfortunately I forgot to bring a sword to -- The air rings crisply as the Operative pulls out his sword."
the operative,The Parliament has no further interest in psychics. They represent a threat to the harmony and stability of our Alliance.
doctor mathias,I would put that down right now if I were you.
the operative,"Would you be killed in your sleep, like an ailing pet? Whatever your failings, I believe you deserve better than that. The agents move. He slices the throat of the one behind him with true grace, thrusting at the second as he's pulling out his gun and pinning his hand. A moment, and the dying agent reflexively squeezes the trigger, shooting his own arm. The Operative pulls out the sword and the agent falls as quietly as the first. Mathias bolts but the Operative pins him to the wall. He bunches his fingers and jabs the side of the Doctor's spine. Mathias stiffens, suddenly, agonizingly immobile. The Operative steps back, observes the Doctor's rigid grimace for a moment. Almost ceremoniously, he drops to one knee and holds the blade out to one side, hilt to the floor and point tilted toward the doctor. The Doctor stares at it in horror as his paralyzed body begins to tip over toward it. The Operative turns toward the terrified intern at the door."
serenity, 10
mal,"What was that? He's addressing the pilot, WASH. Flight gear and a hawaiian shirt, toy dinosaurs populating his station -- no old soldier, but just as startled."
wash,Whoah! Did you see that -- The ship bucks --
mal,Was that the primary buffer panel?
wash,It did seem to resemble --
mal,Did the Primary Buffer Panel just fall off my gorramn ship for no apparent reason? Another buck --
wash,Looks like.
mal,I thought Kaylee checked our entry couplings! I have a very clear memory of it --
wash,Yeah well if she doesn't give us some extra flow from the engine room to offset the burnthrough this landing is gonna get pretty interesting.
mal,"Define ""Interesting""."
wash," ""Oh god, oh god, we're all gonna die?"""
mal, Can you shave the vector --
wash,I'm doing it! It's not enough.  Kaylee!
mal,Just get us on the ground!
wash,"That part'll happen, pretty definitely."
jayne,we're gonna explode? I don't wanna explode.
mal,"Jayne, how many weapons you plan on bringing? You only got the two arms..."
jayne,"I just get excitable as to choice, like to have my options open."
mal,I don't plan on any shooting taking place during this job.
jayne,"Well, what you plan and what takes place ain't ever exactly been similar."
