Speaker,Dialogue
serial mom, by  John Waters
mom,Who wants fruit salad?
misty,"I do, please."
mom," That's not gum in your mouth, is it?"
misty, It's sugarless.
misty,"Sorry, Mom.  Thanks.  Hey, Chip, think I could get 50c for Vanilla Ice."
chip,I wouldn't give ya a nickle.
misty, Carl can't believe how much I make at swap meets.
mom, And who may I ask is Carl?
misty,Just a boy.  He's picking me up this morning.
chip,Here we go again.
misty,He's really cute!
mom," Cute is not enough, Misty. You know that."
chip,She sure can pick 'em!
misty, He goes to college with me!
dad,"Leave her alone, Chip.  I think it's great she has a new beau, Beverly."
mom,Cereal anybody?
dad,"Just a little, please.  Bad for the teeth."
chip,Always the dentist.
mom,"Chip, honey?"
chip,"Thanks, Mom."
dad," ""Hillside Strangler gets his college degree in prison!"""
mom, That's nice.
dad,Nice?!  He should have been executed!
misty,"He killed people, Mom."
chip," He's cu-uuute!  Hey, Dad, did you ever see ""Henry, Portrait of a Serial Killer?"""
dad,I certainly did not.
misty,You've been working in that video shop too long.
dad,And all that gore better hadn't be interfering with your schoolwork.
chip,"I do great in school, Dad. "
dad,"Well, your mother's going to PTA today.  We'll see what your teacher has to say. "
chip," Aw, Mom!  I hate Mr. Stubbins!"
mom," Don't say the word ""hate"", honey. ""Hate"" is a very serious word!"
mom,There.  All better.  Anybody for scrambled eggs?
dad, Who on earth...?
mom, Yes?
dad," I'm Dr. Eugene Sutphin.  What's the trouble, officer?"
chip, Is there a killer loose?
mom,"This is my son, Chip...and my daughter, Misty."
misty, Hi!
chip, Jeeezzz!
mom,"Det. Bradford, I'm sorry but we don't allow gum chewing in this house. "
mom,I know Dottie!
dad,She lives right down the street.
mom, This is the limit!
chip,Let me see!
dad,"Sorry, son.  This is a matter for adults."
mom,"Officers, I've never said the P-word out loud, much less written it down!"
dad,No woman would!
mom, Peter Pan!  Peter Pan!  Peter Pan!
bird,Peter Pan!  Peter Pan!  Peter Pan!
mom,"Chip, your ride is here."
misty," Bye, Detective Moore."
birdie," Hi, Mr. and Mrs. Sutphin."
dad, That's Birdie.  She's a horror nut just like my son.
mom," Good morning, Birdie.  This is Detectives Moore and Bradford."
birdie," Hi ya, boys!"
mom, Good morning Scotty!
birdie,"Hey Misty, look what I got!  A Pee Wee Herman Doll.  Can you sell it for me at the flea market?"
misty," Oh God, here comes Carl!"
carl, You must be Mrs. Sutphin. I'm Carl Padgett.
mom,Misty's date...
carl,More of a friend really...
misty, See what Birdie gave me to sell at the flea market?
carl, That guy's a weirdo.
mom," Now there's something you should be interested in, detectives.  A grown boy who doesn't wear his seat belts!"
dottie, Hello.
mom, Is this the Cocksucker residence?
dottie, Goddamn you!  STOP CALLING HERE!
mom,Isn't this 4215 Pussy Way?
dottie, You bitch!
mom,Let me check the zip - 212 Fuck you?
dottie,The police are tracing your call right this minute.
mom,"Well, Dottie, how come they're not here then, Fuck-Face?"
dottie," FUCK YOU TOO, YOU ROTTEN WHORE!!"
mom, I beg your pardon?
dottie, Who is this?
mom,Mrs. Wilson from the telephone company.  I understand you're having problems with obscene calls.
dottie," Yes, I am...I'm sorry Mrs. Wilson.. It's driving me crazy...I've changed my number twice already... Please help me!"
mom, What exactly does this sick individual say to you?
dottie,I can't say it out loud. don't use bad language.
mom, I know it's hard but we need the exact words.
dottie,"Alright, I'll try...  ""Cocksucker"".  That's what she calls me."
mom," Listen to your dirty mouth, you fucking whore!"
dottie, GODDAMN YOU!
dottie,MOTHERFUCKER!!
mom,COCKSUCKER! 
mom,"Rosemary, honey.  Good morning. I'm fine.  Thanks for remembering."
mom, Just the damn cable TV company. You know how they are. Did you hear about Dottie Hinkle?
mom,Who on earth would want to harrass poor Dottie Hinkle?
mom,"Hi, Betty.  Oh, I love your outfit."
mom," You're soooo funny, Ralph..."
mom, Right here!
mom, A little something I baked.
mom,Bon Appetit!
mom, He's a good boy.
mom,"What is it, Mr. Stubbins?"
mom, He is assistant manager of a video shop...
mom, Certainly not!
mom," No, he did not! We are a loving supportive family, Mr. Stubbins."
birdie,It's a sheep's tongue!
scotty,"Man, I just ate.  Turn it off."
chip,Rewind it!  Let's see it again!
scotty,No!  That shit is sickening! Put on pussy!
birdie, SLOW-MOTION!
birdie, BLOOD FEAST!
chip," The ""Citizen Kane"" of gore movies."
mom,"I don't know what it is about today, but I FEEL GREAT!"
scotty," Excuse me, Mrs. Sutphin."
chip,"Hi, Mom."
birdie,"Hi, Mrs. Sutphin."
mom," You kids.  Now Birdie, I want you to have a cookie and then run along home."
chip,"But Mom, the video's not over."
