Speaker,Dialogue
fennyman,"What am I, Mr. Lambert?"
lambert,"Bitten, Mr. Fennyman."
fennyman,"How badly bitten, Mr. Frees?"
frees,"Twelve pounds, one shilling and four pence, Mr. Fennyman, including interest."
henslowe,Aaagh! I can pay you!
fennyman,When?
henslowe,"Two weeks, three at the most, Aaaagh! For pity's sake."
fennyman,Take his feet out. Where will you get
frees," Sixteen pounds, five shillings and nine pence"
fennyman,including interest in three weeks?
henslowe,I have a wonderful new play!
fennyman,Put his feet in.
henslowe,It's a comedy.
fennyman,Cut his nose off.
henslowe,A new comedy. By Will Shakespeare!
fennyman,And his ears.
henslowe,"And a share. We will be partners, Mr. Fennyman!"
fennyman, Partners!
henslowe,"It's a crowd-tickler--mistaken identities, a shipwreck, a pirate king, a bit with a dog, and love triumphant."
lambert,I think I've seen it. I didn't like it.
henslowe,This time it is by Shakespeare.
fennyman,What's the title?
henslowe,Romeo and Ethel the Pirate's Daughter.
fennyman,Good title.
frees,"Twenty pounds to the penny, Mr. Fennyman."
fennyman,Correct!
henslowe,But I have to pay the actors and the authors.
fennyman,A share of the profits.
henslowe,There's never any
fennyman,Of course not!
henslowe," Mr. Fennyman, I think you may have hit on something."
fennyman,Sign here.
henslowe,Without doubt he is completing it at this very moment.
henslowe,Will! Where is my play? Tell me you have it nearly done! Tell me you have it started.  You have begun?
will," Doubt that the stars are fire, doubt that the sun doth move"
henslowe,"No, no, we haven't the time. Talk prose. Where is my play?"
will, It is all locked safe in here
henslowe,God be praised!  Locked?
will,As soon as I have found my muse
henslowe, Who is she this time?!
will,She is always Aphrodite.
henslowe,Aphrodite Baggot who does it behind the Dog and Trumpet?
will,"Henslowe, you have no soul so how can you understand the emptiness that seeks a soulmate?"
henslowe,"Well, I am a dead man and buggered to boot. My theatre is close by the plague these twelve weeks, my company is playing the inn-yards of England, while Burbage and the Chamberlain's Men are invited to court and receive ten pounds to play your piece, written for my theatre, by my writer, at my risk when you were green and grateful -"
will,What piece? Richard Crookback?
henslowe,"No--it's comedy they want, Will! Comedy! Like Romeo and Ethel?"
will,Who wrote that?
henslowe,Nobody! You are writing it for me! I gave you three pounds a month since.
will,Half what you owed me. I am still due for One Gentleman of Verona.
henslowe,". . . Will! What is money to you and me? I, your patron, you my wordwright! When the plague lifts Burbage will have a new Christopher Marlowe for the Curtain and I have nothing for the Rose."
will,"Mr. Henslowe, will you lend me fifty pounds?"
henslowe, Fifty pounds? What for?
will,Burbage offers me a partnership in the Chamberlain's Men. For fifty pounds my hired player days are over.
henslowe,Cut out my heart! Throw my liver to the dogs!
will," No, then."
makepeace,"and the Lord shall smite them! Yea, harken to me. The theatres are handmaidens of the devil! Under the name of the Curtain, the players breed lewdness in your wives, rebellion in your servants, idleness in your apprentices and wickedness in your children! And the Rose smells thusly rank by any name! I say a plague on both their houses!"
henslowe,Where are you going?
will,To my weekly confession.
will,"Words, words, wordsonce, I had the giftI could make love out of words as a potter makes cups out of clay love that overthrows empires, love that binds two hearts together come hellfire and brimstonesfor sixpence a line, I could cause a riot in a nunnerybut now"
will," Aye, now and again, but what of it? I have lost my gift."
will,I have lost my gift.  It's as if my quill is broken. As if the organ of the imagination has dried up. As if the proud tower of my genius has collapsed.
will,Nothing comes.
will,It is like trying to a pick a lock with a wet herring.
will,"A goodly length in times past, but lately"
later,Not much sand left.
will,"I was a lad of eighteen. Anne Hathaway was a woman, half as old again."
will," She had a cottage. One day, she was three months gone with child, so"
will,On my mother's side the Ardens
will,"Four years and a hundred miles away in Stratford. A cold bed too, since the twins were born. Banishment was a blessing."
will,yet cannot love nor write it.
will,Will it restore my gift?
henslowe,Now where? Will?
will,To the Palace at Whitehall.
will," Prithee, Mr. Kempe, break a leg. You too, good Crab."
kempe,"Crab is nervous. He has never played the Palace. When will you write me a tragedy, Will? I could do it."
will,"No, they would laugh at Seneca if you played it."
burbage," My sleeve wants for a button, Mistress Rosaline, where were my seamstress's eyes?"
will,"I am still owed money for this play, Burbage."
burbage,Not from me. I only stole it. When are you coming over to the Chamberlain's Men?
will,When I have fifty pounds.
burbage,Are you writing?
will," A comedy. All but done, a pirate comedy, wonderful."
burbage,What is the chief part?
will,"Romeo. Wit, swordsman, lover."
burbage,The title?
will,Romeo
burbage,I will play him. Bring it tomorrow.
will,It's for Henslowe. He paid me.
burbage,How much?
will,Ten pounds.
burbage,You're a liar.
will,I swear it. He wants Romeo for Ned and the Admiral's Men.
burbage,Ned is wrong for it.
will,Done.
henslowe," Burbage, I will see you hanged for a pickpocket."
burbage,"The Queen has commanded, she loves a comedy and the Master of the Revels favours us."
henslowe,And what favour does Mr. Tilney receive from you?
burbage,Ask him.
tilney,She comes!
rosaline,"When will you write me a sonnet, Will?"
will,I have lost my gift.
rosaline,You left it in my bed. Come to look for it again.
will,"Are you to be my muse, ROSALINE?"
rosaline,Burbage has my keeping but you have my heart.
will,"You see? The consumptives plot against me. ""Will Shakespeare has a play, let us go and cough through it."""
will,I feel a scene coming on.
henslowe,Is it about a pirate's daughter?
henslowe,You see? Comedy.
queen,"Well played, Master Crab, I commend you."
henslowe,"Love and a bit with a dog, that's what they like."
henslowe,There's a lady knows your play by heart.
viola,"Did you like Proteus or Valentine best? Proteus for speaking, Valentine for looks."
nurse,"I liked the dog, for laughs."
viola,"But Silvia I did not care for much. His fingers were red from fighting and he spoke like a schoolboy at lessons. Stage love will never be true love while the law of the land has our heroines played by pipsqueak boys in petticoats! Oh, when can we see another?"
nurse,When the Queen commands it.
viola,But at the playhouse. Nurse?
nurse,Be still.
viola,I am not so well-born.
nurse,Well-monied is the same as well-born and well-married is more so. Lord Wessex was looking at you tonight.
viola,All the men at court are without poetry. If they look at me they see my father's fortune. I will have poetry in my life. And adventure. And love. Love above all.
nurse,Like Valentine and Silvia?
viola,"No . . . not the artful postures of love, but love that over- throws life. Unbiddable, ungovernable, like a riot in the heart, and nothing to be done, come ruin or rapture. Love like there has never been in a play.  I will have love or I will end my days as a . . ."
nurse,As a nurse.
viola," But I would be Valentine and Silvia too. Good Nurse, God save you and good night. I would stay asleep my whole life if I could dream myself into a company of players."
nurse,"Clean your teeth while you dream, then."
fennyman,This time we take your boots off!
henslowe,"What have I done, Mr. Fennyman?"
fennyman,The theatres are all closed by the plague!
henslowe,"Oh, that."
fennyman,by order of the Master of the Revels!
henslowe,"Mr. Fennyman, let me explain about the theatre business.  The natural condition is one of insurmountable obstacles on the road to imminent disaster. Believe me, to be close by the plague is a bagatelle in the ups and downs of owning a theatre."
fennyman,So what do we do?
henslowe,"Nothing. Strangely enough , it all turns out well."
fennyman,How?
henslowe,I don't know. It's a mystery.
lambert," Should I kill him, Mr. Fennyman?"
messenger,"The theatres are reopened. By order of the Master of the Revels, the theatres are reopened"
frees,Mr. Fennyman! Mr. Tilney has opened the playhouses.
fennyman,Yes I heard.
henslowe, If you wouldn't mind
fennyman,Where is the play?
henslowe,"Oh, it's coming, it's coming."
henslowe,Will! The theatres are
will,"Romeo and Rosaline. Scene One! God, I'm good!"
henslowe,Rosaline? You mean Ethel.
will, Richard!
will,Burbage?
will,Mr. Tilney
tilney,"Like you, I found him not at home!"
will,So this is the favour you find in the Chamberlain's Men.
rosaline,Will!
will, Tell Burbage he has lost a new play by Will Shakespeare.
tilney,What does Burbage care of that? He is readying the Curtain for Kit Marlowe.
will,You have opened the playhouses?
tilney,"I have, Master Shakespeare."
will,But the plague
tilney," Yes, I know. But he was always hanging around the house."
rosaline," Willyou're the only one, Will!--in my heart."
nol, Mr. Henslowe!
henslowe,"Yes, I heard. The theatres are open. But where is my playwright?"
henslowe,"Chalk it up, Nol. I'm hungry, too."
nol,"The special today is a pig's foot marinated in juniper-berry vinegar, served with a buckwheat pancake which has been"
henslowe,Will! Have you finished?
will,"Yes. Nearly.  It's all locked safe in here. We need Ralph for the Pirate King. Good morning, Master Nol. You will have a nice little part."
henslowe,Ned Alleyn and the Admiral's Men are out on tour. I need actors. Those here who are unknown will have a chance to be known.
actor,"What about the money, Mr. Henslowe?"
henslowe,It won't cost you a penny! Auditions in half-an-hour!
ralph,Never when I'm working.
will,Give me to drink mandragora.
barman,"Straight up, Will?"
voice,Give my friend a beaker of your best brandy.
will,Kit
marlowe,"How goes it, Will?"
will,"Wonderful, wonderful."
marlowe,Burbage says you have a play.
will,I have. And chinks to show for it.
marlowe,Not new--my Doctor Faustus.
will,"I love your early work. ""Was this the face that launched a thousand ships and burnt the topless towers of Ilium?"""
marlowe,"I have a new one nearly done, and better. The Massacre at Paris."
will,Good title.
marlowe,And yours?
will,"Romeo and Ethel the Pirate's Daughter.  Yes, I know."
marlowe,What is the story?
will,"Well, there's a pirate  In truth, I have not written a word."
marlowe,Romeo isItalian. Always in and out of love.
will,"Yes, that's good. Until he meets"
marlowe,Ethel.
will,Do you think?
marlowe,The daughter of his enemy.
will, The daughter of his enemy.
marlowe,His best friend is killed in a duel by Ethel's brother or something. His name is Mercutio.
will,Mercutiogood name.
nol,Will--they're waiting for you!
will,I'm coming.
marlowe,I thought your play was for Burbage.
will,This is a different one.
marlowe, A different one you haven't written?
young actor,""" Was this the face that launched a thousand ships, And burnt the topless towers of Ilium? Sweet Helen, make me immortal with a kiss!"""
henslowe,Thank you.
second actor,I would like to give you something from Faustus by Christopher Marlowe.
henslowe,How refreshing.
second actor,"""Was this the face that launched a thousand ships, And burnt the topless towers of Ilium?"""
urchin,"""the topless towers of Ilium? Sweet Helen, make me immortal with a--?"""
henslowe, Thank you!
wabash,"""W-w-w-w-was th-th-this th-th-the f-f- f-face"""
henslowe," Very good, Mr. Wabash. Excellent. Report to the property master."
will,I did not.
henslowe,"Well, I to my work, you to yours. When can I see pages?"
will,Tomorrow
actor,"May I begin, sir?"
will,Your name?
will,Take off your hat.
will,Where did you learn how to do that?
will,Wait there.
will,Let me see you. Take off your hat.
actor,What are we playing?
nol,Where are the pages?
will, Where's the boy?
wabash,B-b-b-b-break a l-l-l-leg!
will,Follow that boat!
boatman,"Right you are, governor!"
will, Yes.
boatman,"Yes, I've seen you in something. That one about a king."
will,Really?
boatman,I had the Christopher Marlowe in my boat once.
will,Do you know that house?
boatman,Sir Robert De Lesseps.
viola,"God save you, mother.  Ho water, nurse."
nurse,Who asks for him?
will,"William Shakespeare, actor, poet, and playwright of the Rose."
nurse,Master Kent ismy nephew.
will, I will wait.
nurse,Much god may it do you.
viola," He sees himself in me! Romeo Montague, a young man of Verona."
nurse, Verona again.
viola, A comedy of quarreling families reconciled in the discovery of Romeo to be the very same Capulet cousin stolen from the cradle and fostered to manhood by his Montague mother that was robbed of her own child by the Pirate King!
servant,Be off!
nurse,"Your mother, and your father"
viola," From tomorrow, away in the country for three weeks! Is Master Shakespeare not handsome?"
nurse,He looks well enough for a mountebank.
viola,"Oh, Nurse! He would give Thomas Kent the life of Viola De Lesseps's dreaming."
nurse," My lady, this play will end badly. I will tell."
viola," You will not tell. As you love me and as I love you, you will bind my breast and buy me a boy's wig!"
will,Master Plum! What business here?
musician,"A five shilling business, Will. We play for the dancing."
servant,"Musicians don't eat, Sir Robert's orders."
will,I seek Master Thomas Kent.
sir robert,"She is a beauty, my lord, as would take a king to church for a dowry of a nutmeg."
wessex,My plantations in Virginia are not mortgaged for a nutmeg. I have an ancient name that will bring you preferment when your grandson is a Wessex. Is she fertile?
sir robert,"She will breed. If she do not, send her back."
wessex,Is she obedient?
sir robert,"As any mule in Christendom. But if you are the man to rider her, their are rubies in the saddlebag."
wessex,I like her.
will," By all the stars in heaven, who is she?"
musician,"Viola de Lesseps. Dream on, Will."
viola,Master Shakespeare
wessex,My lady Viola.
viola,My lord.
wessex,I have spoken with your father.
viola,So my lord? I speak with him every day.
wessex," ""Poet?"""
will," I was a poet till now, but I have seen beauty that puts my poems at one with the talking ravens at the Tower."
wessex,By coveting my property. I cannot shed blood in her house but I will cut your throat anon. You have a name?
