Speaker,Dialogue
brandon,Hi.
alexa,Hi.
brandon,This Way.
brandon,Slowly.
brandon,Do you know what's going on with my computer?
david,They took it.
brandon,"Yeah, I know. Someone could have told me."
david,Some kind of Virus.
brandon,Cool.
david,Some kind of virus. They're stripping it all out.
brandon,Cool.
cute neighbor, Hey.
brandon, Hey.
brandon,You're such a dick
david," Alright, gentlemen, If you'll just please make yourselves at home."
client,Thank you.
david,I hope my wife appreciates it.
david,Oh my goodness.  I love women in suits. I love women in suits.
brandon,Grey suit?
david,I'm gonna go talk to her.
brandon,You should go talk to her.
david,OK...OK..Count me down...
brandon,Yeah you should
david,Boom.
steven,Have fun.
brandon,Twenty bucks says he fucks it up.
elizabeth,Ash is amazing
loren,How's it humping an old man?
elizabeth,"Well, usually I do him on scotch."
rachel,Incoming
david,"Hi, excuse me."
david,My name's David.
elizabeth,Hi David.
david,Elizabeth
david,"It's a beautiful name.  Hi, I'm David. I don't mean to be rude."
loren,Loren.
david,"Hi, how are you?  David."
rachel,Rachel.
david,"Nice to meet you, nice to meet you.  Can I buy you all drinks?"
elizabeth,"Sure, why not."
david,I would love that. That would be my pleasure. What are you guys drinking? What do you want?
elizabeth,"Well, we were thinking shots."
david,You were thinking shots?
elizabeth,Sure.
david,We just did shots of tequila. Would you guys like a shot of tequila?
elizabeth,Bring it on.
david,Love it. Love it.
elizabeth,Hmm.
david,"I can see you're very successful. Yeah, I think part of the secret to my success is, is attention to detail and.."
loren,Oh.
elizabeth,Detail?
david,Yeah.
loren,Play the game.
david,What game?
elizabeth,"Ok, er.. Blue or green?"
david,"I like games, I like this game. Blue..  Green. Green, it's green."
david,That's amazing. That's a real talent.
elizabeth,"Yeah, detail man. Detail man."
david,"Hey buddy, hey buddy. Hey."
elizabeth,OK
david,Blue or green?
brandon,Brown..
david,"Fuck Off.  Alright you. Hey, Loren. Loren. Close your eyes."
brandon,Blue.
loren,Blue.
david,That's... you're just making that up.
david,He's just.. He's just picking colors randomly.
elizabeth,You can have his shot.
david,"You know what? Excuse me. We need another shot, please."
david,"No, no, no. I told you that... I had it."
david,Ill get the next round.
elizabeth,Sure.
david,"You're a strong, independent woman. I like that, I like that."
david,"Listen, cheers."
all,Cheers
elizabeth,"To nailing it, and-"
elizabeth,Success. Yes. Cheers.
david," Oh, Fuck."
elizabeth, Whoah.
brandon,So what do you girls do for fun?
elizabeth,"Fun? Er, karate."
elizabeth,Erm..
david,Come on.
elizabeth,Oh..
david,Yeah. Come on. You're a fun girl. It'll be fun. Come on.
david,"There you go. Mwah! You're beautiful. Alright, alright, spinning, spinning, spinning. Wooh!"
loren,I'm grabbing her purse `cos she's gonna get robbed and roofied.
loren,Dance?
brandon,No.
loren,Are you sure?
brandon,I'm sure.
david,"Ok, ok, ok, ok, ok, ok. Hold on, hold on. No, listen. I just got to talk to you one more time, one more time. Listen.."
david,"Come on, we can play that game. That's so much fun when you play that game."
loren,Bye.
david,It's okay. `cos I'm going this way.
brandon,"Hey man, he's going uptown."
david, Ok.
brandon,I'll see you tomorrow
elizabeth,Hey. Wanna ride?
brandon,Sure.
brandon, I'll fucking kill you!-
brandon,What the.. What the fuck?
sissy,Fuck! Fuck! Ow! Fuck! -
sissy,Brandon. Don't you fucking knock?
brandon,What the fuck. Why would I knock? I live here.
sissy,Oh fuck.
brandon,How'd you get in?
brandon,Fuck.
sissy, You fucking scared me
brandon,Don't I always say call me first if you're coming into town?
brandon,Shampoo
brandon,Lock the door next time.
sissy,Yeah.
brandon,Don't use all the towels
sissy,I won't.
sissy,..I want you. I don't want anyone else. There is no one else. I love you. I'll do anything.
sissy,"I don't have to go out. I don't have to go out. I don't even fucking want to go out. I can stay with you. I don't care. I don't care. I don't need anybody else. I love you. I love you. I love you so much  I love you, please. I love you. I love you."
sissy,Please  I feel sick. I feel really sick-
sissy,Morning. Nice earring. Hot date?
brandon,Juice?
sissy,Mmm.
brandon,Will you use a glass?
sissy, Sorry.
brandon,Sit down.
sissy, Fuck you!
brandon,"Yeah, sure."
sissy, Can I stay?
brandon,You want toast?
sissy,Just for a few days.
brandon,Mark?
sissy,Pretty please?
brandon,"Look, you get the sofa and you get your ass off it-"
brandon,OK.OK.OK.OK.
brandon,We leave in fifteen.
sissy,OK!
brandon,Stop fucking around.
sissy,You have fluff.
brandon,I like it there.
brandon,How are you for money?
sissy,I'm good.
brandon,Cause if you need some money.
sissy,"Honestly, I even make money now and everything."
brandon,"Yeah, sure."
sissy,Huge amounts.
brandon,Are you collecting mad hats?
sissy, You should come and hear me.
brandon,Yeah. I will.
sissy,"`Yeah I will', like, `yeah I will' like last time? Please come."
brandon,"Where'd you get this, anyway."
sissy,It's vintage.
brandon,"Yeah, I can see that."
brandon, Do you like?
sissy,Yeah.
brandon,Ok. I will.
sissy,Yaay!
brandon,Sorry. Sorry.
steven,"Well, well, well."
brandon,"Morning, asshole."
steven,Look who's decided to grace us with his presence.
brandon,Yeah.
