Speaker,Dialogue
2.,"1   CONTINUED:                                                       1 The RUNNING MAN leans down as if to assist, but instead just picks up the smoker's broken umbrella and studies it. The MAN in the deerstalker hat's eyes widen as he recognizes his famous assailant."
man,Sherlock Holmes?!
holmes,"My apologies. Send the bill to John Watson, 221B Baker Street."
another angle," Holmes bursts out of an alley, sprints round a corner and runs across a courtyard to a side door.  WE PULL BACK to see the FACADE OF ST. PAUL'S CATHEDRAL. "
thug,"What's goin' on, John?"
holmes,"Hhhmm, good cigar. Who do you work for?"
5.,7   CONTINUED:                                                          7 ANOTHER ANGLE
holmes,Watson.    Perfect timing.
watson,Nice hat.
holmes,Just got it.    Where's Lestrade?
watson,Getting his troops in formation. Is that your blood or theirs?
holmes,I don't know.    It's an old shirt.
watson,You left this behind.
holmes,Knew I'd forgotten something. Thought I'd left the stove on.
watson,You did.
holmes,Right.    Shall we?
5a.,"7   CONTINUED:                                               7 He can see the hat, but not the man underneath."
watson,"Yeah, s'me."
watson,The girl. 
7.,"9A   CONTINUED:                                                     9A The girl bends with alarming and mechanical suddenness, picks up the sword and turns it on herself, ready to plunge the point into her heart."
watson,"Lord Blackwood?! Blackwood applauds softly, strangely."
blackwood,"Well done, Holmes. And Watson as well."
watson,Stay right there.
blackwood,"Tell me, doctor, as a medical man, how did you like my work?  The fifth one was so scrawny, it was over before I'd finished the first incision."
holmes,No.
holmes,Look.
8.,"9A   CONTINUED:                                                 9A Holmes seems to be pointing at Blackwood.   Watson looks, sees nothing."
holmes,Look.
blackwood,What a shame.    That would've been fun.
holmes,"Impeccable timing, Lestrade."
lestrade, Is that -- ?
watson,It is.
holmes, And one for the rope.
lestrade,You should've waited for my help.
holmes,"If I had, you'd be cleaning up a corpse and chasing a rumor. Besides, the girl's parents hired me, not the Yard.  I can't imagine why they thought you'd need any assistance."
9.,"9A    CONTINUED:                                               9A Lestrade turns, frustrated. He watches his men yank Blackwood out of his double circle, put chains on him, while others carry the girl away on a stretcher. She's still mouthing the incantation."
lestrade,What do you make of that?
holmes,Some kind of ceremony. Five girls killed beneath cathedrals at the height of the full moon.  The double circle's for his own protection.
lestrade,London will breathe a sigh of relief --
watson,-- at the excellent work of Scotland Yard. As usual.
holmes,"Bravo, Lestrade. Have a cigar."
captain philips,"Me nerves are the best they been in years, thanks to you."
11aa.,12   CONTINUED:                                                 12 Watson is pleased by that.
