Speaker,Dialogue
jack,"Hi, I've got an appointment with Mr. Ullman.  My name is Jack Torrance."
receptionist,His office is the first door on the left.
jack,Thank you.
jack,Mr. Ullman?
ullman,Yes?
jack,I'm Jack Torrance.
ullman,"Oh, well - come on in Jack."
ullman,Very nice to meet you.
jack,"Nice to meet you, Mr. Ullman."
ullman,"This is my secretary, Susie."
secretary,Hallo.
jack,"Susie, how do you do?"
ullman,Have any trouble finding us?
jack,"Oh, no problem at all.  I made the trip in three and a half hours."
ullman,"Well, that's very good time, very good.  Please sit down a minute."
ullman,"JAck, just make yourself at home. Would you like some coffee?"
jack,"Well, if you are going to have some, I wouldn't mind.  Thanks."
ullman,Susie.
secretary,Sure.
ullman,"Oh, and would you ask Bill Watson to join us?"
secretary,"Yes, I will."
danny,Mom...
wendy,Yeah.
danny,Do you really want to go and live in that hotel for the winter?
wendy,"Sure, Danny, it will be lots of fun."
danny,"Yeah, I guess so.  Anyway, there's hardly anybody to play with around here."
wendy,"Yeah, I know.  It always takes a little time to make new friends."
danny,"Yeah, I guess so."
wendy,"What about Tony?  He's looking forward to the hotel, I bet."
tony,"NO, I ain't Mrs. Torrance."
wendy,"Oh come on, Tony.  Don't be silly."
tony,"I don't want to go there, Mrs. Torrance."
wendy,"Well, how come you don't want to go?"
tony,I just don't.
wendy,"Well, let's just wait and see. We're all gonna have a real good time."
ullman,"Bill, I'd like you to meet Jack Torrance."
watson,How do you do?
jack,"Bill, how do you do?"
watson,Pleased to meet you.
jack,Pleasure to meet you.
ullman,"Grab a chair Bill, and join in."
ullman,Jack is going to take care of the Overlook for this winter.  I would like you to take him around the place as soon as we are through.
watson,Fine.
ullman,Jack is a schoolteacher.
jack,Eh - formerly a school-teacher.
jack,I'm a writer um... Teaching has been more or less a way of making ends meet.
watson,Well this ought to be quite a change for you.
jack,"Well, I'm looking for a change."
ullman,"Let's see, where were we?  Yes.  I was about to explain that eh... our season here runs from oh May 15th to October 30th and then we close down completely until the following May."
jack,Do you mind if I ask why you do that?  It seems to me that the skiing up here would be fantastic.
jack,"Well, it's certainly got plenty of that."
ullman,That's right.  And did they give you any idea in Denver about what the job entails?
jack,Only in a very general way.
ullman,Well...
jack,"Well, that sounds fine to me."
ullman,"Physically, it's not a very demanding job.  The only thing that can get a bit trying up here during the winter is eh... the tremendous sense of isolation."
