Speaker,Dialogue
shrek,"Once upon a time there was a lovely princess. But she had an enchantment upon her of a fearful sort which could only be broken by love's first kiss. She was locked away in a castle guarded by a terrible fire-breathing dragon. Many brave knights had attempted to free her from this dreadful prison, but non prevailed. She waited in the dragon's keep in the highest room of the tallest tower for her true love and true love's first kiss. "
man1,Think it's in there?
man2,All right. Let's get it!
man1,Whoa. Hold on. Do you know what that thing can do to you?
man3,"Yeah, it'll grind your bones for it's bread."
shrek,"Yes, well, actually, that would be a giant. Now, ogres, oh they're much worse. They'll make a suit from your freshly peeled skin."
men,No!
shrek,"They'll shave your liver. Squeeze the jelly from your eyes! Actually, it's quite good on toast."
man1,"Back! Back, beast! Back! I warn ya! "
shrek,This is the part where you run away. 
guard,All right. This one's full. Take it away! Move it along. Come on! Get up!
head guard,Next!
head guard,That's 20 pieces of silver for the witch. Next!
guard,Get up! Come on!
head guard,Twenty pieces.
little bear, This cage is too small.
donkey,"Please, don't turn me in. I'll never be stubborn again. I can change. Please! Give me another chance!"
old woman,"Oh, shut up. "
donkey,Oh!
head guard,Next! What have you got?
gipetto,This little wooden puppet.
pinocchio,I'm not a puppet. I'm a real boy. 
head guard,Five shillings for the possessed toy. Take it away.
pinocchio,"Father, please! Don't let them do this! Help me!"
head guard,Next! What have you got?
old woman,"Well, I've got a talking donkey."
head guard,"Right. Well, that's good for ten shillings, if you can prove it."
old woman,"Oh, go ahead, little fella."
head guard,Well?
old woman,"Oh, oh, he's just...he's just a little nervous. He's really quite a chatterbox. Talk, you boneheaded dolt..."
head guard,That's it. I've heard enough. Guards!
old woman,"No, no, he talks! He does.  I can talk. I love to talk. I'm the talkingest damn thing you ever saw."
head guard,Get her out of my sight.
old woman,"No, no! I swear! Oh! He can talk!"
donkey,Hey! I can fly!
peter pan,He can fly!
head guard,He can talk!
donkey,"Ha, ha! That's right, fool! Now I'm a flying, talking donkey. You might have seen a housefly, maybe even a superfly but I bet you ain't never seen a donkey fly. Ha, ha! "
head guard,Seize him!  After him!
guards,He's getting away! Get him! This way! Turn!
head guard,You there. Ogre!
shrek,Aye?
