Speaker,Dialogue
signs, by  M. Night Shyamalan
merrill,Where are they?
children, Daaaad!
graham,Bo where's Morgan?
graham,Bo?
bo,Are you in my dreams too?
graham,This isn't a --
graham,Morgan what's happening?
graham,Are... you... hurt?
morgan,I think God did it.
graham,Did what Morgan?
graham, ... Lee actually the reason I'm calling is about Lionel.
graham, Was he at home last night with you or was he out and about with the Wolfington brothers?
graham," Well, there was a little mischief done to our crops last night."
graham, I know he's a fine boy... No one's saying otherwise.
graham," Okay, then... Thank you for your patience Lee."
morgan,Houdini peed.  I think he's sick.
graham,Take him outside.  I'll call Dr. Reynolds.
graham,That was quick Edgar.  I only called you boys about two hours ago.
officer paski,"Mrs. Kindleman twisted her ankle as she put it, ""diving for her life"" when a bunch of school kids rode down the sidewalk on skateboards. She went down to Thorton's store this morning and started spitting on the new skateboards.  Spitting! By the time I got there, Mrs. Kindleman had sprayed the whole damn place... She must have had a cold or something.  It was enough to turn a grown man's stomach."
officer paski,So what happened to your crops?
bo,I think it's contaminated.
morgan,You don't even know what that word means.
morgan,It's not contaminated.  It's just tap water.  Pour it in his bowl.
bo,It tastes funny.
morgan,He licks his butt everyday.  He's not going to mind.
morgan,Houdini?
morgan,Bo don't run.
morgan,What's wrong boy?
morgan,Stop it Houdini!
morgan," Bo, run."
officer paski, It's the strangest thing Father.
graham, Don't call me Father.
officer paski, What's that?
graham, Don't call me Father.  It's just Graham now.
officer paski, Sorry.
graham, You said something was strange. What's strange?
officer paski, The footprints.
graham, What about them?
officer paski, There are none.
officer paski, Look at where it's bent over.
graham,It's not broken.
officer paski,What kind of machine can bend a stalk of corn over without cracking it?
graham, Can't be by hand... It's too perfect.
officer paski,Doesn't sound much like Lionel Prichard and the Wolfington brothers.  They can't take a piss without wetting the front of their pants.
officer paski,Second thing this week I can't explain.
graham,What was the first thing?
officer paski,Some animals around the county exhibiting uncharacteristic behavior.  Sometimes violent behavior.  Theo Henry had two of his fingers bit off by his cow.
graham,Sounds like a virus.
officer paski,"No Father, they're edgy.  On alert. Like they act when they smell a predator around... Peeing on themselves and everything."
graham," Edgar, please don't call me Father."
officer paski,What's wrong?
graham,I don't hear my children.
morgan, He wanted to kill Bo.
graham,Did he hurt you?
graham, I'm so sorry Morgan.
merrill,I used a little Tabasco in the potato salad.
bo,Houdini's sick.
graham,Please tie up Isabelle to the back of the shed.  Make sure the knot's tight.
graham,"They're tough cookies, those two. They think Houdini's playing with you up there.  At least it got them to sleep."
graham,Okay Miss Puzzle Master.  I got one for you... What can make geometric shapes the size of a football field... and what would scare every animal in this county?  Give me a hint Colleen... Is it bigger than a bread box?
graham,What's the matter?
bo,I saw a monster.  Can I have a glass of water?
graham,What's wrong with the water next to your bed?
bo,It tastes old.
graham,What's the rule about getting up in the middle of the night?
bo,Only for pee or poop.
graham,Right.
graham, What are you thinking about?
bo, Why do you talk to mom when you're by yourself?
graham, It makes me feel better.
bo, Does she ever answer back?
graham, No.
bo, She doesn't answer me either.
bo, Get under a blanket.  They can't get you under the blankets.
merrill,"Okay, this guy is trying to scare us.  He's messed with our property, he's coming around the house.  It's time for an ass whoopin'!"
graham,This is not an intelligent way to approach this.
merrill," We both go outside and move around the house in opposite directions. We act crazy, insane with anger. Make him crap in his pants and force him around till we meet up on the other side."
graham," Explain, act crazy?"
merrill, Curse and stuff.
graham, I'm not going to curse.
merrill, You don't mean it.  It's just for show.
graham, It doesn't sound natural when I curse.
merrill, Just make noises then.
graham, Explain noises.
merrill, Are you going to do this or what?
graham, No I'm not.
merrill, You want him coming in the house next time?
merrill, One... two... three.
merrill,We're gonna beat your ass bitch!
graham,Ahhhh... I'm insane with anger.
graham,I've lost my mind!  It's time for an ass whoopin'!
merrill,I'm gonna tear your head off!
graham,I cursed.
merrill,I heard.
graham,He's on the roof.
officer paski,You can't describe him at all? Don't you think that's find of odd?
graham,It does seem kind of odd doesn't it?
officer paski,I don't know whether to look for a midget or a --
graham,He definitely wasn't a midget.
officer paski,Okay.  So he was tall?
graham, I would say so.
merrill,Probably.
officer paski,Over six feet?
merrill,It was very dark.
graham,"Yes, it was."
officer paski,We've established that.  Just tell me about his clothing then.
officer paski,Was he wearing a Scottish kilt or jeans?
officer paski,"Let me ask you two something. Don't be embarrassed by the answer. It is possible... Just possible now, you might have been chasing each other around?  You said you went in opposite directions."
graham,"Edgar, it sounds as strange to me saying it, as it is to you hearing it.  But we couldn't see him.  He stayed mostly in the shadows.  All we could make out was movement.  I need you to take this seriously, just incase, it is something serious."
officer paski,I apologize.
morgan,Can I use Bo's old baby monitor as a walkie-talkie?
graham,Yes.
morgan,It needs batteries.
graham,"Edgar, come inside."
officer paski,"How certain are you, that this was a male?"
merrill,I don't know any girls can run like that.
morgan,These are D's; I need double A's.
graham,I have some upstairs.
officer paski,I don't know Merrill.  I've seen some of those women on the Olympics.  They could out run me easy.
merrill,This guy got on the roof in like a second.
graham,"Bo, can you turn down the volume until Officer Paski leaves?"
merrill,That roof is over ten feet high.
graham,"He's telling you the truth, Edgar. Whoever it was, is very strong and can jump pretty high."
officer paski,They got women's high jumping in the Olympics.  They got these Scandinavian women who could jump clean over me.
graham,"Shoot, it needs a screw driver.  I have double A's in here."
graham,I know you're making a point Edgar. I just don't know what it is.
officer paski,"Yesterday afternoon, an out of town woman stopped by the diner and started yelling and cussing cause they didn't have her favorite cigarettes at the vending machine. Scared a couple of customers.  No one's seen her since... My point is, we don't know anything about the person you saw.  We should just keep all possibilities available."
bo,"Dad, where's the remote?"
graham,"Bo, you're too old to still be doing this.  The rule is, you take a glass of water, you finish it.  Now what's wrong with this one?"
bo,There's dust in it.
graham,This one?
bo,A hair.
graham,This one?
bo,Morgan took a sip.  It has his amoebas in it.
merrill,"Excluding the possibility that a female Scandinavian Olympian was running around outside our house last night, what else is a possibility?"
officer paski,I'm not done asking questions and I don't appreciate the sarcasm.
officer paski,"Do you have anyone who might have a grudge or something against you? Maybe a church member, who might not have liked the fact, that you left the church?"
graham,I don't think so.
officer paski,Do you owe anybody money?  You can tell me off the record if you need too.
graham,No.
merrill,No.
officer paski,Is anything missing?
graham,No.
morgan,It's still making the noises.  It's broken.
graham,It's old Morgan.
merrill,"Listen, I was out of line with that whole female Scandinavian Olympian thing."
merrill,"It's just that, I'm pretty strong and pretty fast.  And I was running as fast as I could.  And this guy...  He was just toying with us."
officer paski,Could everyone just take a seat on the couch.  I have some preliminary thoughts.
officer paski,"There are three possibilities here. We'll call them one, two and three. The level one scenario is that there is a sane individual, who for real reasons wants to do you harm. I really don't believe that's what we're looking at here.  In my opinion, whoever this is, they don't want to do harm to you all. That's kind of clear.  I assure you I will treat all three possibilities carefully, but in all likely hood we are looking at what we'll call a level three scenario. He's a watcher.  Someone who this is a game for.  He's laying low. Doesn't want to be seen.  But he wants to watch you.  Study you folks."
officer paski,Now I don't want you all to worry about this no more.  You're making more of this than it is.  Maybe you guys should do something fun?  Let me worry about this person.  Let me find out who it is and then -- What the hell are you people looking at?
officer paski,I'll be damned.
graham,Turn up the volume Bo.
bo,I can't find the remote.
tv anchor,"-- images were shot yesterday afternoon by a thirty-four year old local camera man in Kerala, a southern city of India.  It is the eighteenth reported crop circle found in that country in the last seventy-two hours."
