Speaker,Dialogue
arnie,Stuck tighter'n dogshit in a deep freeze!
arnie,Hot damn! Now... a little oil...
arnie,"It's not bitter, not sweet... it's a big fuckin' treat..."
arnie,Oh n-
jane,"I'm going out for a while, 'kay?"
nan,All right. Stay close. And make sure your brother's all right.
lowe,For the last ten years...
lowe,"For the last ten years, I have had a dream. A dream of a time when modern medical care would come to this small community, which sometimes seems so far from Durham, with her lifesaving hospitals. I hope that this meeting, at which I see so many of my friends gathered, will be the start of making my dream come true."
marty,Lemme hold him!
brady,I got an idea.
marty,What?
marty,You wouldn't.
marty,You would.
lowe,"An endeavor like this seems to me to be the very definition of community - all of us pulling together as one, farmers and merchants... Protestants and Catholics..."
marty,"It was just a blacksnake, Jane-"
jane,Look at my knees! Look at my dress! I hate you!
brady,Did wittle Janie make wee-wee in her teddies?
marty,"Stop it, Brady."
brady,"Ooooh, naughty!"
marty,"Jane, I'm sorry. It was just a joke. We didn't mean-"
jane,"Oh, no! You never mean to! I hate you, you booger!"
marty,"Oh, shut up, Brady. You're warped."
jane,Stella? Is that you?
jane,Who's going away?
stella,"What am I going to tell my mother? If he won't marry me, what am I going to tell my mother?"
stella,"Oh, leave me alone! Just leave me alone, you stupid thing!"
nan,"I want you two to bury the hatchet. You're being very silly, Jane."
marty,"Jane, I-"
nan,I think you're being mean as well as silly. Your brother has never had a scraped knee in his whole life.
jane,"You always take his side because he's a cripple! Well, it's not my fault that he's a cripple!"
marty,"Come on, Jane- it was Brady's idea. I couldn't stop him."
jane,Brady's a booger and so are you!
nan,Jane Coslaw!
bob,They had to pick up what was left of him in a peach basket.
jane,"Oh, Daddy! Gross!"
marty,"Did he really get his head cut off, Dad? That's what Brady said."
jane,If you don't stop it I'm going to vomit. I mean it.
marty,Can I come in?
jane,What's the money for?
marty,A new pair of panty hose. Is it enough?
jane,I don't want your money. You're a booger.
marty,"It was Brady's idea, Jane. Honest to God. Please take the money. I want to make up."
jane,I can get a pair of L'Eggs down at the pharmacy for a dollar forty-nine. Here.
marty,"That's for you, too. Uncle Al gave it to me-"
marty,-but I want you to have it.
marty,"Yeah, go ahead."
jane,You booger!
jane,Go to hell!
stella,Suicides go to hell. Especially if they're pregnant. And I don't even care.
mother,Oh my dear God... Stella!
mother,Stella!...Stella!
pete,"What'd they say, Joe?"
haller,They said they'd be here by noon.
brady,Look out! Look out! It's Madman Marty and the Silver Bullet!
brady,"You glad to be back in jail, Marty?"
marty,Sure - I like school.
tammy,You booger.
marty,"That's what my sister says, too. Pretty soon I'm going to start checking the mirror to see if I'm turning green."
brady,"I gotta split - see ya, Marty... Tammy."
marty,"Not bad, huh? My Uncle Al took off the regular muffler and put on a Cherry Bomb."
tammy,What's that?
marty,Glasspack. He said he'd come over sometime this summer and we'd soup up the engine... but now I dunno. He's getting a divorce and he's in the doghouse with my mother.
tammy,For getting a divorce?
marty,Well... it is his third.
tammy,"Thanks for coming with me, Marty- I was scared to go past her house by myself."
tammy,"I mean, I saw her. All the time."
tammy,"I used to see her every day, and she never knew what was going to happen to her, and neither did I! I mean I know how stupid that sounds, but..."
marty,"Hey, take it easy. I know how you feel."
tammy,There's something else scary.
marty,What?
tammy,I've been hearing noises in there.
marty,What kind of noises?
tammy,Rattling. Rustling.
marty,Rats...
tammy,And my dad says it's kids. But it's not rats and it's not kids. It's-
milt,"Tammy, you get on in here and do some dishes!"
marty,"I'd go out and take a look myself, but I think the Bullet'd get stuck in the garden. It looks sorta greasy."
tammy,"You would, wouldn't you?"
tammy,"Well, it's probably nothing. I'm just spooked since... you know."
marty,"Yeah... but if you hear any more noises, tell your father. Okay?"
tammy,"Okay. Have you got enough gas to get home, Marty?"
marty,"I'm always doing this! I gotta go, Tammy."
milt,'Bout time. Why you want to hang around that cripple?
tammy,I like him.
milt,Goddamn cripples always end up on welfare. Ought to electrocute all of 'em. Balance the fucking budget.
virgil,"Well, Marty! I see you lucked out again!"
marty,"Yep. Would you fill it up, please, Mr. Cutts?"
virgil,Want me to check the oil?
marty,Sure!
virgil,Wipe the windshield an check the driver's bullshit level?
marty,"Okay, okay. I call."
uncle al,"Wait a minute, wait a minute!"
uncle al,Ralph Houk! You can't bet a manager! Stone the crows!
marty,"Okay, okay. Dwight Evans."
uncle al,Piss on him. Piss on all the Red Sox.
nan,"Come on, Marty- bedtime."
marty,Mom-!
uncle al,"Let the boy finish the game, Nan."
nan,Make it quick.
uncle al,Three kings.
uncle al,Bullshit luck!
nan,"I don't want you drinking around Marty. That's too much. If you can't stop it, you better stay away."
uncle al,I come here because Marty needs a friend.
nan,"Yes... you've always been that to him. But if you can't leave your booze in whatever dump you call home, you better just stay away."
marty,"Mom was really mad at him this time, wasn't she?"
jane,"What do you expect, when he comes in smelling like a brewery and looking like an unmade bed?"
marty,Stop it!
jane,"He's okay, Dad!"
marty,Yes. Go away.
jane,Let me help you up.
nan,"Jane, have you been teasing your brother again?"
marty,"She wasn't, Mom- I dropped my toothbrush and fell over when I tried to get it. Jane helped pick me up."
nan,Jane Coslaw!
milt,Let's see if you want to come back and break my pots all to shit after I put some rock salt in your asses!
virgil,"But the woman's bed was ripped right down the middle, Elmer- it's take a chainsaw to do something like that!"
porter,Damn straight!
elmer,"Shut up, Porter.  What about the tracks?"
virgil,That could be something to throw off the cops. And it ain't animals that try to confues the law; it's people do that.
andy fairton,Law around here don't need much confusing.
andy,"Could be I know a fat old fella who ought to take care of his mouth before someone comes along and turns it inside out. I pay Joe Haller's salary to keep the people in this town safe, and he ain't doing it."
andy,"What are you, trying to be smart?"
owen,You guys turn down the thermostat or I'm gonna turn you all out. Now who's drinking?
brady,Drop it!
jane,"Marty Coslaw, you get down out of that tree!"
marty,"Push the Bullet over, Jane, okay?"
jane,"They both are. At me, for not getting you sooner. I ought to let you fall."
jane,"Come on, Marty."
owen,Jesus wept.
pete,"You heard what I said, motormouth."
herb,Brady!
herb,Get out of my way!
haller,"Stay off the bandstand, Herb."
herb,Is it my boy? Is it Brady?
haller,Don't go up-
herb,Br-
pete,"Joe, is it-"
pete,Is it the Kicaid b-
andy,What the fuck is going on h-
herb,We'll bury his shoes because his feet are still in them and they're the only part of him that makes sense anymore.
herb,It's gonna be the cheapest funeral this town ever saw!
lowe,"Mr. and Mrs. Kincaid have asked that there be no mass said here this afternoon. There will be a requiem mass for Brady Kincaid this Sunday. They did ask me to say a word of comfort to you, if I could."
lowe,"If there is any word of comfort I can give you, it's just this: the face of the beast always becomes known; the time of the beast always passes."
lowe,"If there are times when we feel alone and afraid, only small creatures in the dark, then these are the times when we must turn to one another for our comfort and our hope. To our neighbors. To our community. To our love for each other. I alone cannot ease the pain for Herb and Naomi Kincaid, nor can I ease your pain, nor you ease mine. But if I believe anything it's this: we can comfort each other. We can heal each other. We can go on together."
lowe,"The Bible tells us not to fear the terror that creepeth by night or that which flieth by noonday, and yet we do... we do. Because there is much we don't know, and we feel very small. But we must not be alone. We must not allow ourselves to be alone, for there is the wide gate to the hell of terror. Turn to each other. Join hands in your sorrow and try to remember that the face of the beast always becomes known.  Let us pray."
uncle al,"You all right, Marty?"
marty,Yeah.
uncle al,There's a saying- so-and-so was better than a poke in the eye with a sharp stick. You ever hear that one?
marty,No.
uncle al,"Well, I'm not sure that was. Christ! They better get the guy."
marty,"Uncle Al, what if it's not a guy?"
uncle al,Huh?
marty,What if it's some kind of monster?
marty,"What's going on at Owen's, Uncle Al?"
uncle al,"A bunch of men getting ready to pretend they're Clint Eastwood... Marty, didn't anybody ever tell you that the only monsters are in comic books and drive-in movies?"
marty,"Tammy said she'd been hearing noises in that greenhouse. Growling noises, like a big animal. Her father was killed that night."
uncle al,"Marty, you have to get this idea out of your head. Psychotics are more active when the moon is full, and this guy is a psycho. He's going to turn out to be as human as you or me.  In a manner of speaking. Now let's get you inside."
andy fairton,"Okay, you all know what group you're in and what area you'll be covering, right?"
porter zinneman,Damn straight!
elmer zinneman,"Shut up, Porter."
andy,Groups one through four are in the woods north of the Sturmfuller place. Five and six west of Carson Creek.
elmer,"Shut up, Porter."
andy,"Just remember, it's the psycho we want, not each other. So look before you-"
haller,I want all of you folks to go home!
haller,I can't remember deputizing a single one of you!
andy,"That's right, Joe- the only deputy you got is that fat shitbag beside you, and neither one of you has done a damn thing about solving this case."
andy,You couldn't catch a cold.
haller,"The law has a name for what you men are planning. It's private justice, and private justice is about a step and a half away from lynch mobs and hang ropes. I'm no J. Edgar Hoover, but I am the law in Tarker's Mills, and I want you men to go home."
andy,Don't let this guy scare you! What's he done since this thing started but hang his face out?
owen knopfler,"Ah, shut up, Andy."
andy,Don't tell me to-
herb,Yes. Correct. Shut up.
haller,Herb...I know how upset- how grief-stricken you must be...but-
haller,"Yes. Yes, but-"
herb,"My son was torn to pieces!  You come in here and talk to these men about private justice. You dare to do that. Constable Haller, why don't you go out to Harmony Hill and dig up what's left of Brady and explain to him about private justice. Would you want to do that?"
herb,No. I thought not.  You folks stay here if you want. I wouldn't ask anyone to do anything that runs counter to his conscience. As for me... I'm going out and hunt up a little private justice.
lowe,"Billy... Billy, this is a bad idea. Joe can..."
haller,Let them go.
lowe,But-
haller,"This is that spirit of community you were talking about. Grand, ain't it? Maybe they'll shoot a hitchhiker or something and Andy can mount the head and raffle it off. To benefit the Medcu van, of course."
lowe,But can't we do anything?
haller,Sure. We can pray to Christ that none of them get killed.
