Speaker,Dialogue
pat,"What, are you kidding me? Sundays? I love Sundays. I live for Sundays. The whole family's together. Mom makes braciole. Dad puts the jersey on. We're all watching the game. Yeah, it drives me crazy, and yes, I was negative."
pat,"I lost all that. I blew it. But you also blew it. We can get it back. We're gonna get it back. It's all gonna be better now. I'm better now and I hope you are, too. And I'm"
pat,I'll be there in a minute. Pat returns to his speech.
danny,"Yeah, that's when I had long hair. People say I talk about my hair too much."
pat,"Once you get in the right frame of mind, I think anything's possible. I think we get, we so often get caught in this state of negativity and it's a, it's a poison like nothing else."
dolores,I don't want him to get used to the routine here. Eight months is already long enough.
pat,"Hey, Mom. Can we give Danny a ride to North Philly?"
dolores,What? I don't understand.
pat,"Mom, no, it'll be fine. It'll be fine."
danny,"I guess everybody's leaving today! Hello, Mrs. S. An honor to finally meet you. Pat told me all about you, how God made you rich in character, and you're the mighty oak that holds the household together, and not to mention the lasagna you make on game day when the Birds play."
pat,Danny was in for assault because of crystal meth and alcohol.
danny,Bad combination.
pat,Yeah. On top of an anxiety disorder.
danny,"That was when I was an X-ray technician with my ADD and my anxiety. I had a lot of access to medication and I took advantage of it. That's when my hair was long, too. But my hair only grew when I was older. When I was younger, my hair didn't grow because my brother..."
dolores, Hello?
danny,You like it?
pat,It's good now.
dolores," Yes, it is."
danny," Wait, you're going the wrong way!"
dolores, What? Are you sure about that? I'll bring him back right away.
pat,"All right, Mom, just hold on a sec."
pat,"Mom, just listen--"
dolores,Don't tou-...
dolores,...-ch the steering...
dolores,"Pat, this whole thing was a mistake."
pat,"I'm sorry, Mom. You okay?"
dolores,I am out on a limb for you with the courts right now.
danny,"It's my fault. Pat didn't know. Pat didn't know. He's my friend, so he was rootin' for me."
pat,"Mom, can we stop at the library? I wanna read Nikki's entire English high school syllabus."
randy,"Come on, tell me that one."
randy,You know something? It's nothing new. Your team does that all the time. They get close...
randy,"Because we are, we're America's Team."
randy,What's more American than a cowboy?
randy,What?
randy,Benjamin Franklin?
randy,You mean the guy with the...
randy,...little glasses and the long scraggly hair?
randy,"If he wasn't on the hundred dollar bill, nobody..."
randy,"I didn't even touch `em. Why are you--, don't blame me."
randy,"No, I don't touch them. As a matter of fact, I don't know why you need so many. Hey, there she is! Look how beautiful!"
randy,Hey.
pat, Mm-hmm.
pat,It's right here.
pat,You still got yours?
dolores,"Well, he's ready. Look at him."
pat,You didn't tell Dad you were picking me up?
dolores,Don't worry about that.
dolores,The court said yes. Don't worry.
pat,"Yeah, and the court said--"
pat,"Dad, relax. The court said it's fine, okay? Let it go."
dolores,Don't worry.
pat,"Dad, I'm in there because of the court. That's the agreement that we made months ago. It was a plea bargain with the courts. The lawyer, he instructed me, he said that what we should plead that, and then I would serve eight months and then I'd get out."
dolores,It's all under control.
pat,Thank you. So what are you doing with yourself?
pat,How you gonna pay for it?
pat,From your bookmaking?
pat,Mom told me. Outside.
dolores,"I did not. No, I didn't."
pat,"You just told me outside, Mom, what are you talking about? Five minutes ago, we were walking up the stairs, you said, ""Don't say anything, but Dad lost his job and he's bookmaking."""
pat,"Good, Dad. Good."
pat,"What am I gonna do? I'm getting in shape, I'm getting trim, I'm getting really fit for Nikki. I'm gonna read Nikki's teaching syllabus and get my old job back."
pat,"Let me tell you something. You don't know anything about my marriage, okay, Dad? All right? Our marriage...we're very, very much in love, okay? Just like you two."
pat,"What are you doing, Dad? You know what? Excelsior. Excelsior."
pat,"It means you know what I'm gonna do, I'm gonna take all this negativity and use it as fuel and I'm gonna find a silver lining, that's what I'm gonna do. And that's no bullshit. That's no bullshit. That takes work and that's the truth."
pat,What the fuck?!
dolores,"It's four o'clock in the morning, Pat."
