Speaker,Dialogue
sister immaculata,Who can name all the Apostles?  Yes?
sister immaculata,Christine?
christine,"Sister, may I be excused?"
sister immaculata,Christine...
christine,It's an emergency.  Real bad.
christine,"Hi, Jimmy."
sister immaculata, Miss Christine Carter!  Again!  Don't you know what happens to girls like you? Don't you know what they become?
christy's voice,"Come on, Vince -- hold me a minute."
vince's voice,I'd love to. babe -- but I've got to go. It was great.  Like usual.
christy's voice,It was twenty minutes.  Like usual.
vince's voice,The best.
vince, You are something else.
christy,"Come on -- stay.  Just a little.  We can talk, I'll get a pizza.  Pizza in bed, we'll have fun.  And you still haven't told me what happened.  What did she say?"
vince,What did who say?
christy,Who?  The other woman.  Your wife.
vince,You are so damn sexy.
christy,Vince...
vince,"How did I get so lucky?  What is it now, five years we've been together?  Who do I thank?"
christy," Today was the deadline, Vince."
vince,"I want us to be together.  Like people. Honest, decent people.  In the eyes of God.  Babe, today... I went to confession."
christy,You did what?
vince,"For the first time in I don't know how long.  I wanted everything done right. Open and above board.  I told Father Antonelli I was in love.  I told him it was a special love, for all the ages."
christy, You said that?  And what did he say? Did he say you could leave her?  Did he say we'd be happy?
vince, He said that if I got a divorce I'd burn in Hell.  For all eternity.
christy,What? 
vince,You want me to go against a priest?  Get excommunicated?  You think I'm nuts?
christy,You bastard!
vince, We can still see each other.  Just like always.  It's a different kind of sin. Smaller.
christy,You pig!
vince,"Babe, it's not me!  I love you!  It's God!"
christy,"You lying sleazeball!  The best years of my life!  What am I, garbage?  Am I lint?"
vince,You're upset.  I understand.  I should go.  I hate to.
christy,Get out of here!  And never come back!
vince,I'll call.
elvis,"Good evening, ladies and gentlemen.  Are you lonesome tonight?  Welcome to the Moonlight Hotel and Casino's incredible Platinum Oldies Spectacular."
michelle,But you can't quit.  What'll happen to us?  Tell her she can't quit.
tina,I told her.  She stuck pantyhose in my mouth.
elvis,"Please welcome our own girl group extraordinaire, our beehives of beauty -- the fabulous Ronelles!"
christy,"Oh, girls."
ronelles,"Yes, Betty?"
christy,This prom is a real drag.
ronelles,Oh-huh.
christy,Oh my! 
ronelles,"What is it, Betty?"
christy,Look at that.  Get a gander.
ronelles,Oh my! 
christy,He's so dreamy.  He's like... a Greek god.  He's the cutest guy here.    He's boss.  He's fab.  He's...
ronelles,"Yes, Betty?"
christy, HE'S SO FINE.
ronelles,"D00-LANG, DOO-LANG, D00-LANG."
christy,"WISH HE WAS MINE.  THAT HANDSOME BOY OVER THERE, THE ONE WITH THE WAVY HAIR."
christy,"Screw this dump.  It's a roach motel with sequins.  Every guy I meet is either married, a cop, or a lush from Des Moines."
michelle,But what about us?
tina,"You taught us the act.  The songs, all the moves."
christy,"And where did it get me?  I'm stuck in this rathole!  You're holding me back, just like Vince!  I should be headlining!"
christy,What do you want?  This is a private area!  Get lost!
joey,You ain't got nothin' I ain't seen.
christy,Then stop trying to memorize it.  Hit the road.
joey,From Vince.
christy,His ashes?
joey,With love.
michelle,From Vince! With love!
tina,Michelle and Tina can't restrain themselves: they open the box.  Inside is a rather gaudy fur coat.  Michelle and Tina are impressed.
michelle,It's a fur!
tina,It's new!
christy,It's a bribe.  Five years of my goddamned life!
michelle,So you earned it!
tina,Vince owns the casino!  Cash in
christy,I should throw this in his facet
christy,"Oh, Jesus.  What is going on here?  Why me?  Whose dog did I kill?"
michelle,"Hi, Lieutenant."
tina,"Hello, Eddie."
eddie,"From Vince?  What a guy.  Doo-lang, doo- lang."
christy,At least he's not a cop.  At least he can afford a decent gift.
eddie,"I used to buy.you,..stuff.  On your birthday .  When we were seeing each other."
christy,"Yeah, like what?  Quilted coat hangers, that your mother picked out?  Lottery tickets?  A travel iron?"
eddie,So I don't shop.
christy,"'Cause you're always out, arresting people.  Making trouble.  I don't know why I went out with you in the first place, it was embarrassing!  I couldn't hold my head up, I used to tell people you were a security guard!"
eddie,"Oh, yeah? Well, how do you think I felt? You were singing in bowling alleys back then.  I told people you were a hooker!"
michelle,"Calm down, you two.  It's always like this."
eddie,"Yeah, well, now, she goes out with a' better class of people.  Vince Laflocca."
christy,He's a businessman.
eddie,A what? When are you qonna wake up?
christy,When are you gonna get off my case? Have you got a search warrant?  What do you want -- cheap thrills?
eddie,"Information, baby.  I thought maybe somebody around here might have a conscience."
christy,Think again!  And get out of here.
eddie,"I'm going.  My regards to Vince,   And the Mrs."
eddie,Ladies.
christy,"That's it!  I'm not taking it from him, and I'm not taking it from Vince!  From now on, it's all about me!  And if I can't spend it, drink it, or sleep with it -- it's gone.  Like Sister Immaculata used to say, ""Life is short, and then you fry.""  So long, girls -- see you in church!"
vince,"Ernie Schmidt.  How long you been with us, Ernie Schmidt?"
ernie,"Three years, Mr. LaRocca.  One behind the bar, two as croupier."
