Speaker,Dialogue
weiner,"Whoa, whoa, whoa... what's that?"
ock, We begin again... let's kick in that new transducer. See if we can double the power output.
weiner," Whoa, Doc... wait a minute..."
ock,Okey... dokey!
liz, Hiya Peter...
peter, Hiya Liz... how're you doing...?
liz, How'm I doing what?
harry,Peter! Peter! Wait up!
harry," Would you, uh... excuse us for a minute?"
peter,What is it? what...
harry,Did the Astro-Physics Journal really accept your paper?
peter, Yeah... well... all I got's the data but they've agreed to publish it when it's finished. You know... it's my calculation on the Planetary Conjunction.
harry,And its influence on the anti-force. Isn't it?
peter,"Yes. Look, Harry, I am busy with... "
harry,"Yeah, you and the rest of the class. Every one is busy with Liz."
liz, Peter?
flash,"Hiya, cupcakes..."
liz, Flash...!
harry, And Flash is the busiest of them all...
peter," Come on, Harry... we'll be late for Octavius."
harry,"Ock is nuts, don't you agree?"
peter,"Ock is a genius, Harry. Crazy, Yes! But, a genius misunderstood, and unappreciated."
roz, Doctor Octavius! You are late for your lecture. The students are waiting. Doctor Octavius!
thorkel,"Your friend is impossible Professor Rosomorf, I told the board we should let him go."
thorkel,"What's he doing in there, not his crazy experiment again."
roz,You mean his anti-force theory... one day they'll give him the Nobel Prize for it.
thorkel,Meanwhile he is demolishing our university. Octavius!!  Open the door.
ock,"The anti-force experiment has now reached the limit of electronic overload safety. Therefore, Weiner, you will disconnect the overload safety device..."
weiner,"Whoa, Doc... someone's at the door..."
ock, World class scientific mind and they stick me in the basement with this third rate cyclotron...
ock,Okey! Dokey!
liz," What is it, Peter?"
peter, It's nothing.
weiner,"Yes, gentleman can I help you?"
thorkel,"Tell your boss, that his class is waiting."
weiner, You better tell him yourself.
ock,"Gentlemen, come, you must see this."
roz,"But, your students..."
ock,The imbeciles can wait... I have better things to do than teach introductory Physics Rosomorf. Undergrads are kindless adolescence.
thorkel,You see he is impossible.
ock,Thorkel you are the dummiest administrator our university has ever had.  Don't go Thorkel!! Come! Look!
thorkel,The university pays you to teach something to your students.
liz,"Well, do you mean nothing... or do you mean something but you won't tell me what it is?"
peter, I mean plain nothing.
liz,"Well, I guess that's about as nothing as you can get... plain nothing. A beat."
peter,Liz...!
liz,"Ahh, it is something."
peter,No... look.
ock,I am going for 20 percent power!
thorkel,NO!! Don't do that...
roz,Ock! Its dangerous...
thorkel,Ock I warn you...
