Speaker,Dialogue
midwife,He is strong.
amanda,... hello.
younger midwife,The baby is healthy. Why does she cry?
midwife, She is human.
sarek,Well done.
amanda,Thanks.
sarek,Your tone suggests disappointment. The Science Council required my presence for a session regarding--
amanda,Don't do that.     You knew I wanted you here.
sarek,"As you are aware, the Vulcan male is traditionally not present at the moment of delivery."
amanda,"Well traditionally, I'm not the one giving birth. "
3,"15C   CONTINUED:                                                        15C AMANDA  I moved here -- to another planet -- to be with you. I needed you to be with me today. Holding my hand and telling me I'm doing great, even when I'm just... breathing the best I can."
sarek,You are correct. I should have been here. I am sorry.
amanda,No... Spock.  ... Spock.
sarek,The child has your eyes.
amanda,... and your ears.
captain robau,Report.
first officer,"Sir, new contact bearing zero-three-four."
captain robau,Any response?
officer pitts,No Sir -- hails met with silence.
captain robau,Maybe they're incapable -- any identifiable damage?
officer pitts,"Negative, Sir -- but our readings seem confused--"
5,15D   CONTINUED:                                                        15D
captain robau,Confused?
officer pitts,-- not only is the ship unregistered -- but even its construction materials seem unrecognizable.
captain robau,... oh my God...  Signal all departments: first contact protocols. Looks like we have someone new on the block. All Stop.
first officer,"Sir, should we initiate an invasive scan?"
captain robau,That could be seen as an act of provocation -- all readings passive--
captain robau,Damage report!
chief engineer,"Our shields did nothing, Sir! Never seen anything like it! Weapons off-line! Main power at 38 percent!"
7,24B   CONTINUED:                                                     24B
winona,-- what was that-- what's happening?!
first officer,-- you're okay-- thank God-- where are you?
winona,Medical bay-- I had a few close contractions-- I'm fine-- what was that?
first officer,Just sit tight-- stay there-- we'll be fine--
officer pitts,"They're firing another, Captain!"
8,26    CONTINUED:                                                         26
captain robau,All remaining power to forward shields! Prepare the shuttles f--
ayel,My commander requests the presence of your captain in order to negotiate a cease-fire. You will come aboard our ship via shuttlecraft. Your refusal would be unwise.
captain robau,Walk with me.
captain robau,"If I don't report within fifteen minutes,"
first officer,"Sir, we could issue a mayday call to--"
captain robau," There is no help for us out here. If we're going down, we're taking them with us -- you save as many as you can."
8a,26A   CONTINUED:                                                       26A
first officer,"... aye, Captain."
captain robau,You're Captain now. Mr. Kirk.
george kirk,Lieutenant Pitts. Transfer Robau's vital signs to the main view screen.
officer pitts,Yessir.
science officer,Vitals on line.
george kirk, -- thank you.
captain robau,"Computer, initiate departure sequence."
officer pitts,"The shuttle's pulling out of main bay, Sir."
george kirk,I want to see him -- floodlights please.
officer pitts,His heart rate's elevated--
helmsman,He's scared.
george kirk,He's brave.    That's what he is.
ayel,Are you familiar with this craft?
captain robau,Who is your commander?  Is it him?
ayel,You will speak only to me.
captain robau,Then ask your commander what right he has to attack a Federation vessel.
ayel,That was hardly an attack. My commander will easily destroy your ship. If you do not respond to the question.
captain robau,I've never seen it. Or any ship like it.
ayel,"Are you familiar with -- or better, know the location of -- Ambassador Spock?"
captain robau,I am unfamiliar with Ambassador Spock.
ayel,A final question. What is the current stardate?
12,26H   CONTINUED:                                                         26H
captain robau," ... hey, where are you from--?"
george kirk,I'm initiating General Order 13! Set self-destruct for maximum matter- antimatter yield! Two minute countdown!
officer pitts,Yessir!
george kirk,I want auto-pilot targeted for their fuel cells!
tactical officer,"Sir, unable to locate the ship's power source!"
george kirk,Then just target the damn thing dead center!
helmsman,We got bigger problems: the first hit destroyed auto-pilot! 
13,26K   CONTINUED:                                                         26K HELMSMAN  The only way we're gonna ram that ship is to fly manual control!
george kirk,"-- then I'll do it myself -- get to the shuttles, now!  THAT'S AN ORDER! GO!"
nurse,We're packing it up -- you'll deliver in the shuttle!
winona,-- George!
george kirk,"I have medical shuttle 37 standing by, get to it now -- can you do that?"
winona,Yes -- where are you?
14,26M   CONTINUED:                                                     26M
george kirk,I'm on my way.
winona,"Good-- and George, it's coming-- our baby, it's coming now."
george kirk,"I'll see you in a minute, sweetheart."
winona,-- Agh!   That was-- that was a big one!
nurse,"Just keep breathing, Honey, you're gonna be just fine--"
winona," -- the baby, too, right?"
nurse,-- the baby too.
15,26R   CONTINUED:                                                      26R
george kirk,Captain to shuttle 37 -- is my wife on board?
shuttle pilot,"Yessir, she is--"
george kirk,"I need you to go now, d'you hear me?"
shuttle pilot,"We're waiting for you, Sir--"
george kirk,"No-- go, take off, immediately."
shuttle pilot,... yessir!
