Speaker,Dialogue
story by,Rick Berman & Brannon Braga & Ronald D. Moore  Screenplay by Brannon Braga & Ronald D. Moore
first draft," September 29, 1995"
borg,Restrict search parameters to 1-9-
woman's voice,Stop search. Calculate temporal coordinates. J-Fourteen.
picard,Signal the Endeavor to fall back. We'll cover them.
troi,"Aye, sir."
data,Dispersive armor is holding.
picard,"Bring us about. Target Borg ship alpha four, port side battery."
worf,"Port battery, ready sir!"
picard,Fire.
picard,Starboard battery -- fire.
data,"The Borg ship has modified its shields, Captain. Our phasers will no longer be effective."
picard,Ready quantum torpedo.
worf,"Aye, sir. Only three left."
geordi's com voice,La Forge to bridge.
picard,Go ahead.
geordi,"Captain, I'm starting to worry about the hull integrity. We've been running the support field at full power for three hours straight. I don't know how much longer it's going to hold up."
picard,Understood. Keep me informed.
troi,Incoming transmission from the Borg.
picard,On screen.
borg,Your defense perimeter is useless. You will be assimilated.
picard," Break off your attack. By now, you must realize you can't win..."
borg,Your opinion is irrelevant. We are the Borg. Resistance is futile.
picard,We'll see about that...  Fire.  Worf works.  19   EXT. SPACE - THE ENTERPRISE - CLOSE ON TORPEDO BAY          19  A QUANTUM TORPEDO BLASTS out of the launcher and heads toward the Borg cube. This torpedo is completely different than the traditional photon torpedo. It oscillates and changes shape and color as it streaks toward the Borg ship.
data,"Main power still on-line, Captain."
riker,"Casualties are light, Captain. Minor buckling on the port nacelle. Nothing serious."
worf,Incoming message from the Starship Intrepid. Admiral Hayes.
picard,On screen.
admiral hayes,"The new quantum torpedoes are doing the trick, Jean-Luc. We've destroyed forty-seven Borg ships so far... and only lost fifteen of our own.  But one of the Borg ships has broken through our defenses, and it's heading directly for Earth. Can you handle it?"
picard,Absolutely.
admiral hayes,Good hunting. Hayes out.
picard,"Mister Data, set a pursuit course. Maximum warp."
data,"We are approaching the Terran System, Captain."
picard,Go to impulse. Where's the Borg ship?
data,It has entered Earth orbit.  Correction -- it is not in orbit. It is heading directly toward the surface.
picard,What?
riker, Some sort of suicide tactic?
data,"Unknown, sir. Suicide tactics are not normally associated with the Borg."
data,Sensors show a temporal signature emanating from the Sphere. High concentrations of tachyons...
picard,And chronometric particles... it's as though they're trying to create a temporal vortex...
picard,"Time travel... they're attempting time travel...  Full power, Mister Data. Worf, quantum torpedoes at my command!"
worf,"Aye, sir.  25   EXT. EARTH'S ATMOSPHERE                                     25  The Borg Sphere GLOWING RED and beginning to burn with friction as it PLUMMETS toward Earth...  26   NEW ANGLE - THE ENTERPRISE                                  26  plunging down into the atmosphere, giving chase..."
worf,Range -- fifty kilometers.
data,A temporal vortex is forming directly ahead of the Sphere.
riker,Main power off-line!
data,Switching to emergency back-ups.
riker,We're caught in some kind of energy wake from the vortex...
picard,Worf... torpedo... now!
data,I have helm control.
picard,Where's the Sphere?
worf,They have traveled into the vortex... through time.
data,"The vortex is collapsing, sir."
picard,Contact Starfleet Command.
worf,No response.  I'm not reading any Starfleet com traffic in this entire sector.
troi," Captain, I've scanned the planet. The atmosphere contains a high concentration of methane, carbon monoxide and fluorine. The oceans have been chemically altered, as well."
picard,On screen.
picard,Life signs?
troi,Population... thirty-five billion...  All Borg.
data, So is the moon... and three other planets in this solar system.
troi,But how?
picard,They must've done it in the past... they went back and changed history...
riker, They did it... they assimilated Earth.
worf,But if they changed history... then why are we still here?
data,We were caught in the temporal wake from the vortex. It must have protected us from any changes in the time-line.
worf,"Captain, there are five Borg ships closing in on our position."
picard," Data, set a course for that vortex."
troi,Captain...?
picard,We have to follow them back... repair whatever damage they've done to that time-line.
data, Course laid in. Engaging impulse engines.
worf,Hull integrity down to thirty percent...
picard,Steady as she goes.
worf,Borg vessels are closing to two thousand meters.
picard,Take us in!
picard,Report.
riker,We're still in Earth orbit.
picard,On screen.
picard,What year is it?
data, According to our astrometric
worf,"Captain, I've found the Borg Sphere. It's on the far side of the planet...firing at the surface."
picard, Weapons status?
worf,Phasers are off-line... we have two quantum torpedoes left. But the computer targeting system has been destroyed.
picard,Go to manual.
picard, Track their weapons fire.
troi, Western hemisphere... North American continent...
data,We are within torpedo range.
riker,They've seen us. They're taking evasive action.
picard, Mister Worf?
worf,Target...
troi,"Captain, they're firing at a nuclear missile silo... in central Montana."
worf, Target...
picard, Montana...
worf,Target locked!
picard,Fire!
picard, Give me a damage report on that missile silo.
data," Today is March second, 2063. The time in Montana is oh-eight-forty- five."
riker, Looks like they damaged the silo...
picard,Life signs?
riker,Can't tell. Long-range bio- sensors are off-line.
